abil_skill_acidburstclose_name	Estallido ácido
item_egg_verdigrizzly_effectdesc	Invoca un Verdioso para que luche por ti.
item_egg_verdigrizzly_name	Huevo de Verdioso
item_egg_vinestalker_desc	Espero no tener que limpiar la telaraña una vez que eclosione. Qué asco.
item_egg_vinestalker_effectdesc	Invoca un Merodeador de las lianas para que luche por ti.
item_egg_vinestalker_name	Huevo de Merodeador de las lianas
item_emblem_jobtrial1_desc	Está gastada y sin lustre, pero me da igual. Me he ganado esta medalla y eso no me lo quita nadie.
item_emblem_jobtrial1_name	Emblema profesional de bronce
item_emblem_jobtrial2_desc	Las pruebas que hubo que superar para obtener este emblema fueron duras, pero lo logré. Los monstruos de Tangledeep están perdidos.
item_emblem_jobtrial2_name	Emblema profesional de plata
item_emblem_jobtrial3_desc	Al comienzo de mi viaje, nunca imaginé que mis habilidades podrían llegar al nivel de los maestros ancestrales. Este emblema demuestra que he desarrollado poderes legendarios trabajando duro.
item_emblem_jobtrial3_name	Emblema profesional de oro
item_filters_deal_damage	INFLIGIR DAÑO
item_filters_favorites	FAVORITOS
item_filters_heal_energy	RECUPERAR ENERGÍA
item_filters_heal_hp	RECUPERAR PV
item_filters_heal_stamina	RECUPERAR RESISTENCIA
item_filters_ingredient	INGREDIENTE
item_filters_meals	COMIDAS
item_filters_offense	OFENSA
item_filters_recovery	RECUPERACIÓN
item_filters_self_buff	AUTOBONIFICACIÓN
item_filters_summon	INVOCAR
item_filters_support	COMPLEMENTARIA
item_filters_utility	UTILIDAD
item_filters_valuables	OBJETOS DE VALOR
item_filters_view_all	VER TODO
item_food_bagofgrain_desc	Un saco de arpillera lleno de arroz, trigo y quinua. Seguro que viene bien para preparar varias recetas...
item_food_bagofgrain_name	Bolsa de cereales
item_food_bananas_desc	¡Me encanta añadirlos en rodajas a la avena del desayuno!
item_food_bananas_name	Piña de plátanos
item_food_boxofmints_desc	Comerse toda la cajita de una sentada es pasarse un poco, ¡pero no soporto el ruido que hace cuando está medio vacía!
item_food_boxofmints_name	Caramelos de menta
item_food_campfirecheese_desc	He combinado el queso con el fuego y he descubierto un nuevo y maravilloso mundo. El queso es mágico. Adoro el queso.
item_food_campfirecheese_name	Queso a la brasa
item_food_campfiredessert_desc	¿Por qué meter en una hoguera un postre estupendo? Porque las fogatas de campamento hacen que todo sepa mejor.
item_food_campfiredessert_name	Postre a la brasa
item_food_campfirefruit_desc	Hay que tener maña para lograr que la fruta a la brasa no se queme. Crujiente y jugosa a la vez: es todo un arte.
item_food_campfirefruit_name	Fruta a la brasa
item_food_campfiremeat_desc	Esto es una obra maestra de cocina al aire libre. ¡Me inspira solo con verla!
item_food_campfiremeat_name	Carne a la brasa
item_food_candycorn_desc	No puedo comer demasiadas, tanto azúcar me deja muy, muy, muymuymuymuy acelerada.
item_food_candycorn_effectdesc	Aumenta tu ganancia de tiempo de carga y la probabilidad de evasión durante ^number1^ turnos.
item_food_candycorn_name	Bolsa de palomitas dulces
item_food_carrot_desc	De pequeña, me contaron la historia de un niño que se comió tantas, que se le puso la piel naranja. Al final resultó que ese era el color natural de su pelaje.
item_food_carrot_effectdesc	Te hace inmune a nuevos efectos de estado negativos durante ^number1^ turnos.
item_food_carrot_name	Zanahoria saludable
item_food_carrotstew_desc	Son demasiadas zanahorias para comérselas de una sentada… Pero el queso que llevan me ha conquistado. ¡No puedo parar de comer!
item_food_carrotstew_effectdesc	Te hace inmune a los efectos de estado negativos durante 5 turnos.
item_food_carrotstew_name	Estofado de zanahorias
item_food_chaiqicookies_desc	Qué maravilla: alguien me ha ahorrado el trabajo de mojar la galleta en el té.
item_food_chaiqicookies_name	Galleta chai qì
item_food_charcuterie_desc	Carnes... y queso... ¿pero nada de pan? ¿Dónde está el pan? Esto es un bocadillo a medias.
item_food_charcuterie_effectdesc	Aumenta los PV máximos un ^number1^ durante ^number2^ turnos.
item_food_charcuterie_name	Tabla de embutidos
item_food_cheeseflan_desc	Tiembla... ¡como un flan!
item_food_cheeseflan_name	Flan de queso
item_food_cheesewheel_desc	Esto es una cantidad de queso indecente. Estoy totalmente descontrolada.
item_food_cheesewheel_name	Rueda de queso
item_food_chickendinner_desc	Comerme todo esto yo sola parece casi un desperdicio, pero puedo guardar parte para el camino.
item_food_chickendinner_name	Pollo con patatas
item_food_chickenpotpie_desc	Buf, son bastante contundentes. Me dejan llena, pero en vez de querer echarme la siesta, me siento como si pudiera partir un árbol en dos de un puñetazo.
item_food_chickenpotpie_effectdesc	Potencia un ^number1^ el daño de tu próximo ataque básico.
item_food_chickenpotpie_name	Pastel de pollo
item_food_chilipeppers_desc	Lección aprendida: no hay que guardarlas en el mismo bolsillo que el chicle.
item_food_chilipeppers_name	Guindillas
item_food_chocobar_desc	Encontrar oro y armas está muy bien, pero lo cierto es que estoy encantada de que Tangledeep también esté lleno de golosinas.
item_food_chocobar_effectdesc	Te da un turno gratis y, además, otros ^number1^ TC.
item_food_chocobar_name	Chocolatina
item_food_finecheese_desc	Solía aprovisionarme de esto cuando iba a la granja durante los meses cálidos. Apestoso y delicioso.
item_food_finecheese_name	Queso de primera
item_food_fish_desc	¡Buf, este pescado apesta! Pero apesta de verdad; no es el olor intenso, pero maravilloso, del queso. Adoro el queso.
item_food_fish_effectdesc	Gana ^number1^ TC cuando te mueves en el agua durante ^number2^ turnos.
item_food_fish_name	Pescado en conserva
item_food_fishnchips_desc	No es el plato más creativo del mundo, ¿verdad? ¡Pero si la asas y la fríes lo suficiente, puedes lograr que cualquier cosa sepa bien!
item_food_fishnchips_name	Pescadito frito con patatas
item_food_fruitbowl_desc	¿Fruta a la brasa? Anda, está caliente y muy dulce. De sobra para mantenerme a tope de energía por un rato.
item_food_fruitbowl_name	Bol de fruta
item_food_fruitcobbler_desc	Si hay una cosa que las plagas del huerto adoran más que la fruta, es la tarta de fruta. Siempre hay que comérsela a toda prisa antes de que los bichos vengan a por ella.
item_food_fruitcobbler_name	Tarta de fruta
item_food_gelato_desc	¿Esto qué es: una especie de helado cutre sin grasa? Vaya... Está delicioso. Retiro lo dicho, sorbete. Molas.
item_food_gelato_effectdesc	Reduce el coste de la Energía un ^number1^ durante ^number2^ turnos.
item_food_gelato_name	Sorbete
item_food_heartysandwich_desc	A este bocadillo hay que tenerle respeto: los monstruos deberían limitarse a sentarse y ver cómo me lo zampo.
item_food_heartysandwich_effectdesc	Incrementa tu daño y defensa un ^number1^ durante ^number2^ turnos.
item_food_heartysandwich_name	Megabocata de carne
item_food_icecream_desc	Hay gente en Cantorrodado que prefiere el yogur helado, pero, para mí, no hay nada mejor que una deliciosa y cremosa copa de helado con un montón de extras. Y, como lleva fruta, es sano, ¿no es cierto?
item_food_icecream_name	Copa de helado
item_food_javabeans_desc	Habas que probablemente puedan tostarse para hacer algo... ¿potente? Desde luego, así no me las puedo comer.
item_food_javabeans_name	Habas java
item_food_juicyapple_desc	No se pasan nunca, ¿cómo lo conseguirá Langdon?
item_food_juicyapple_name	Manzana jugosa
item_food_legofturkey_desc	¡La piel está crujiente, pero la carne es muy jugosa! El pavo es delicioso, eso explica por qué nunca he visto uno: los cazan y cocinan a todos de inmediato.
item_food_legofturkey_name	Muslo de pavo
item_food_lemondelight_desc	¡Arg! ¡Qué ácida! La próxima vez, a lo mejor no debería comérmela toda de un bocado...
item_food_lemondelight_name	Delicia de limón
item_food_lollipop_desc	¡Oh, en mi niñez, conseguir una de estas era muy difícil! Cuando encontraba una, la hacía durar horas.
item_food_lollipop_name	Piruleta en espiral
item_food_meatkebabs_desc	Lo que más me gusta son los extremos crujientitos. Un pinchito hecho solo de extremos crujientes sería algo mágico.
item_food_meatkebabs_name	Pinchito de carne
item_food_milk_desc	Leche fresca y deliciosa que hace que quiera bebérmela toda de una sentada. ¡Mmmm!
item_food_milk_effectdesc	Aumenta temporalmente la FUERZA un ^number1^.
item_food_milk_name	Leche
item_food_mintfudge_desc	Dos trozos de chocolate a la menta con tofe de vainilla en medio.
item_food_mintfudge_effectdesc	Reduce el coste de la Resistencia y la Energía un ^number1^ durante ^number2^ turnos.
item_food_mintfudge_name	Tofe de menta
item_food_monsterchow_desc	Huele que apesta. Pero según la lata, a los monstruos les encanta.
item_food_monsterchow_effectdesc	¡Intenta dárselo a un monstruo domesticado en el corral! (Solo funciona si el monstruo tiene menos de ^number1^ de felicidad).
item_food_monsterchow_name	Pienso para monstruos
item_food_nigiri_desc	Nando los hace a veces cuando tenemos invitados en el campamento. ¡A lo mejor por eso nos visitan los comerciantes tan a menudo!
item_food_pumpkin_desc	¿En serio me tengo que comer una calabaza cruda entera?
item_food_pumpkin_effectdesc	Potencia toda la recuperación de PV un ^number1^ durante ^number2^ turnos.
item_food_pumpkin_name	Calabaza grande
item_food_pumpkinbread_desc	Una vez tuvimos una cosecha de calabazas muy abundante… Había tanta que llenamos carretas y carretones con este pan. Seguro que todavía hay barriles llenos de pan por ahí.
item_food_pumpkinbread_effectdesc	Aumenta los efectos curativos un ^number1^ durante ^number2^ turnos.
item_food_pumpkinbread_name	Pan de calabaza
item_food_savorymole_desc	No sé cómo, pero esta salsa cada vez está más rica, da igual lo que le añada. ¡Es como si fuera imposible equivocarse con ella!
item_food_savorymole_effectdesc	Reduce el coste de la Resistencia un ^number1^ durante ^number2^ turnos.
item_food_savorymole_name	Mole poblano
item_food_smoothie_desc	Mezclar la fruta a mano ensucia un montón, y ponerla sobre el fuego para acabar de preparar el batido es arriesgado. ¡Pero es que están buenísimos!
item_food_smoothie_effectdesc	Elimina todos los efectos de estado negativos y te hace inmune a otros nuevos durante ^number1^ turnos.
item_food_smoothie_name	Batido de fruta
item_food_spicytacos_desc	¡Está crujiente por fuera y la carne es muy tierna y jugosa! Y no pica tan... ¡Arg! ¡Pica! ¡Cómo pica, cómo pica, cómo pica! ¡PICAAA!
item_food_spicytacos_effectdesc	Te concede un aliento flamígero durante ^number1^ turnos que daña a los enemigos a tu alrededor a cada turno con (nivel x ^number2^) de daño de Fuego por turno.
item_food_spicytacos_name	Tacos picantes
item_food_tangledeepstew_desc	¡Está caliente! ¡Es sustancioso! ¡Está hecho con… ingredientes de lo más cuestionables!
item_food_tangledeepstew_name	Curry de Tangledeep
item_frogsuit_desc	Me muero por ver la cara de Langdon cuando llegue al Bosque Cantorrodado vestida con *blurp* esto. *blurp*. Oh, oh.
item_frogsuit_name	Disfraz de rana
item_fungalcap_desc	Habitualmente, el aspecto de la armadura me da bastante igual. Lo que importa es que sea útil. Pero escasquetarme una seta en la cabeza ya es pasarse un poco.
item_fungalcap_name	Gorra fúngica
item_hornshield_desc	¡¿Todo este escudo está hecho con partes de monstruos?! Mira que he derrotado a un montón de criaturas, pero no se me habría ocurrido nunca hacer un escudo con sus cuernos.
item_hornshield_name	Escudo de cornocuchilla
item_item_banker_expansion_desc	¡Qué cofrecillo del tesoro más adorable! Tiene grabadas las iniciales «W. C. III.»... ¿Será que pertenece a Don Chimperton? Probablemente no debería abrirlo.
item_item_banker_expansion_name	Lingote de banquero
item_item_cashcrop1_desc	Las hojas cristalizadas son extrañas mutaciones que se producen cuando los retoños quedan imbuidos de Savia al plantarlos. A veces es un accidente, pero el brillo y pureza de estas me dicen que Langdon sabe lo que está haciendo.
item_item_cashcrop1_name	Hoja granate
item_item_cashcrop2_desc	No acabo de acostumbrarme a eso de que los árboles tengan brillo propio. ¡Pero estas hojas son preciosas! Algún día decoraré mi capa con ellas. Cuando por fin consiga tener una capa.
item_item_cashcrop2_name	Hoja cuarzo
item_item_cashcrop3_desc	Cuando miro a través de esta hoja y pillo el ángulo de luz adecuado, parece como si todo estuviera bajo las aguas de un lago reluciente. ¡Alguien debería hacer unas gafas con ellas!
item_item_cashcrop3_name	Hoja aguamarina
item_item_cashcrop4_desc	Inusual incluso entre las ya de por sí inusuales hojas-gema; su forma es casi como la de una flor. ¡Qué suerte la mía! Es fácil perderse entre los sinuosos y relucientes matorrales. ¡Igual que en Tangledeep!
item_item_cashcrop4_name	Crist-santemo
item_item_casinochip_desc	Llevarla en el monedero es una sensación maravillosa. ¡Este fullero no sabía con quién estaba tratando!
item_item_casinochip_name	Ficha de salón
item_item_coffee_desc	Una taza de café fortísimo. No es lo mío... ¿Quién se bebe este mejunje?
item_item_coffee_effectdesc	Potencia la ganancia de TC un ^number1^ por turno y la probabilidad de evasión un ^number2^ durante ^number3^ turnos.
item_item_coffee_name	Café
item_item_dreamdrum_desc	Cuando lo toco, no produce ningún sonido, pero no cabe duda de que está lleno de Savia. ¡Qué raro!
item_item_dreamdrum_effectdesc	Al usarlo, saldrás de inmediato de un Sueño de objeto activo. Recuperarás el objeto sin ninguna mejora.
item_item_dreamdrum_name	Tambor ensordecedor de sueños
item_item_dungeonmap_desc	Este mapa está inacabado, pero si lo estudio atentamente, seguro que encuentro algo de información nueva sobre Tangledeep.
item_item_dungeonmap_effectdesc	Revela todas las casillas del nivel actual de la mazmorra.
item_item_dungeonmap_name	Mapa de mazmorras
item_item_escapedungeon_desc	Un billete de retorno rápido a casa es algo maravilloso, pero ponerlo en marcha lleva su tiempo. Solo debo usarlo en lugares seguros.
item_item_escapedungeon_name	Antorcha de escape
item_item_gem1_desc	Cositas brillantes. En mi infancia, las usábamos para apostar cuando jugábamos a las canicas.
item_item_gem1_name	Granate
item_item_gem2_desc	¡Ooooh, brillan como Luciérnagas! Prefiero las encantadoras Luciérnagas mil veces antes que a esos Mosquitos cavernarios.
item_item_gem2_name	Cuarzo
item_item_gem3_desc	No hace nada, pero seguro que vale algo.
item_item_gem3_name	Aguamarina
item_item_gem4_desc	¡Guau, me acuerdo cuando alguien cambió toda su granja por un puñado de estas!
item_item_gem4_name	Rubelita
item_item_gem5_desc	¿Pero cuántos colores hay aquí? Los cortes son tan precisos... Igual que estas máquinas.
item_item_gem5_name	Turmalina
item_item_gem6_desc	¿Cristal negro, duro como la piedra? Debe de ser el secreto de algunas de esas increíbles armaduras que he visto por ahí.
item_item_gem6_name	Obsidiana
item_item_gem7_desc	¡El premio gordo! ¡Si reúno suficientes de estas, puedo comprar el Campamento Cantorrodado y jubilarme!
item_item_gem7_name	Oro puro
item_item_goldkey_desc	Espero que lo que haya en el cofre valga más que esta enorme llave de oro que he tenido que usar para abrirlo...
item_item_goldkey_name	Llave dorada
item_item_itemworldwallbreaker_desc	Esta pala es lo suficientemente recia como para subirse encima de ella. ¿Tal vez también es lo suficientemente fuerte como para ir saltando encima de ella? Pues no.
item_item_itemworldwallbreaker_effectdesc	Cava un muro hasta convertirlo en suelo.
item_item_itemworldwallbreaker_name	Pala de caballero
item_item_lucidorb_shard_desc	¿Un fragmento de un Orbe de ensueño? Emite un aura azul calmante... y una sensación de paz y serenidad.
item_item_monsterletter_desc	¡Una carta escrita por un monstruo al que una vez capturaste y del que te acabaste haciendo amiga!
item_item_monsterletter_effectdesc	¡Enseña un nuevo poder a tu mascota!
item_item_monsterletter_name	Carta de monstruo
item_item_monstermallet_desc	A veces la sutileza no es el mejor enfoque.
item_item_monstermallet_effectdesc	Noquea a un monstruo no campeón con un #MALLETCHANCE# de Salud o menos para poder llevarlo al Corral de monstruos.
item_item_monstermallet_name	Maza monstruosa
item_item_planks_desc	No hay nada como un buen puente, pero a falta de uno, con estos puedo hacer un sendero sobre el agua.
item_item_planks_effectdesc	Coloca tablones sobre el agua o el Vacío letal para que puedas cruzarlos sana y salva.
item_item_planks_name	Tablones
item_item_shadoworb_piece_desc	¿Un fragmento de un Orbe de ensueño? Parece que lo lanzaron contra el suelo. Y este color rojo oscuro es... perturbador.
item_item_shadoworb_piece_name	Esquirla de Orbe rojo
item_item_summonfood_desc	¿Quién cocina esto? Bueno, ya me preocuparé por eso después de comer...
item_item_summonfood_effectdesc	Invoca un montón de comida.
item_item_summonfood_name	Campanilla de mayordomo
item_item_tent_desc	Supongo que si la cosa se pusiera realmente fea, acamparía por fuera de Cantorrodado, ¿pero quién quiere despertarse en una tienda de campaña llena de ranas y mucílagas?
item_item_tent_effectdesc	Además de restaurar por completo tus estados, hace que transcurra un día.
item_item_tent_name	Tienda de campaña
item_item_trialrelic_desc	¡Por fin la tengo! Ahora hay que volver a la primera planta de una sola pieza.
item_item_trialrelic_name	Reliquia de prueba
item_jobemblem	^tag2^ de ^tag1^
item_keyitem_painting_desc	Es una copia de una pintura paisajística… ¡Y salgo en ella! Pero me parece que el pelo no le quedó muy bien… ¿Y por qué parece que los monstruos van a salir victoriosos? No tengo claro si quiero quedármelo.
item_keyitem_painting_name	Cuadro de Talrose
item_leg_chefname_desc	¡Puedo cortar el queso con esto! No quiero pelear con monstruos ...
item_leg_chefname_name	Cuchillo del Cocinero
item_nightmare_orb	Orbe de pesadillas
item_offhand_leg_ascetic_wrap_desc	Los monjes, durante su aprendizaje, iban ataviados únicamente con ellos mientras atravesaban el Río Sinuoso caminando sobre las manos. Era un rito de iniciación Si se concentraban lo suficiente, encontraban trozos de piedra negra como la tinta en el lecho del río, que luego tallaban para elaborar herramientas de poder y meditación.
item_offhand_leg_ascetic_wrap_name	Venda de mano ascética
item_offhand_leg_phasmaquiver_desc	Un carcaj hecho de metal ya es bastante extraño, pero el brillo y zumbido que emiten estas flechas es más raro todavía. Es como si el propio carcaj generase algún tipo de energía.
item_offhand_leg_phasmaquiver_name	Carcaj de plasma
item_offhand_leg_poisonquiver_desc	Las flechas de este carcaj desprenden un olorcillo un tanto desagradable. Parecen letales, y sin embargo tienen algo que me resulta familiar. Es casi como si estuvieran fermentadas, como… No, no, no, no. Nada que ver con el queso.
item_offhand_leg_poisonquiver_name	Saetas corruptoras
item_offhand_leg_skullbook_desc	Leathel intentó cosechar Savia de los huesos de los caídos. Creía que el trauma del fallecimiento generaba una clase de energía singular, a la que llamó «especia». Esto es, entonces, su recetario. Debería quemarlo… ¿Pero qué pasa si alguna de sus teorías es razonable?
item_offhand_leg_skullbook_name	Tomo prohibido de Leathel
item_offhand_leg_stherge_desc	Sergio, el Santo era un excelente cronista, y apuntaba todas sus vivencias en su fiel diario. Aunque cada viaje a Tangledeep era totalmente diferente, la suma de sus conocimientos es grandiosa.
item_offhand_leg_stherge_name	Crónica de Sergio
item_orb_itemworld_desc	Una fuente de energía para esa extraña máquina de Cantorrodado. Si tuviera un par de ellos de sobra, los usaría para iluminar un bonito rincón de lectura.
item_orb_itemworld_effectdesc	Se usan para abrir un portal de sueños en el Bosque Cantorrodado.
item_orb_itemworld_name	Orbe de ensueño
item_orb_summoning1_desc	Resulta difícil decir qué va a salir de este huevo… Supongo que solo hay una forma de averiguarlo.
item_orb_summoning1_effectdesc	Invoca un monstruo débil aleatorio para que luche por ti.
item_orb_summoning1_name	Huevo misterioso pequeño
item_orb_summoning2_desc	Lo que sea que eclosione de aquí va a dar bastante guerra.
item_orb_summoning2_effectdesc	Invoca un monstruo de fuerza media aleatorio para que luche por ti.
item_orb_summoning2_name	Huevo misterioso mediano
item_orb_summoning3_desc	El bicho que está aquí dentro da unas patadas que no veas. ¡Cuánto me alegro de que esté de mi lado!
item_orb_summoning3_effectdesc	Invoca un monstruo fuerte aleatorio para que luche por ti.
item_orb_summoning3_name	Huevo misterioso grande
item_potion_acidpools_desc	Tengo que acordarme de etiquetar bien estas, porque beber una es muy desagradable: para mí, para los monstruos, para todo el mundo.
item_potion_acidpools_extradesc	Crea charcos de ácido formando un damero. Los charcos infligen ^number1^ de Poder de armas como Veneno por turno.
item_potion_acidpools_name	Mejunje inestable
item_potion_bandit_echo_desc	A ese pobre bandido lo convirtieron en un... eeh... ¿Qué narices es eso? Alguna demencial canallada sombría. Supongo que ahora es libre, ¡pero su eco me dice que me debe una!
item_potion_bandit_echo_effectdesc	Regenera por completo la salud y te da una bonificación de 100 TC, además de un potenciador de combate.
item_potion_bandit_echo_name	Eco agradecido del bandido
item_potion_blessedpool_desc	El líquido de esta copa parece agua normal y corriente, pero percibo una especie de pureza emanando de ella.
item_potion_blessedpool_effectdesc	Invoca un charco de agua bendita que se expande y restaura alrededor del ^number1^ de los PV máximos por turno a tus aliados. El charco dura ^number2^ turnos.
item_potion_blessedpool_name	Cáliz consagrado
item_potion_deflectingphilter_desc	¡Esto me hace sentir tan habilidosa! Todo está más claro y mis manos hacen lo que quiero sin tener ni que pensarlo.
item_potion_deflectingphilter_effectdesc	Aumenta la probabilidad de parar un ^number1^ durante ^number2^ turnos.
item_potion_deflectingphilter_name	Filtro deflector
item_potion_elementaldefense_desc	Después de ver esto, me siento muy centrada y en armonía con la Savia. ¿Cómo puede hacerme daño la magia si ya fluye así por mis venas?
item_potion_elementaldefense_effectdesc	Aumenta la resistencia elemental un ^number1^ durante ^number2^ turnos.
item_potion_elementaldefense_name	Poción de barrera
item_potion_elixir_desc	Esto no es solo una medicina: es la magia de la vida en estado líquido. ¡Imagina lo que podría hacer la gente si estuviera al alcance de todos!
item_potion_elixir_effectdesc	Restaura la Salud, Energía y Resistencia al máximo, y también elimina todos los efectos de estado negativos.
item_potion_elixir_name	Elixir
item_potion_energy1_desc	Me encanta el olor a lavanda, me bañaría con esto si tuviera suficiente.
item_potion_energy1_name	Tintura floral
item_potion_energy2_desc	¡Anda, esta tiene burbujas! ¿Será un efecto secundario de la Savia concentrada?
item_potion_energy2_name	Tintura floral grande
item_potion_energy3_desc	Esto es tan potente que tiene que ser un destilado puro. ¿Qué clase de equipo podría lograr algo así?
item_potion_energy3_name	Tintura floral superior
item_potion_haste_desc	Estoestámuybuenomuymuybueno. Deberíabeberunpocomásmásmááás...
item_potion_haste_effectdesc	Aumenta mucho la obtención de CT por un breve tiempo.
item_potion_haste_name	Brebaje de celeridad
item_potion_healing1_desc	Esto lleva algo de eucalipto, sin duda alguna. No sé si es muy potente, pero no puedo quejarme.
item_potion_healing1_name	Brebaje de menta
item_potion_healing2_desc	¡Por fin: un medicamento de verdad! No puedo perderlo, seguro que será útil.
item_potion_healing2_name	Brebaje de menta grande
item_potion_healing3_desc	¡Vaya, no sabía que existían medicinas tan concentradas! ¿Cómo lo habrán hecho?
item_potion_healing3_name	Brebaje de menta superior
item_potion_stamina1_desc	Antes bebía litros de esto después del entrenamiento; tiene el punto justo de limón.
item_potion_stamina1_name	Tónico reverdecedor
item_potion_stamina2_desc	Sin duda esta versión es un poco más ácida, pero enseguida notas la diferencia.
item_potion_stamina2_name	Tónico reverdecedor grande
item_potion_stamina3_desc	¡Ahhh, arg! ¡Guau, esto es como masticar tres limones de golpe! Menos mal que funciona de perlas.
item_potion_stamina3_name	Tónico reverdecedor superior
item_potion_stealth1_desc	Me voy a tener que dar un buen baño después de usar esto. Espero que apestar a salamandra el resto del día merezca la pena.
item_potion_stealth1_effectdesc	Reduce la probabilidad de agresión de los monstruos un ^number1^ durante ^number2^ turnos.
item_potion_stealth1_name	Perfume de camuflaje
item_potion_stealth2_desc	La palabra que mejor describe el aroma del aceite de monstruo concentrado es «persistente». Basta una gotita para que hasta el queso más apestoso parezca suave a su lado.
item_potion_stealth2_name	Aceites esenciales de monstruo
item_potion_vigorousdraught_desc	Creo que no me gusta lo colérica que me vuelve esta bebida, pero no está nada mal lo de machacar a un par de monstruos para descargar la agresividad.
item_potion_vigorousdraught_effectdesc	Añade un ^number1^ de daño a tus ataques durante ^number2^ turnos.
item_potion_vigorousdraught_name	Pócima vigorosa
item_scroll_elementalking_desc	¿Quién habría dicho que era posible destilar el inmenso poder de un rey elemental en un refresco?
item_scroll_firekingbuff_name	Esencia del rey del Fuego
item_scroll_frogs_desc	Estas runas no tienen mucho sentido: <color=yellow>...introducir verrugas, lenguas, casa verde...</color>
item_scroll_frogs_effectdesc	Invoca un gran grupo de ranas, tanto amigas como enemigas.
item_scroll_frogs_name	Pergamino de ranas
item_scroll_jobchange_desc	Un pergamino inscrito con lo que parecen ser frases motivadoras mágicas.
item_scroll_jobchange_effectdesc	Te permite elegir un nuevo oficio y cambiar a este de inmediato.
item_scroll_jobchange_name	Pergamino de cambio de oficio
item_scroll_lightningkingbuff_name	Esencia del rey del Rayo
item_scroll_poisonkingbuff_name	Esencia del rey del Veneno
item_scroll_resistfire1_desc	¡Runas! Creo que dicen... <color=yellow>¡Fuego infernal, tan fiero y voraz, apágate de inmediato y déjame en paz!</color> ¡Eso es!
item_scroll_resistfire1_effectdesc	Aumenta la resistencia al Fuego un ^number1^ durante ^number2^ turnos.
item_scroll_resistfire1_name	Pergamino de protección de Fuego
item_scroll_resistlightning1_desc	¡Estas runas las conozco! <color=yellow>... chispa y corriente que el cielo agravian, ¡bajad a la tierra y someteos a la Savia!</color> Perfecto.
item_scroll_resistlightning1_effectdesc	Aumenta la resistencia al Rayo un ^number1^ durante ^number2^ turnos.
item_scroll_resistlightning1_name	Pergamino de protección de Rayo
item_scroll_resistpoison1_desc	Puedo traducir estas... ¡creo! <color=yellow>...basura tóxica y sangre sucia, drena el... </color>Un momento, ¿<color=yellow>«sucia»</color>? ¿En serio?
item_scroll_resistpoison1_effectdesc	Aumenta la resistencia al Veneno un ^number1^ durante ^number2^ turnos.
item_scroll_resistpoison1_name	Pergamino de protección de Veneno
item_scroll_resistshadow1_desc	Veamos estas runas: <color=yellow>...desterrar las sombras, desafiar a la noche, la oscuridad se desvanece ante la gran...</color> ¿lumbre? ¡Ah, <color=yellow>luz</color>! ¡Pues claro!
item_scroll_resistshadow1_effectdesc	Aumenta la resistencia a la Sombra un ^number1^ durante ^number2^ turnos.
item_scroll_resistshadow1_name	Pergamino de protección de Sombra
item_scroll_resistwater1_desc	Estas runas dicen... Hmmm... <color=yellow>... acallar las olas y... </color>yyyyy... <color=yellow>¿Una gran salpicadura?</color> No, eso no me cuadra.
item_scroll_resistwater1_effectdesc	Aumenta la resistencia al Agua un ^number1^ durante ^number2^ turnos.
item_scroll_resistwater1_name	Pergamino de protección de Agua
item_scroll_shadowkingbuff_name	Esencia del rey de la Sombra
item_scroll_teleport_desc	La teletransportación produce una sensación extraña. Ahora estoy aquí y, de repente, estoy... en otro sitio. ¿Me mueve de lugar o me rehace? ¿Dónde estuve entre aquí y allí? Pensarlo me da dolor de cabeza.
item_scroll_teleport_effectdesc	Te teleporta a la casilla indicada.
item_scroll_teleport_name	Pergamino de teletransporte
item_scroll_waterkingbuff_name	Esencia del rey del Agua
item_seeds_tree1_desc	Si las planto en el huerto del Campamento Cantorrodado, de ellas brotará un árbol frutal.
item_seeds_tree1_name	Semillas de Hojafruta lustrosa
item_seeds_tree2_desc	Si las planto en el huerto del Campamento Cantorrodado, de ellas brotará un árbol del que cosechar diversos cereales.
item_seeds_tree2_name	Semillas de Granosombra grandioso
item_seeds_tree3_desc	Si las planto en el huerto del Campamento Cantorrodado, de ellas brotará un árbol que produce especias.
item_seeds_tree3_name	Semillas de Cortezaespeciada florida
item_seeds_tree4_desc	¡Si las planto en el huerto del Campamento Cantorrodado, de ellas brotará un árbol que produce gemas!
item_seeds_tree4_name	Semillas de Hojacegadora brillante
item_sort_type_alpha	A-Z
item_sort_type_rank	RANGO
item_sort_type_rarity	RAREZA
item_sort_type_type	TIPO
item_sort_type_value	VALOR
item_special_orb	Orbe lúcido
item_special_orb_shard	Esquirla de Orbe lúcido
item_spice_cilantro_desc	El aroma de esta hierba siempre me recuerda a la sopa de fideos.
item_spice_cilantro_extradesc	Potencia la probabilidad de golpe crítico un ^number1^ durante ^number2^ turnos (mínimo).
item_spice_cinnamon_desc	Un aroma y sabor de lo más reconfortantes. Te hace pensar en acurrucarse junto al fuego durante los meses de frío.
item_spice_cinnamon_extradesc	Añade regeneración extra de PV durante ^number1^ turnos (mínimo).
item_spice_garlic_desc	El aroma del ajo asado hace que se me haga la boca agua.
item_spice_garlic_extradesc	Potencia los PO obtenidos un ^number1^ durante ^number2^ turnos (mínimo).
item_spice_nutmeg_desc	Esta especia no es solo para postres; añade nuevos matices de sabor a la carne y a los tubérculos.
