abil_skill_acidburstclose_name	Säurestoß
floor_113_cname	Enklave der Banditen E1
floor_114_cname	Enklave der Banditen E2
floor_115_cname	Enklave der Banditen E3
floor_116_cname	Schleimgrotte
floor_117_cname	Apfelhain
floor_118_cname	Gefährtenladen
floor_119_cname	Bibliothek der Banditen
floor_11_cname	Steinstuben
floor_120_cname	Elementarhöhle E2
floor_129_cname	Streunernest
floor_131_cname	Reiz der Seelen
floor_132_cname	Verlassene Einrichtung E1
floor_133_cname	Verlassene Einrichtung E2
floor_134_cname	Verzweigte Aue
floor_135_cname	Pilzhöhlen
floor_135_oname	– Du betrittst: Pilzhöhlen –
floor_135_otxt	Durch das natürliche Flow ist dieser Ort ganz zugewachsen. Riesige Kreaturen und exotische Pflanzen greifen hier um sich. Es gibt weder eine Spur von den Banditen noch hat dieser Ort strukturierte Bereiche.
floor_139_cname	Vergrabene Beute
floor_140_cname	Karottensteige
floor_141_cname	Magmakammer E1
floor_142_cname	Magmakammer E2
floor_143_cname	Tsukidas Höhle
floor_145_cname	Piksgrube
floor_146_cname	Zainschneise
floor_150_cname	Windbacher Hain
floor_151_cname	Antike Ruinen
floor_17_cname	Replikator 52
floor_17_oname	– Du betrittst: Replikator 52 –
floor_17_otxt	Die Luft ist schwer vom Dröhnen arbeitender Maschinen. Obwohl dieser Ort sehr alt und zugewachsen ist, ist er doch aktiver als alles, was ich bisher gesehen habe. Biester, Elementargeister und Banditen patrouillieren und arbeiten hier zusammen … aber warum bloß?
floor_19_cname	Der Kern
floor_200_cname	Pfad nach Tangledeep E1
floor_204_cname	Eingang zum Banditenversteck E6
floor_205_cname	Eingang zum Banditen-HQ E11
floor_206_cname	Banditen-HQ
floor_207_cname	Biestteichpark
floor_208_cname	Verteidigungsanlage
floor_20_cname	Pfad nach Tangledeep E2
floor_210_cname	Forschungslabor
floor_211_cname	Fabrikator
floor_212_cname	Zentrale Verarbeitung
floor_213_cname	Wald der Freundschaft
floor_214_cname	Äußerer Alptraum
floor_215_cname	Montage-Einrichtung
floor_217_cname	Innerer Alptraum
floor_218_cname	Alptraumkern
floor_219_cname	Eingang zur Craggan-Mine
floor_220_cname	Craggan-Mine E1
floor_221_cname	Craggan-Mine E2
floor_222_cname	Das Finale
floor_223_cname	Eingefrorener Forschungsalkoven
floor_224_cname	Blühender Forschungsalkoven
floor_225_cname	Wüstenoase
floor_226_cname	Glückssalon E2
floor_227_cname	Traum ferner Dungeons
floor_228_cname	Zerstörte Passage
floor_229_cname	??? Passage
floor_230_cname	Testarena E1
floor_231_cname	Testarena E2
floor_5_cname	Schmutzschnabels Höhle
floor_6_cname	Altbernstation
foodcart_demand	<color=#40b843>Beliebtes Lebensmittel</color>: ^tag2^
foodcart_heading	<color=yellow>Regionale Marktentwicklung</color>
foodcart_price	<color=#40b843>Marktpreis</color>: <color=yellow>^tag2^</color>
foodcart_sales	<color=yellow>PROFIT!</color> Du hast **<color=yellow>^tag2^ G</color>** aus dem Verkauf von <color=yellow>^tag3^</color> essbaren Gegenständen verdient. (Denke daran, <color=#40b843>die Schmauskarre wieder aufzufüllen</color>!)
forget_petskill_buttontext	#cy#^tag1^#ec# für #cg#^tag2^#ec# JP vergessen
found_money	Du hast <color=yellow>^tag1^</color> G gefunden!
found_sparkle_bt	Ein Schatz!
found_sparkle_log	Du hast <color=yellow>^tag1^</color> auf dem Boden gefunden!
frenzy_bt	BLUTRAUSCH!
frenzy_log	<color=red>^tag1^ riecht Blut und dreht durch!</color>
gained_level_log	<color=yellow>^tag1^ hat eine neue Stufe erreicht!</color>
gambler_curse	GRRRRR!
gambler_darts	PFEILE!
gambler_death	SENSE!
gambler_explain_hand	Du hast <color=yellow>^tag1^</color>!
gambler_heal	MAX. HEILUNG!
gambler_icedarts	EISPFEILE!
gambler_lucky	GLÜCKSSCHWINDLER!
game_tips_1	Verwende deine <color=yellow>Heilflasche</color>, um mit der Zeit TP wiederherzustellen. Finde <color=#0cffe6>Brunnen</color>, um deine Flasche öfter aufzufüllen.
game_tips_10	Monster in Seitenbereichen <color=yellow>respawnen nicht</color>, also nimm dir ruhig Zeit und überlege dir die beste Strategie, um sie zu besiegen!
game_tips_11	Stehst du im Wasser, kannst du <color=yellow>Fernangriffen besser ausweichen</color>. Allerdings gilt das auch für <color=red>Monster</color> …
game_tips_12	Wenn du ein Monster zum <color=yellow>Gehege</color> bringst, kannst du seine <color=#40b843>Seltenheit</color> sehen. Eine größere Seltenheit bedeutet ein <color=yellow>stärkerer Gefährte</color>.
game_tips_13	Vom <color=yellow>Höhleneingang</color> auf dem <color=#0cffe6>Windbacher Marktplatz</color> aus kannst du zu vielen Gegenden, die du bereits besucht hast, <color=yellow>blitzreisen</color>.
game_tips_14	Monster mit <color=yellow>Fernwaffen</color> – so wie Stachelstupfer, Dorndolli und Schatzjäger – teilen nur <color=yellow>halben Schaden</color> aus, wenn du neben ihnen stehst.
game_tips_15	Es erscheinen mehr Power-ups, wenn deine Ressourcen (<color=#40b843>Ausdauer</color> und <color=yellow>Energie</color>) niedrig sind.
game_tips_16	Triffst du Monster mit einer <color=yellow>Nahkampfwaffe</color>, dann könnte das ein <color=#40b843>heilendes Power-up</color> erzeugen!
game_tips_2	Hab immer mindestens eine <color=yellow>Fernwaffe</color> zur Hand, um Monster aus der Entfernung zu schwächen.
game_tips_2b	Und mache dir ruhig die Kraft von <color=yellow>Verbrauchsgegenständen</color> zunutze! Wohlplatzierte <color=yellow>Krähenfüße</color> oder ein <color=red>Flammencocktail</color> können entscheiden, ob du als Sieger oder Verlierer aus dem Kampf gehst.
game_tips_3	Von Feinden umgeben? Versuche doch mal, mit einer <color=yellow>Axt</color> alle auf einmal zu treffen.
game_tips_4	Essen kannst du am <color=yellow>Lagerfeuer</color> in der Stadt zubereiten. Gekochtes Essen ist gehaltvoller!
game_tips_5	Rede mit <color=yellow>Erin</color> am Lagerfeuer in der Stadt, um <color=#0cffe6>Gerüchte</color> zu hören und Bonus-<color=yellow>Belohnungen</color> zu erhalten.
game_tips_6	Schaue ab und an in der Stadt vorbei – vielleicht haben die Händler ja <color=#40b843>neue Waren</color>.
game_tips_7	Es dauert eine <color=#ffc80a>Weile</color>, bis TP durch <color=yellow>Essen</color> und deine <color=yellow>Flasche</color> wiederhergestellt wurden, also warte nicht mit dem <color=#40b843>Essen und Trinken</color>!
game_tips_8	Auf deiner Hotbar kannst du Gegenstände für die Nebenhand – so wie Schilde, Köcher und Bücher – mit den <color=yellow>Waffen paaren</color>. Finde die besten Kombinationen!
game_tips_9	<color=yellow>Schwerter</color> sind großartige Waffen für die <color=#40b843>Abwehr</color>. Sie erhöhen deine Parierchance und <color=yellow>kontern</color>, wenn du parierst.
gamemods_consumable_cooldown	<color=red>Nicht essbare Verbrauchsgegenstände haben eine gemeinsame Abklingzeit von 3 Zügen</color>
gamemods_fast_fullness	#cg#Erhole dich vom Satt-Zustand doppelt so schnell#ec#
gamemods_fewer_powerups	#cy#Weniger Power-ups#ec#
gamemods_free_jobchange	#cg#Gratis Jobwechsel#ec#
gamemods_friendly_fire	#co#Fähigkeiten von Spielern und Monstern können Verbündete treffen#ec#
gamemods_goldfrogs_anywhere	#cg#Zufällige Goldfrösche auf Hauptpfad#ec#
gamemods_item_limit_9stacks	<color=red>SCHWIERIGKEIT HOCH:</color> Du kannst nur 9 Stapel eines Verbrauchsgegenstandes haben.
gamemods_job_specialist_bad	#cr#Cannot use non-hotbar skills; swap skills in town#ec#
gamemods_job_specialist_good	#cg#Tausche deine Fähigkeiten jederzeit gegen andere Fähigkeiten aus deiner Liste ein#ec#
gamemods_jp_half	#cy#Alle JP-Gewinne werden halbiert#ec#
gamemods_monster_regen	#cy#Monster regenerieren Gesundheit#ec#
gamemods_monsters_min_1power	<color=red>Alle Monster erhalten eine Champion-Kraft</color>
gamemods_multi_pandora	#co#Dreifache Anzahl an Büchsen der Pandora#ec#
gamemods_no_gold_drops	<color=red>Monster lassen kein Gold mehr fallen</color>
gamemods_no_jobchange	#cr#Keine Jobwechsel#ec#
gamemods_no_pandora	#co#Keine Büchsen der Pandora#ec#
gamemods_pets_dontdie	#cg#Gehege-Monster kehren ohne Strafe mit 0 Gesundheit nach Hause zurück#ec#
gamemods_player_regen	#cg#Regeneriere Gesundheit außerhalb des Kampfes#ec#
gamemods_player_resourceregen	#cg#Regeniere Energie und Ausdauer außerhalb des Kampfes#ec#
gangup_log	^tag1^ sieht, dass ^tag2^ kämpft, und bereitet sich auf einen Angriff vor!
gearset_bonusdesc_ascetic	2-Teile-Bonus: Qi-Welle trifft einen viel größeren Bereich.
gearset_bonusdesc_blizzard	2-Teile-Bonus: Chance, dass du angreifende Monster blendest. 3-Teile-Bonus: Eisgeschoss feuert mehr Pfeile in einen weiteren Bereich.
gearset_bonusdesc_crystal	2-Teile-Bonus: Bei eingehendem Angriff besteht die Chance, eine Kristallbarriere zu erzeugen, die Schaden absorbiert. 3-Teile-Bonus: Dein Runenkristall resoniert und führt dazu, dass Photonenkanone zudem Blitzschläge beruft.
gearset_bonusdesc_emerald	2-Teile-Bonus: ^number1^ der Waffenstärke wird in Widerstandsboni umgewandelt. 3-Teile-Bonus: Du fügst mit der Panzerdrill-Fähigkeit dreifachen Schaden zu.
gearset_bonusdesc_herge	2-Teile-Bonus: ^number1^ erhöhte Chance auf Power-ups. 3-Teile-Bonus: Monsterverwertung ruft zwei Monster herbei.
gearset_bonusdesc_kalzarius	2-Teile-Bonus: Erhöht den Schaden und senkt die Abklingzeit von Spaltung (Axtmeisterung). 3-Teile-Bonus: Die Wirksamkeit von Edge Thanes Zweihandprofi ist doppelt so stark.
gearset_bonusdesc_ramirel	2-Teile-Bonus: Die gegnerische Aggro-Reichweite wird um 1 Feld reduziert. 3-Teile-Bonus: Mit Rauchwolke verlieren alle Gegner Aggro an dich.
gearset_bonusdesc_wildchild1	2-Teile-Bonus: Das Verwenden einer Wildfang-Fähigkeit gewährt deiner nächsten Wildfang-Fähigkeit ^number1^ Schaden.
gearset_bonusdesc_wildnature	2-Teile-Bonus: Berufene Floracondas erhalten ^number1^ TP. 3-Teile-Bonus: Größe und Schaden von Dornenbeet ist erhöht.
gearset_name_ascetic	Ascetics Anzug
gearset_name_blizzard	Schneeset
gearset_name_crystal	Kristallin-Garnitur
gearset_name_emerald	Grüne Bastion
gearset_name_herge	Herges Ensemble
gearset_name_kalzarius	Kalzarius' Kriegskleid
gearset_name_ramirel	Ramirels Flüstern
gearset_name_wildchild1	Tierkostüme
gearset_name_wildnature	Montur der wilden Natur
generic_family	Familie
grove_tree_plantinfo	Vor <color=yellow>^tag2^</color> Tagen von <color=#0cffe6>^tag1^</color> gepflanzt.
hears_battle_log	^tag1^ fühlt sich von den nahen Kampfgeräuschen angezogen.
help_bt	HILFE!
help_player_victorious	<color=#40b843><size=50>GLÜCKWUNSCH!</size></color>\n\nJetzt, da du das Spiel zu Ende gespielt hast, kannst du in deinem Speicherplatz <color=yellow>fortfahren</color> und Tangledeep weiter erkunden. Dein Spiel wurde gespeichert, kurz bevor du die Spitze erreicht hast.\n\nAußerdem hast du für diesen Speicherplatz den Modus <color=#40b843>NEUES SPIEL+</color> freigeschaltet! Willst du den Modus verwenden, dann wähle <color=yellow>Neues Spiel</color> auf deinem siegreichen Speicherplatz und bestätige danach <color=#40b843>NEUES SPIEL+</color>.\n\nDu behältst deine ganze Erfahrung, alle Fähigkeiten und Gegenstände, aber Tangledeep wird mit viel schwierigeren Herausforderungen neu erstellt … und mit <color=yellow>mehr Schätzen</color>!\n
help_player_victorious_ngplus	<color=#40b843><size=50>GLÜCKWUNSCH!</size></color>\n\nDu hast <color=#40b843>NEUES SPIEL+</color> gemeistert, doch es wartet noch eine weitere Herausforderung auf dich … das heißt, wenn du keine Angst vor einer Niederlage hast.\n\nUm eine #cr#Welt der Grauen#ec# zu betreten, wähle <color=yellow>Neues Spiel</color> auf diesem Speicherplatz und bestätige dann #cr#Welt der Grauen#ec#.\n\nGenau wie wenn du ein <color=#40b843>NEUES SPIEL+</color> spielst, wirst du auch hier all deine Erfahrungen, Fähigkeiten und Gegenstände behalten, aber Tangledeep wird mit viel schwierigeren Herausforderungen (und mehr Belohnungen) neu erschaffen!\n
help_player_victorious_ngplusplus	<color=#40b843><size=50>GLÜCKWUNSCH!</size></color>\n\nDu hast die #cr#WELT DER GRAUEN#ec# gemeistert.\n\nDu bist ein wahrer Champion von #cg#Tangledeep#ec#!\n\n
highest_floor_ever	Rekordebene
hub_repair_status_dialog_hasd_abandon	#cy##HERONAME#.AVATAR#ec#!\n\nSCHLIEßE ALLE REPARATUREN AB, BEVOR DU DEN KERN BETRITTST!\n\n#cy#SHARA.AVATAR#ec# STREBTE REPARATUREN AN, WELCHE LEIDER WIEDERHOLT UND KATASTROPHAL SCHEITERTEN.\n\nWENN DU DEN KERN BETRITTST, BEVOR DU DIE ANDEREN SEKTOREN WIEDER INSTAND BRINGST, STEHEN DEINE CHANCEN, DIE FEHLFUNKTIONEN ZU ÜBERLEBEN, BEINAHE BEI NULL.\n\n
hub_repair_status_dialog_hasd_fabricator_status	FABRIKATORSTATUS: ^$vargt:final_sidearea2_clear,0:STABIL:#cr#ÜBERTAKTET#ec#$^\n\n^$vargt:final_sidearea2_clear,0:EINHEITSGENERIERUNG UND FLOW-INJEKTIONSOPERATIONEN BEFINDEN SICH INNERHALB NORMALER PARAMETER.:EINHEITSGENERIERUNG UND FLOW-INJEKTIONSOPERATIONEN ARBEITEN BEI 475 % DER MAXIMALEN SICHEREN GESCHWINDIGKEIT. #cy#SHARA.AVATAR#ec# VERORDNETE REPARATUREN, WELCHE MIR DIE DIREKTE KONTROLLE ÜBER DIE SICHERHEITSTECHNIK ENTZOGEN HABEN. ICH WAR MIR NICHT DARÜBER BEWUSST, DASS SOLCHE REPARATUREN EXISTIEREN.$^\n\n^$vargt:final_sidearea2_clear,0: :NEUERSTELLTE EINHEITEN OPERIEREN OHNE SCHUTZ UND SIND UNBERECHENBAR.$^\n
hub_repair_status_dialog_hasd_i_am_supervisor	ICH BIN DEINE ZENTRALANLAGE, EINHEIT Z-99.\n\nDIE BIOSCAN-TOMOGRAFIE DEUTET AUF EINE 73,4%IGE WAHRSCHEINLICHKEIT HIN, DASS DEIN AKTUELLER STATUS DER FOLGENDE IST: VERWIRRT.\n\nBITTE VERLASSE DEN VERWIRRTHEITSSTATUS UND BEGINNE MIT DEN REPARATUREN.\n\n
hub_repair_status_dialog_hasd_lab_status	STATUS DES FORSCHUNGSLABORS: ^$vargt:final_sidearea4_clear,0:SICHER:#cr#KOMPROMITTIERT#ec#$^\n\n^$vargt:final_sidearea4_clear,0:EINDRINGENDE KREATUREN DER BANDITENKLASSE WURDEN ENTFERNT.:KREATUREN DER BANDITENKLASSE BESCHÄDIGEN AUSRÜSTUNG UND FORSCHUNGSDATEN. DIE KREATUREN DER BANDITENKLASSE WURDEN VON #cy#SHARA.AVATAR#ec# BESTELLT, UM BEI REPARATUREN BEHILFLICH ZU SEIN. DOCH DIE REPARATURVERSUCHE DER KREATUREN DER BANDITENKLASSE SIND FUNKTIONELL BEDENKLICH UND VERURSACHEN NOCH GRÖẞERE FEHLFUNKTIONEN.$^\n\n^$vargt:final_sidearea4_clear,0: :99,9%IGE WAHRSCHEINLICHKEIT, DASS #cy#SHARA.AVATAR#ec# VON RUCHLOSEN KREATUREN DER BANDITENKLASSE HEREINGELEGT WURDE.$^\n\n
hub_repair_status_dialog_hasd_regen_status	STATUS DES REGENERATORS: ^$vargt:final_sidearea3_clear,0:UNTÄTIG:#cr#ÜBERAKTIV#ec#$^\n\n^$vargt:final_sidearea3_clear,0:DAS NETZWERK WURDE VON ÜBERSCHÜSSIGEN REGENERATIONSEINHEITEN BEFREIT.:DAS NETZWERK WURDE DURCH MEHRERE REGENERATIONSEINHEITEN ÜBERLASTET. ÜBERLASTENDE OPERATIONEN WURDEN VON #cy#SHARA.AVATAR#ec# DURCHGEFÜHRT. REGENERATIONSEINHEITEN KÖNNEN REPARATUREN DER MATERIALIEN, JEDOCH KEINE KRITISCHEN REPARATUREN DES KERNSYSTEMS DURCHFÜHREN. #cy#SHARA.AVATAR#ec# WURDE DARÜBER 1192-MAL INFORMIERT.$^\n\n^$vargt:final_sidearea3_clear,0: :NETZWERKÜBERLASTUNG VERURSACHT DURCH ÜBERSCHÜSSIGE REGENERATIONSEINHEITEN VERBRAUCHT PROZESSORLEISTUNG, WELCHE FÜR ANDERE FUNKTIONEN BENÖTIGT WIRD.$^\n\n
hub_repair_status_dialog_hasd_special_repair_statement	SONDERREPARATURBERICHT:\n\nDIE FOLGENDEN SEKTOREN BENÖTIGEN WEITERE REPARATUREN\n\nVERTEIDIGUNGSANLAGE\nFABRIKATOR\nREGENERATOR\nFORSCHUNGSLABOR\n\n#cy##HERONAME#.AVATAR#ec#, SETZE DIESE SEKTOREN WIEDER INSTAND, BEVOR DU DEN KERN REPARIERST. BITTE BESTÄTIGE, INDEM DU „ICH VERSTEHE“ SAGST.\n\n
hub_repair_status_dialog_hasd_special_repair_statementresponse_0	Du bist also die Zentralanlage?
hub_repair_status_dialog_hasd_special_repair_statementresponse_1	Avatar?
hub_repair_status_dialog_hasd_special_repair_statementresponse_2	Wo ist Shara?!?
hub_repair_status_dialog_hasd_special_repair_statementresponse_3	Ich verstehe.
hub_repair_status_dialog_hasd_special_repair_statementresponse_4	Sei still und lass mich in Ruhe.
hub_repair_status_dialog_hasd_start	#cy##HERONAME#.AVATAR#ec#\n\nVIELEN DANK, DASS DU AUF UNSER REPARATURGESUCH REAGIERT HAST.\n\nDEINE REAKTIONSZEIT BETRUG: WEIT ÜBER DEM DURCHSCHNITT.\n\nICH BIN DEINE ZENTRALANLAGE, EINHEIT Z-99. ICH HABE DIE EREIGNISSE DEINES LEBENS, DIE ZU DIESEM MOMENT FÜHRTEN, EVALUIERT. AUFGRUND DEINES EVALUIERUNGSERGEBNISSES MUSS ICH DICH DARÜBER INFORMIEREN, DASS MEIN AKTUELLER STATUS FOLGENDER IST: STOLZ.\n\n
hub_repair_status_dialog_hasd_status_monitor	^$vargt:final_sidearea1_clear,0:WEAPONS FACILITY:#cr#VERTEIDIGUNGSANLAGE (UNSICHER)#ec#$^\n^$vargt:final_sidearea2_clear,0:FABRICATOR:#cr#FABRIKATOR (UNSICHER)#ec#$^\n^$vargt:final_sidearea3_clear,0:REGENERATOR:#cr#REGENERATOR (UNSICHER)#ec#$^\n^$vargt:final_sidearea4_clear,0:RESEARCH LABORATORY:#cr#FORSCHUNGSLABOR (UNSICHER)#ec#$^\n\n
hub_repair_status_dialog_hasd_status_monitorresponse_0	Status der Verteidigungsanlage?
hub_repair_status_dialog_hasd_status_monitorresponse_1	Status des Fabrikators?
hub_repair_status_dialog_hasd_status_monitorresponse_2	Status des Regenerators?
hub_repair_status_dialog_hasd_status_monitorresponse_3	Status des Forschungslabors?
hub_repair_status_dialog_hasd_status_monitorresponse_4	Menü schließen
hub_repair_status_dialog_hasd_talking_about	JA. #cy##HERONAME#.AVATAR#ec# IST DEINE BEZEICHNUNG.\n\nFALLS DU EINE ANDERE BEZEICHNUNG MÖCHTEST, VEREINBARE BITTE EINE NOMENKLATURREFAKTURIERUNGSSITZUNG, SOBALD DIE REPARATUREN FERTIGGESTELLT WURDEN.\n\nACHTUNG: DIE DATENEVALUIERUNG DEUTET DARAUF HIN, DASS EINE NOMENKLATURREFAKTURIERUNG NICHT EMPFOHLEN WIRD. #cy##HERONAME##ec# PASST GUT ZU DIR.\n\n
hub_repair_status_dialog_hasd_wf_status	STATUS DES WAFFENLAGERS: ^$vargt:final_sidearea1_clear,0:ENTWAFFNET:#cr#GEFÄHRLICH#ec#$^\n\n^$vargt:final_sidearea1_clear,0:DIE MOBILEN VERTEIDIGUNGSPLATTFORMEN WURDEN DEAKTIVIERT UND ENTWAFFNET.:MEHRERE MOBILE VERTEIDIGUNGSPLATTFORMEN WURDEN VON #cy#SHARA.AVATAR#ec# AKTIVIERT. MOBILE VERTEIDIGUNGSPLATTFORMEN SIND NICHT DAZU KONZIPIERT, REPARATUREN AUSZUFÜHREN. MOBILE VERTEIDIGUNGSPLATTFORMEN SIND DAZU KONZIPIERT, BEDROHUNGEN ZU ELIMINIEREN.$^\n\n^$vargt:final_sidearea1_clear,0: :HYPOTHESE – #cy#SHARA.AVATAR#ec# WAR MIT DER VERWENDUNG MOBILER VERTEIDIGUNGSPLATTFORMEN NICHT VERTRAUT UND HAT SIE VERSEHENTLICH AKTIVIERT, BEWAFFNET UND ÜBERTAKTET.$^\n\n
hub_repair_status_dialog_hasd_where_is_shara	#cy#SHARA.AVATAR#ec# BEFINDET SICH IM KERN.\n\n#cy#SHARA.AVATAR#ec# HAT REPARATUREN ANGESTREBT.\n\nDIESE VERSUCHE HATTEN EINEN -4812%IGEN ANSTIEG IN SICHERHEIT UND INTEGRITÄT ZUR FOLGE.\nDIE VERSUCHE VERURSACHTEN 5.218.346 NEUE FEHLER UND 389.451.180 NEUE WARNUNGEN.\n\nACHTUNG: #cy##HERONAME#.AVATAR#ec# SOLLTE WOHL EINE ANDERE VERFAHRENSWEISE FÜR DIE REPARATUR VERWENDEN.\n\n
info_weaponproperties_axe	Trifft alle angrenzenden Gegner\nBei krit: Abwehr wird durchbrochen
info_weaponproperties_bow	Schaden abhängig von Tempo
info_weaponproperties_claw	Fügt größeren Schaden abhängig von kürzl. verlorenen TP zu; Zweihandbonus.\nBei krit: Heilt 5 % der max. TP (gegen nicht-banale Gegner)
info_weaponproperties_dagger	Schaden abhängig von List, Kraft; teilt zusätzl. Schaden durch wiederholte Treffer auf dasselbe Ziel aus\nBei krit: Du erhältst 35 CT
info_weaponproperties_mace	Chance, dein Ziel zu betäuben\nBei krit: du teilst je nach % der max. TP Schaden aus
info_weaponproperties_spear	Grundeangriffe durchdringen 25 % des gegnerischen Widerstands. Bei krit: Ziel wird angewurzelt
info_weaponproperties_staff	Schaden abhängig von Gemüt und Disziplin\nFügt pro Stufe 1 Geisteskraft hinzu
info_weaponproperties_sword	Parierchance steigt; Konter nach Parieren\nBei krit: nächster Angriff wird abgewehrt
intro_brigand	Leute wie ich gehören in die Wildnis, sagt man.\nAber was, wenn ich mich nicht an Regeln halten will? Ich kann Recht von Unrecht unterscheiden.\nIch gehe hin, wo ich will, so wie immer.\nHeute werde ich stinkreich werden!
intro_budoka	Ein Regentropfen alleine ist sanft.\nDoch wer kann dem Taifun standhalten?\nIch bin sowohl die Ruhe als auch der Sturm.\nHeute werde ich mich endlich richtig verstehen.
intro_edgethane	Ich wuchs mit den Geschichten legendärer Helden auf.\nIch habe gelernt, dass der Triumph dem Unglück folgt.\nIn meiner Odyssee durch Tangledeep werde ich jede Herausforderung meistern.\nHeute werde ich die Lieder meiner eigenen Abenteuer singen!
intro_floramancer	Ich warte schon so lange darauf, hinauszuziehen!\nIch kann sie hören, sie alle kann ich hören. Sie singen, sie lachen, sie erzählen einander Geschichten.\nTangledeep ist so laut und voller Leben!\nHeute werde ich neue Freunde finden, und sie werden mir alles erzählen.
intro_gambler	Rollende Würfel, sich drehende Räder …\nIch bin bereit, groß abzuräumen, und Tangledeep kann mich auszahlen.\nIch lebe fürs Wetten, und keiner macht bessere Einsätze als ich.\nHeute ist mein Glückstag!
intro_hunter	Tangledeep ist eine Gabe der Natur. Ein Geschenk, das wir ehren müssen.\nIch werde auf ewig dankbar sein. Die Natur ist der Atem, der mir Leben schenkt.\nDoch ich bin es leid, dass Diebe, Banditen und Bösewichte meine Luft verschmutzen.\nHeute werde ich saubermachen.
intro_husyn	Ich diene keinem Meister, doch ich wurde gebaut, nicht geboren.\nNiemand weiß etwas, und ich schon gar nicht!\nObwohl ich mich immer willkommen gefühlt habe, wusste ich nie, wo ich hingehöre.\nDoch nun weiß ich … ich gehöre ins Morgen.
intro_miraishara	Mit meinen magischen Gaben ziehe ich das einsame Leben vor.\nWenn ich mich nur auf mich selbst verlasse, werde ich nicht enttäuscht.\nMeine Kräfte wachsen mit jedem Tag.\nHeute werde ich mir neues Wissen aneignen.
intro_paladin	Ich habe nie daran gezweifelt, dass Glaube Kraft bedeutet.\nMein Zuhause, meine Leute – sie bedeuten mir alles.\nDoch ich habe eine Aufgabe, und ich wurde auserwählt.\nHeute werde ich meine Pflicht erfüllen.
intro_soulkeeper	Einige leben in der Gegenwart, andere in der Zukunft.\nDoch ich interessiere mich für die Echos von gestern.\nDiese Welt steckt voller Erinnerungen.\nHeute werde ich herausfinden, wem sie gehören.
intro_spellshaper	Die Länge meines Trainings, die Tiefe meiner Forschungen.\nSie sind der Grund meines Daseins.\nHinter jeder Ecke lauern Gefahren, doch in jedem Winkel finden sich Lösungen.\nHeute werde ich mich mit dem Unbekannten messen.
intro_sworddancer	Jeder Schritt ist kalkuliert, jeder Schnitt gut geplant.\nUnd meine Gegner haben schon vor zehn Zügen verloren.\nDas Leben ist Balance, Anmut und ständige Bewegung.\nHeute wird alles einen Sinn ergeben.
intro_wildchild	Die Leute verhalten sich so merkwürdig.\nWarum geben sie sich nicht dem Touch hin?\nDie Gesellschaft von Monstern ist mir lieber.\nHeute werde ich den Ort erobern, an dem ich geboren bin!
introtext1	Seit unzähligen Generationen leben meine Leute tief unter der Erde, umgeben von <color=#40b843>grünen unterirdischen Wäldern</color>, <color=#0cffe6>sprudelnden Gewässern</color> und <color=yellow>kristallenem Leuchten</color>.\n\nWir alle haben eine besondere Verbundenheit zu dieser Welt, eine Verbindung mit der Natur, die wir <color=yellow>den Touch</color> nennen.\n
introtext2	Manche werden mit einem stark ausgeprägten <color=yellow>Touch</color> geboren, der sie mit einer Liebe für <color=yellow>Abenteuer</color> erfüllt, mit einem Drang, die <color=#0cffe6>Wildnis</color> außerhalb unserer <color=#40b843>Heimat</color> zu erkunden.\n\nJene mit dem <color=yellow>Touch</color> nehmen eine tierische Gestalt an.\n
introtext3	Und manchmal, wenn wir ganz tief mit dem <color=yellow>Touch</color> verbunden sind, fühlen wir uns zu <color=#40b843>Tangledeep</color> hingezogen …\n\nEin sich ständig wandelndes Labyrinth, das <color=yellow>nach oben</color> führt, in eine Welt, die <color=yellow>niemand jemals zuvor gesehen hat</color>.\n\n
introtext4	Ich selbst habe den <color=yellow>Touch</color> noch nie gespürt, anders als viele anderen in <color=yellow>Windbach</color>. Und doch gibt es so vieles, das ich über <color=#40b843>Tangledeep</color> lernen will …\n\nHeute habe ich eine Entscheidung getroffen: <color=yellow>Ich werde dorthin gehen</color> und meine eigenen Antworten finden.\n
item_accessory_angelankh_desc	Ich weiß nicht, ob irgendjemand – oder irgendetwas – auf mich aufpasst, wenn ich alleine in Tangledeep unterwegs bin. Aber wenn ich es in den Händen halte, fühlt es sich tatsächlich so an.
item_accessory_angelankh_name	Ankh der Engel
item_accessory_assassingloves_desc	Ich hätte nie gedacht, dass ich mal solche Handschuhe tragen würde. Julia hatte recht – Tangledeep verändert einen.
item_accessory_assassingloves_name	Assassinen-Handschuhe
item_accessory_bagofstones_desc	Jetzt sehe ich es ganz deutlich: Hier ruht #HERONAME#, der die Waffen ausgingen und die darum Steine auf Monster geworfen hat, bis sie sie fraßen.
item_accessory_bagofstones_name	Kieselbeutel
item_accessory_bountifulbag_desc	Wow, das ist wirklich praktisch.
item_accessory_bountifulbag_name	Spartasche
item_accessory_candleskull_desc	Soll einem das etwa Angst machen? Also mir macht das keine Angst. Irgendwie finde ich ihn sogar ganz süß!
item_accessory_candleskull_name	Kerzenschädel
item_accessory_charmcirclet_desc	Es lässt meinen Teint strahlen und so eben aussehen, was wirklich toll ist, aber vor allem hilft es mir, andere Leute wirklich zu verstehen. Darin besteht die wahre Magie.
item_accessory_charmcirclet_name	Diadem der Überzeugung
