abil_skill_acidburstclose_name	酸の炸裂
dialog_tutorial_wait_main_txt_switch	移動せずにターンを消費したいですか？\n\n#cg#リングメニュー#ec#（#RINGMENU#）を開いて<sprite=3> を選択し、ターンが過ぎるのを待ちましょう。\n\n
dialog_tutorial_wait_main_txt_universal	^$getstring:help_diagonalwait$^
dialog_unlock_wildchild_main2_txt	うわうわ...今って私、どうしちゃったんだろ。\n\nきっとこの場所のせいね。私の中の<color=yellow>野生</color>を本気で引き出してしまう！\n
dialog_unlock_wildchild_main_btn_0	<color=red>ウガアアアッ！</color>
dialog_unlock_wildchild_main_txt	ハッ！アタシに逆らうと大けがするよ、このデブトカゲ！<color=yellow>アタシ</color>は今や、この森で<color=red>一番大きくてタフ</color>な存在なんだ。\n\nどうしたのさ、魔物ども！<color=yellow>あんたらの力はその程度かい</color>？\n
dialog_view_defeatdata_text	この木には、#cg#タングルディープ#ec#の森で消息を絶った冒険者たちの名前が刻み込まれています。\n
dialog_viewalltutorials_main_btn_0	斜め移動と待機
dialog_viewalltutorials_main_btn_1	パンドラの箱
dialog_viewalltutorials_main_btn_2	サイドエリア
dialog_viewalltutorials_main_btn_3	小びんによる回復
dialog_viewalltutorials_main_btn_4	危険な地形
dialog_viewalltutorials_main_btn_5	時間の流れ
dialog_viewalltutorials_main_btn_6	モノの夢へ入る
dialog_viewalltutorials_main_btn_7	モノの夢から出る
dialog_viewalltutorials_main_btn_8	毒ガス
dialog_viewalltutorials_main_txt	<color=yellow>読みたいチュートリアルを選んでください。</color>\n
dialog_wardrobe_change_intro_btn_0	服を着替える
dialog_wardrobe_change_intro_btn_1	またあとで
dialog_wardrobe_change_intro_txt	<color=yellow>衣装ダンス</color>\n\nここで服を着替えることができます！変化するのは<color=yellow>外見</color>だけで、能力値やスキルには影響しません。\n\n<color=yellow>スキルを学んだことのある</color>ジョブの衣装へ、着替えることができます。\n
dialog_waypoint_unlocked_text	#big##cg#ウェイポイントを解除！#ec##endbig#\n\n#cc#リヴァーストーン村#ec#の洞窟入口から、#cy#^$getstring:fasttravel_destination$^#ec#へ#cy#瞬時に移動#ec#できるようになりました。\n\n安全なサイドエリアで^tag5^を使っても構いません。\n\n
dialog_waypoint_unlocked_text_controller	#big##cg#ウェイポイントを解除！#ec##endbig#\n\n#cc#リヴァーストーン村#ec#の洞窟入口から、#cy#^$getstring:fasttravel_destination$^#ec#へ#cy#瞬時に移動#ec#できるようになりました。\n\n安全なサイドエリアで^tag5^を使っても構いません。\n\n
dialog_weaponmaster_callout_intro2_txt	<color=yellow>ジョリト</color>: いかにも。それがしはそなたの<color=#40b843>成長</color>を日々見守ってきた。そなたが腕を上げていくのを。\n\n今こそ、<color=#40b843>武器の奥義</color>を学ぶ頃合いだろう。\n\nいつでも会いに来い。それがしが新たな道を伝授してしんぜよう。\n
dialog_weaponmaster_callout_intro_btn_0	え、私のこと？
dialog_weaponmaster_callout_intro_txt	<color=yellow>ジョリト</color>: やあ、勇敢なる戦士よ。\n
dialog_weaponmaster_chat_altintro_btn_0	武器の奥義って？
dialog_weaponmaster_chat_altintro_btn_1	<color=#40b843>剣の奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_2	<color=#40b843>斧の奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_3	<color=#40b843>短剣の奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_4	<color=#40b843>爪の奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_5	<color=#40b843>メイスの奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_6	<color=#40b843>弓の奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_7	<color=#40b843>槍の奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_8	<color=#40b843>杖の奥義</color>の道
dialog_weaponmaster_chat_altintro_btn_9	<color=#40b843>拳の奥義</color>の道
dialog_weaponmaster_chat_altintro_txt	<color=yellow>ジョリト</color>: 運命の糸は激しく蛇行し、危険に満ちておる。ペンや言葉がそなたを救うとは思わぬことだ。\n\n信じるべきは斧の刃だけ...最後に頼れるのは弓の矢羽と、己の闘争心だけなのだ。\n\nそなたは<color=#40b843>武器奥義の道</color>を学ぶ準備ができていると見える。\n
dialog_weaponmaster_chat_axe_mastery_ultimate1_txt	<color=yellow>ジョリト</color>: <color=#0cffe6>ワールウィンド</color>を学ぶ前に、利き手に<color=yellow>斧</color>を装備した状態で、<color=yellow>^tag1^体のチャンピオン</color>を打ち負かす必要がある。また、ランクが「<color=#79a2ab>いちころ</color>」の敵はカウントされぬから注意せよ。\n\nそなたは今までに<color=yellow>斧</color>を使って、<color=#40b843>^tag2^</color>体のチャンピオンを倒したようだ。修練を続けるがよい。\n
dialog_weaponmaster_chat_axe_mastery_ultimate_ready_btn_0	ワールウィンドを学ぶ（1000 JP）
dialog_weaponmaster_chat_axe_mastery_ultimate_ready_txt	<color=yellow>ジョリト</color>: どうやら<color=yellow>斧</color>を使って、<color=yellow>^tag2^体のチャンピオン</color>を打ち負かしたか。今なら<color=#40b843>究極技</color>を教えてもよかろう。\n\nお主が覚えたいのは、この<color=#40b843>究極技</color>で<color=yellow>間違いない</color>か？<color=red>別の究極技は二度と学べんぞ</color>？\n
dialog_weaponmaster_chat_axemasteryintro2_btn_0	残忍な斧を学ぶ（700 JP）
dialog_weaponmaster_chat_axemasteryintro2_txt	<color=yellow>ジョリト</color>: <color=yellow>斧</color>は敵の一群を切り裂くことができる、残忍な近接武器だ。その<color=#40b843>奥義</color>は<color=yellow>集団攻撃と能力強化</color>に主眼が置かれている。\n\n2つ目の奥義は、パッシブ型の<color=#0cffe6>残忍な斧</color>だ。自身を取り囲む敵が多いほど、追加ダメージが増す。\n
dialog_weaponmaster_chat_axemasteryintro3_btn_0	強振を学ぶ（800 JP）
dialog_weaponmaster_chat_axemasteryintro3_txt	<color=yellow>ジョリト</color>: <color=yellow>斧</color>は敵の一群を切り裂くことができる、残忍な近接武器だ。その<color=#40b843>奥義</color>は<color=yellow>集団攻撃と能力強化</color>に主眼が置かれている。\n\n3つ目の奥義は、パッシブ型の<color=#0cffe6>強振</color>だ。斧で敵を倒した瞬間、続けざまにもう一撃を放つ。\n
dialog_weaponmaster_chat_axemasteryintro4_btn_0	決めたわ、<color=#0cffe6>ワールウィンド</color>を教えて！
dialog_weaponmaster_chat_axemasteryintro4_txt	<color=yellow>ジョリト</color>: どうやらそなたは、<color=yellow>斧</color>の道に十分熟達したようだ。<color=#40b843>究極技</color>を覚える準備はよいか？ただし、よく考えて決断せよ。<color=#40b843>究極技</color>は<color=yellow>1つ</color>しか覚えられんからな。\n\n<color=#0cffe6>ワールウィンド</color>は<color=yellow>斧</color>を振り回して、鋭利なつむじ風を発生させる技だ。付近の敵は毎ターン<color=red>ダメージ</color>を受ける一方、術者は別の行動を取ることができる。\n
dialog_weaponmaster_chat_axemasteryintro_btn_0	かぶと割りを学ぶ（400 JP）
dialog_weaponmaster_chat_axemasteryintro_txt	<color=yellow>ジョリト</color>: <color=yellow>斧</color>は敵の一群を切り裂くことができる、残忍な近接武器だ。その<color=#40b843>奥義</color>は<color=yellow>集団攻撃と能力強化</color>に主眼が置かれている。\n\n1つ目の奥義は<color=#0cffe6>かぶと割り</color>だ。一歩前へ出て周囲の敵を攻撃し、守備を粉砕する。\n
dialog_weaponmaster_chat_bow_mastery_ultimate1_txt	<color=yellow>ジョリト</color>: <color=#0cffe6>アローストーム</color>を学ぶ前に、利き手に<color=yellow>弓</color>を装備した状態で、<color=yellow>^tag1^体のチャンピオン</color>を打ち負かす必要がある。また、ランクが「<color=#79a2ab>いちころ</color>」の敵はカウントされぬから注意せよ。\n\nそなたは今までに<color=yellow>弓</color>を使って、<color=#40b843>^tag2^</color>体のチャンピオンを倒したようだ。修練を続けるがよい。\n
dialog_weaponmaster_chat_bow_mastery_ultimate_ready_btn_0	アローストームを学ぶ（1000 JP）
dialog_weaponmaster_chat_bow_mastery_ultimate_ready_txt	<color=yellow>ジョリト</color>: どうやら<color=yellow>弓</color>を使って、<color=yellow>^tag2^体のチャンピオン</color>を打ち負かしたか。今なら<color=#40b843>究極技</color>を教えてもよかろう。\n\nお主が覚えたいのは、この<color=#40b843>究極技</color>で<color=yellow>間違いない</color>か？<color=red>別の究極技は二度と学べんぞ</color>？\n
dialog_weaponmaster_chat_bowmasteryintro2_btn_0	捕食者の弓を学ぶ（700 JP）
dialog_weaponmaster_chat_bowmasteryintro2_txt	<color=yellow>ジョリト</color>: <color=yellow>弓</color>は遠く離れた敵を狙って射抜く、華麗な遠隔武器だ。その<color=#40b843>奥義</color>は<color=yellow>距離を保ちつつ、正確に射抜く</color>ことに主眼が置かれている。\n\n2つ目の奥義は、パッシブ型の<color=#0cffe6>捕食者の弓</color>だ。周囲に味方がいない敵へ大ダメージを与えられる。\n
dialog_weaponmaster_chat_bowmasteryintro3_btn_0	散兵の一矢を学ぶ（800 JP）
dialog_weaponmaster_chat_bowmasteryintro3_txt	<color=yellow>ジョリト</color>: <color=yellow>弓</color>は遠く離れた敵を狙って射抜く、華麗な遠隔武器だ。その<color=#40b843>奥義</color>は<color=yellow>距離を保ちつつ、正確に射抜く</color>ことに主眼が置かれている。\n\n3つ目の奥義は、パッシブ型の<color=#0cffe6>散兵の一矢</color>だ。狙いすました一撃によって、確率で敵のスキルを妨害できる。\n
dialog_weaponmaster_chat_bowmasteryintro4_btn_0	決めたわ、<color=#0cffe6>アローストーム</color>を教えて！
dialog_weaponmaster_chat_bowmasteryintro4_txt	<color=yellow>ジョリト</color>: どうやらお主は、<color=yellow>弓</color>の道に十分熟達したようだ。<color=#40b843>究極技</color>を覚える準備はよいか？ただし、よく考えて決断せよ。<color=#40b843>究極技</color>は<color=yellow>1つ</color>しか覚えられんからな。\n\n<color=#0cffe6>アローストーム</color>は弓を射るたび、さらなる矢の雨が最大<color=yellow>3マス</color>上に降り注ぐ強力な技だ。\n\nこれらの矢は1ターン後に着弾し、大ダメージを与える。\n
dialog_weaponmaster_chat_bowmasteryintro_btn_0	ジャンプショットを学ぶ（400 JP）
dialog_weaponmaster_chat_bowmasteryintro_txt	<color=yellow>ジョリト</color>: <color=yellow>弓</color>は遠く離れた敵を狙って射抜く、華麗な遠隔武器だ。その<color=#40b843>奥義</color>は<color=yellow>距離を保ちつつ、正確に射抜く</color>ことに主眼が置かれている。\n\n1つ目の奥義は<color=#0cffe6>ジャンプショット</color>だ。近くのマスへ跳び移りながら、ランダムで敵を射抜いてみせる。\n
dialog_weaponmaster_chat_claw_mastery_ultimate1_btn_0	わかったわ
dialog_weaponmaster_chat_claw_mastery_ultimate1_txt	<color=yellow>ジョリト</color>: <color=#0cffe6>破壊の爪</color>を学ぶ前に、利き手に<color=yellow>爪</color>を装備した状態で、<color=yellow>^tag1^体のチャンピオン</color>を打ち負かす必要がある。また、ランクが「<color=#79a2ab>いちころ</color>」の敵はカウントされぬから注意せよ。\n\nそなたは今までに<color=yellow>爪</color>を使って、<color=#40b843>^tag2^</color>体のチャンピオンを倒したようだ。修練を続けるがよい。\n
dialog_weaponmaster_chat_claw_mastery_ultimate_ready_btn_0	破壊の爪を学ぶ（1000 JP）
dialog_weaponmaster_chat_claw_mastery_ultimate_ready_txt	<color=yellow>ジョリト</color>: どうやら<color=yellow>爪</color>を装備して、<color=yellow>^tag2^体のチャンピオン</color>を打ち負かしたか。今なら<color=#40b843>究極技</color>を教えてもよかろう。\n\nそなたが覚えたいのは、この<color=#40b843>究極技</color>で<color=yellow>間違いない</color>か？<color=red>別の究極技は二度と学べんぞ</color>？\n
dialog_weaponmaster_chat_clawmasteryintro2_btn_0	鉄のにぎりを学ぶ（700 JP）
dialog_weaponmaster_chat_clawmasteryintro2_txt	<color=yellow>ジョリト</color>: <color=yellow>爪</color>は守りを捨てて攻撃だけを行う、<color=red>荒っぽい</color>戦士にうってつけの残酷な武器だ。その<color=#40b843>奥義</color>は<color=yellow>激しい接近戦</color>に主眼が置かれ、肉を切って骨を断つの精神が貫かれている。撤退など論外だ。\n\n2つ目の奥義は、パッシブ型の<color=#0cffe6>鉄のにぎり</color>だ。いかなる時も<color=yellow>爪を振るえ</color>、威力が<color=yellow>低下しなくなる</color>。\n
dialog_weaponmaster_chat_clawmasteryintro3_btn_0	刃の踏み込みを学ぶ（800 JP）
dialog_weaponmaster_chat_clawmasteryintro3_txt	<color=yellow>ジョリト</color>: <color=yellow>爪</color>は守りを捨てて攻撃だけを行う、<color=red>荒っぽい</color>戦士にうってつけの残酷な武器だ。その<color=#40b843>奥義</color>は<color=yellow>激しい接近戦</color>に主眼が置かれ、肉を切って骨を断つの精神が貫かれている。撤退など論外だ。\n\n3つ目の奥義は、パッシブ型の<color=#0cffe6>刃の踏み込み</color>だ。<color=yellow>隣り合っている敵</color>を時折、<color=yellow>爪で引き裂いてみせる</color>。\n
dialog_weaponmaster_chat_clawmasteryintro4_btn_0	決めたわ、<color=#0cffe6>破壊の爪</color>を教えて！
dialog_weaponmaster_chat_clawmasteryintro4_txt	<color=yellow>ジョリト</color>: どうやらそなたは、<color=yellow>爪</color>の道に十分熟達したようだ。<color=#40b843>究極技</color>を覚える準備はよいか？ただし、よく考えて決断せよ。<color=#40b843>究極技</color>は<color=yellow>1つ</color>しか覚えられんからな。\n\n<color=#0cffe6>破壊の爪</color>は敵に跳びかかって激しく引き裂き、周囲を巻き込んで<color=red>大ダメージ</color>を与える技だ。さらに短時間、<color=#40b843>受けたダメージの半分</color>が瞬時に回復する。\n
dialog_weaponmaster_chat_clawmasteryintro_btn_0	逆上の爪を学ぶ（400 JP）
dialog_weaponmaster_chat_clawmasteryintro_txt	<color=yellow>ジョリト</color>: <color=yellow>爪</color>は守りを捨てて攻撃だけを行う、<color=red>荒っぽい</color>戦士にうってつけの残酷な武器だ。その<color=#40b843>奥義</color>は<color=yellow>激しい接近戦</color>に主眼が置かれ、肉を切って骨を断つの精神が貫かれている。撤退など論外だ。\n\n1つ目の奥義は<color=#0cffe6>逆上の爪</color>だ。近接戦闘力が飛躍的に上昇するが、他のスキルは短時間<color=yellow>封印される</color>。\n
dialog_weaponmaster_chat_dagger_mastery_ultimate1_txt	<color=yellow>ジョリト</color>: <color=#0cffe6>神速連撃</color>を学ぶ前に、利き手に<color=yellow>短剣</color>を装備した状態で、<color=yellow>^tag1^体のチャンピオン</color>を打ち負かす必要がある。また、ランクが「<color=#79a2ab>いちころ</color>」の敵はカウントされぬから注意せよ。\n\nそなたは今までに<color=yellow>短剣</color>を使って、<color=#40b843>^tag2^</color>体のチャンピオンを倒したようだ。修練を続けるがよい。\n
dialog_weaponmaster_chat_dagger_mastery_ultimate_ready_btn_0	神速連撃を学ぶ（1000 JP）
dialog_weaponmaster_chat_dagger_mastery_ultimate_ready_txt	<color=yellow>ジョリト</color>: どうやら<color=yellow>短剣</color>を使って、<color=yellow>^tag2^体のチャンピオン</color>を打ち負かしたか。今なら<color=#40b843>究極技</color>を教えてもよかろう。\n\nお主が覚えたいのは、この<color=#40b843>究極技</color>で<color=yellow>間違いない</color>か？<color=red>別の究極技は二度と学べんぞ</color>？\n
dialog_weaponmaster_chat_daggermasteryintro2_btn_0	極・二刀流を学ぶ（700 JP）
dialog_weaponmaster_chat_daggermasteryintro2_txt	<color=yellow>ジョリト</color>: <color=yellow>短剣</color>は接近戦向けの危険な武器だ。その<color=#40b843>奥義</color>は<color=yellow>すばやい攻撃と、単独の敵との対戦</color>に主眼が置かれ、特にチャンピオンやボスとの戦いで重宝する。\n\n2つ目の奥義は、パッシブ型の<color=#0cffe6>極・二刀流</color>だ。この技を覚えると、短剣を両手に装備した時に受けるダメージと命中率のペナルティが軽減される。\n
dialog_weaponmaster_chat_daggermasteryintro3_btn_0	必死の傷を学ぶ（800 JP）
dialog_weaponmaster_chat_daggermasteryintro3_txt	<color=yellow>ジョリト</color>: <color=yellow>短剣</color>は接近戦向けの危険な武器だ。その<color=#40b843>奥義</color>は<color=yellow>すばやい攻撃と、単独の敵との対戦</color>に主眼が置かれ、特にチャンピオンやボスとの戦いで重宝する。\n\n3つ目の奥義は、パッシブ型の<color=#0cffe6>必死の傷</color>だ。同一の敵を攻撃するたび、<color=yellow>クリティカル率が</color>上昇する。\n
dialog_weaponmaster_chat_daggermasteryintro4_btn_0	決めたわ、<color=#0cffe6>神速連撃</color>を教えて！
dialog_weaponmaster_chat_daggermasteryintro4_txt	<color=yellow>ジョリト</color>: どうやらそなたは、<color=yellow>短剣</color>の道に十分熟達したようだ。<color=#40b843>究極技</color>を覚える準備はよいか？ただし、よく考えて決断せよ。<color=#40b843>究極技</color>は<color=yellow>1つ</color>しか覚えられんからな。\n\n<color=#0cffe6>神速連撃</color>はそこそこ広範囲の敵を、3回連続で攻撃できる技だ。あまりの速さゆえ敵はまったく反応できず、<color=#40b843>ターンを消費しない</color>。\n
dialog_weaponmaster_chat_daggermasteryintro_btn_0	凶刃一閃を学ぶ（400 JP）
dialog_weaponmaster_chat_daggermasteryintro_txt	<color=yellow>ジョリト</color>: <color=yellow>短剣</color>は接近戦向けの危険な武器だ。その<color=#40b843>奥義</color>は<color=yellow>すばやい攻撃と、単独の敵との対戦</color>に主眼が置かれ、特にチャンピオンやボスとの戦いで重宝する。\n\n1つ目の奥義は<color=#0cffe6>凶刃一閃</color>だ。ターンを消費せずに、敵を瞬時に攻撃できる。\n
dialog_weaponmaster_chat_destroyemblem_btn_1	装備中のエンブレムを#cr#破壊して#ec#、新しいエンブレムが欲しいの
dialog_weaponmaster_chat_destroyemblem_txt	#cy#ジョリト:#ec# 装備中の<color=#40b843>ジョブエンブレム</color>を#cr#破壊#ec#してもよいか？もう一度、試練に挑まねばならんぞ？\n
dialog_weaponmaster_chat_fist_mastery_ultimate1_txt	<color=yellow>ジョリト</color>: <color=#0cffe6>天空落とし</color>を学ぶ前に、そなたは<color=yellow>己の拳</color>で、<color=yellow>^tag1^体のチャンピオン</color>を打ち負かす必要がある。また、ランクが「<color=#79a2ab>いちころ</color>」の敵はカウントされぬから注意せよ。\n\nそなたは今までに<color=yellow>己の拳</color>で、<color=#40b843>^tag2^</color>体のチャンピオンを倒したようだ。修練を続けるがよい。\n
dialog_weaponmaster_chat_fist_mastery_ultimate_ready_btn_0	天空落としを学ぶ（1000 JP）
dialog_weaponmaster_chat_fist_mastery_ultimate_ready_txt	<color=yellow>ジョリト</color>: どうやら<color=yellow>己の拳</color>を使って、<color=yellow>^tag2^体のチャンピオン</color>を打ち負かしたか。今なら<color=#40b843>究極技</color>を教えてもよかろう。\n\nお主が覚えたいのは、この<color=#40b843>究極技</color>で<color=yellow>間違いない</color>か？<color=red>別の究極技は二度と学べんぞ</color>？\n
dialog_weaponmaster_chat_fistmasteryintro2_btn_0	暗殺拳を学ぶ（700 JP）
dialog_weaponmaster_chat_fistmasteryintro2_txt	<color=yellow>ジョリト</color>: 真の達人は武器を使わずとも、己の<color=yellow>拳</color>だけで敵を粉砕できる。<color=yellow>武道家</color>の<color=yellow>拳</color>は最強の武器のひとつなのだ。その<color=#40b843>奥義</color>は<color=yellow>俊敏な動きで、大ダメージを与えること</color>に主眼が置かれている。\n\n2つ目の奥義は、パッシブ型の<color=#0cffe6>暗殺拳</color>だ。拳だけでなく、他のスキルのクリティカルヒットの威力も大幅に上昇する。\n
dialog_weaponmaster_chat_fistmasteryintro3_btn_0	闘魂を学ぶ（800 JP）
dialog_weaponmaster_chat_fistmasteryintro3_txt	<color=yellow>ジョリト</color>: 真の達人は武器を使わずとも、己の<color=yellow>拳</color>だけで敵を粉砕できる。<color=yellow>武道家</color>の<color=yellow>拳</color>は最強の武器のひとつなのだ。その<color=#40b843>奥義</color>は<color=yellow>俊敏な動きで、大ダメージを与えること</color>に主眼が置かれている。\n\n3つ目の奥義は、パッシブ型の<color=#0cffe6>闘魂</color>だ。パンチを繰り出すたび、自身の攻撃力と防御力が上がっていく。\n
dialog_weaponmaster_chat_fistmasteryintro4_btn_0	決めたわ、<color=#0cffe6>天空落とし</color>を教えて！
dialog_weaponmaster_chat_fistmasteryintro4_txt	<color=yellow>ジョリト</color>: どうやらそなたは、<color=yellow>拳</color>の道に十分熟達したようだ。<color=#40b843>究極技</color>を覚える準備はよいか？ただし、よく考えて決断せよ。<color=#40b843>究極技</color>は<color=yellow>1つ</color>しか覚えられんからな。\n\n<color=#0cffe6>天空落とし</color>は付近の敵をつかんで跳び上がり、地面に叩きつけて莫大なダメージを与える技だ。\n
dialog_weaponmaster_chat_fistmasteryintro_btn_0	跳びげりを学ぶ（400 JP）
dialog_weaponmaster_chat_fistmasteryintro_txt	<color=yellow>ジョリト</color>: 真の達人は武器を使わずとも、己の<color=yellow>拳</color>だけで敵を粉砕できる。<color=yellow>武道家</color>の<color=yellow>拳</color>は最強の武器のひとつなのだ。その<color=#40b843>奥義</color>は<color=yellow>俊敏な動きで、大ダメージを与えること</color>に主眼が置かれている。\n\n1つ目の奥義は<color=#0cffe6>跳びげり</color>だ。一直線に跳んで、進路上のすべての敵を攻撃する。\n
dialog_weaponmaster_chat_inquire_txt	<color=yellow>ジョリト</color>: そなたの戦闘経験を土台に、<color=#40b843>ジョブポイント</color>を活用して、各武器タイプに特有の強力な技を教えてしんぜよう。\n\nこれらのスキルは剣、斧、弓など、<color=yellow>特定のタイプの武器</color>を装備中のみ、使用することができる。\n\n中には<color=#0cffe6>パッシブスキル</color>もあって、それらはセットや起動する必要が一切ない。正しい武器を<color=yellow>利き手</color>に装備している限り、スキルの力が発揮されよう。\n\n<color=#40b843>JP</color>が十分あるのであれば、<color=yellow>複数の奥義</color>を会得することができるが、<color=#40b843>究極技</color>は1つだけしか覚えられんぞ。\n
dialog_weaponmaster_chat_intro_txt	<color=yellow>ジョリト</color>: 運命の糸は激しく蛇行し、危険に満ちておる。ペンや言葉がそなたを救うとは思わぬことだ。\n\n信じるべきは斧の刃だけ...最後に頼れるのは弓の矢羽と、己の闘争心だけなのだ。\n\n\n<color=yellow>現在のジョブに習熟</color>した頃、また会いにこい。<color=#40b843>武器奥義の道を教えてしんぜよう</color>。\n
dialog_weaponmaster_chat_jobtrial_info_btn_0	ジョブの試練に挑みたい！
dialog_weaponmaster_chat_jobtrial_info_btn_1	武器の奥義について知りたい...
dialog_weaponmaster_chat_jobtrial_info_txt	<color=yellow>ジョリト</color>: 1つのジョブのスキルをすべて学んでしまっても、そなたの旅が終わったわけではない。解き放つべき<color=#40b843>力はまだ眠っている</color>のだ。\n\n3つの<color=#40b843>ジョブの試練</color>に挑み、過酷な修行をやり遂げられたなら、<color=#40b843>ジョブエンブレム</color>を勝ち取り、強化することができる。\n\n<color=#40b843>ジョブの試練</color>は現在のレベルに応じて変化するから、準備ができた時はいつでも挑戦することができよう。\n
dialog_weaponmaster_chat_jobtrial_moreinfo_btn_0	試練に挑むわ！
dialog_weaponmaster_chat_jobtrial_moreinfo_txt	<color=yellow>ジョリト</color>: <color=#40b843>ジョブの試練</color>ではXP、JP、ゴールド、アイテムは一切獲得できないが、<color=red>敵に倒されてしまう</color>危険性はある。ゆえにしっかり準備してから挑みたまえ。\n\n<color=#0cffe6>脱出ポータル</color>を使えば試練を<color=yellow>中止できる</color>が、再開はできない。<color=red>より多くのJPを払って</color>、再挑戦してもらうことになるぞ。\n\n試練が終わると、<color=yellow>回復の小びんの量は元の状態へ戻る</color>。\n
dialog_weaponmaster_chat_mace_mastery_ultimate1_txt	<color=yellow>ジョリト</color>: <color=#0cffe6>ホームラン</color>を学ぶ前に、そなたは利き手に<color=yellow>メイス</color>を装備した状態で、<color=yellow>^tag1^体のチャンピオン</color>を打ち負かす必要がある。また、ランクが「<color=#79a2ab>いちころ</color>」の敵はカウントされぬから注意せよ。\n\nそなたは今までに<color=yellow>メイス</color>を使って、<color=#40b843>^tag2^</color>体のチャンピオンを倒したようだ。修練を続けるがよい。\n
dialog_weaponmaster_chat_mace_mastery_ultimate_ready_btn_0	ホームランを学ぶ（1000 JP）
dialog_weaponmaster_chat_mace_mastery_ultimate_ready_txt	<color=yellow>ジョリト</color>: どうやら<color=yellow>メイス</color>を使って、<color=yellow>^tag2^体のチャンピオン</color>を打ち負かしたか。今なら<color=#40b843>究極技</color>を教えてもよかろう。\n\nそなたが覚えたいのは、この<color=#40b843>究極技</color>で<color=yellow>間違いない</color>か？<color=red>別の究極技は二度と学べんぞ</color>？\n
dialog_weaponmaster_chat_macemasteryintro2_btn_0	無慈悲な追い打ちを学ぶ（700 JP）
dialog_weaponmaster_chat_macemasteryintro2_txt	<color=yellow>ジョリト</color>: <color=yellow>メイス</color>は敵を殴って追い払うのに役立つ。その<color=#40b843>奥義</color>は<color=yellow>豪快な振りと失神効果</color>に主眼が置かれ、ゆえに強力な対単体武器となっている。\n\n2つ目の奥義は、パッシブ型の<color=#0cffe6>無慈悲な追い打ち</color>だ。失神した敵に甚大なダメージを与えられる。\n
dialog_weaponmaster_chat_macemasteryintro3_btn_0	滅砕棍を学ぶ（800 JP）
dialog_weaponmaster_chat_macemasteryintro3_txt	<color=yellow>ジョリト</color>: <color=yellow>メイス</color>は敵を殴って追い払うのに役立つ。その<color=#40b843>奥義</color>は<color=yellow>豪快な振りと失神効果</color>に主眼が置かれ、ゆえに強力な対単体武器となっている。\n\n3つ目の奥義は、パッシブ型の<color=#0cffe6>滅砕棍</color>だ。高威力の一撃によって、よりたやすく敵を失神させられる。\n
dialog_weaponmaster_chat_macemasteryintro4_btn_0	決めたわ、<color=#0cffe6>ホームラン</color>を教えて！
dialog_weaponmaster_chat_macemasteryintro4_txt	<color=yellow>ジョリト</color>: どうやらそなたは、<color=yellow>メイス</color>の道に十分熟達したようだ。<color=#40b843>究極技</color>を覚える準備はよいか？ただし、よく考えて決断せよ。<color=#40b843>究極技</color>は<color=yellow>1つ</color>しか覚えられんからな。\n\n<color=#0cffe6>ホームラン</color>は強力な近接攻撃によって敵を遠くまでぶっ飛ばし、失神させ、深刻なダメージを負わせる技だ。壁などに当たった場合は<color=yellow>追加でダメージ</color>を受ける。\n
dialog_weaponmaster_chat_macemasteryintro_btn_0	ぶん振りを学ぶ（400 JP）
dialog_weaponmaster_chat_macemasteryintro_txt	<color=yellow>ジョリト</color>: <color=yellow>メイス</color>は敵を殴って追い払うのに役立つ。その<color=#40b843>奥義</color>は<color=yellow>豪快な振りと失神効果</color>に主眼が置かれ、ゆえに強力な対単体武器となっている。\n\n1つ目の奥義は<color=#0cffe6>ぶん振り</color>だ。恐るべき力でメイスを振り回し、付近の敵にランダムでダメージを与え、時に失神させる。\n
dialog_weaponmaster_chat_nothingleft_btn_0	ほかの武器の道は？
dialog_weaponmaster_chat_nothingleft_txt	<color=yellow>ジョリト</color>: この武器について、そなたに教えることは何も残っておらん...今のところはな。\n
dialog_weaponmaster_chat_spear_mastery_ultimate1_txt	<color=yellow>ジョリト</color>: <color=#0cffe6>ワルキューレ</color>を学ぶ前に、利き手に<color=yellow>槍</color>を装備した状態で、<color=yellow>^tag1^体のチャンピオン</color>を打ち負かす必要がある。また、ランクが「<color=#79a2ab>いちころ</color>」の敵はカウントされぬから注意せよ。\n\nそなたは今までに<color=yellow>槍</color>を使って、<color=#40b843>^tag2^</color>体のチャンピオンを倒したようだ。修練を続けるがよい。\n
dialog_weaponmaster_chat_spear_mastery_ultimate_ready_btn_0	ワルキューレを学ぶ（1000 JP）
dialog_weaponmaster_chat_spear_mastery_ultimate_ready_txt	<color=yellow>ジョリト</color>: どうやら<color=yellow>槍</color>を装備して、<color=yellow>^tag2^体のチャンピオン</color>を打ち負かしたか。今なら<color=#40b843>究極技</color>を教えてもよかろう。\n\nお主が覚えたいのは、この<color=#40b843>究極技</color>で<color=yellow>間違いない</color>か？<color=red>別の究極技は二度と学べんぞ</color>？\n
dialog_weaponmaster_chat_spearmasteryintro2_btn_0	竜牙突きを学ぶ（700 JP）
