abil_skill_acidburstclose_name	Acid Burst
dialog_tutorial_wait_main_txt	You can move <color=yellow>diagonally</color> by pressing two directions at once. For more precision, hold <color=#0cffe6>#DIAG#</color> to restrict your movement to <color=yellow>only diagonals</color>.\n\nNeed to pass time without moving? Press <color=#0cffe6>#WAIT#</color>, or <color=yellow>click on yourself</color>.\n
dialog_tutorial_wait_main_txt_switch	Need to pass time without moving? Open the #cg#Ring Menu#ec# (#RINGMENU#)\nand select <sprite=3>     to wait one turn.\n
dialog_tutorial_wait_main_txt_universal	^$getstring:help_diagonalwait$^
dialog_unlock_wildchild_main2_txt	Whoa... I don't know what came over me there.\n\nIt must be this place. It really brings out my <color=yellow>wild side</color>!\n
dialog_unlock_wildchild_main_btn_0	<color=red>ROAR!</color>
dialog_unlock_wildchild_main_txt	Ha! That'll teach you to mess with me, you overstuffed reptile! <color=yellow>I'm</color> the <color=red>biggest, toughest</color> thing in these woods now.\n\nCOME ON, MONSTERS! IS THAT <color=yellow>ALL YOU'VE GOT</color>?\n
dialog_view_defeatdata_text	Inscribed here are the names of adventurers lost in the forests of #cg#Tangledeep#ec#.\n
dialog_viewalltutorials_main_btn_0	Diagonal Movement and Waiting
dialog_viewalltutorials_main_btn_1	Pandora's Boxes
dialog_viewalltutorials_main_btn_2	Side Areas
dialog_viewalltutorials_main_btn_3	Healing With Your Flask
dialog_viewalltutorials_main_btn_4	Dangerous Terrain
dialog_viewalltutorials_main_btn_5	Passage of Time
dialog_viewalltutorials_main_btn_6	Entering Item Dreams
dialog_viewalltutorials_main_btn_7	Leaving Item Dreams
dialog_viewalltutorials_main_btn_8	Poisonous Air
dialog_viewalltutorials_main_txt	<color=yellow>Please select the tutorial you want to read.</color>\n
dialog_wardrobe_change_intro_btn_0	Change clothes
dialog_wardrobe_change_intro_btn_1	Maybe Later
dialog_wardrobe_change_intro_txt	<color=yellow>WARDROBE</color>\n\nChange your clothes here! This only alters your <color=yellow>appearance</color>. Stats and skills are not affected.\n\nYou can change outfits to a job once you've <color=yellow>learned a skill from it</color>.\n
dialog_waypoint_unlocked_text	#big##cg#Waypoint Unlocked!#ec##endbig#\n\nYou can now #cy#Fast Travel#ec# to #cy#^$getstring:fasttravel_destination$^#ec# from the cave entrance in #cc#Riverstone Camp#ec#.\n\nYou can also use your ^tag5^ in a safe side area.\n\n
dialog_waypoint_unlocked_text_controller	#big##cg#Waypoint Unlocked!#ec##endbig#\n\nYou can now #cy#Fast Travel#ec# to #cy#^$getstring:fasttravel_destination$^#ec# from the cave entrance in #cc#Riverstone Camp#ec#, or by using your ^tag5^ in a safe side area.\n\n
dialog_weaponmaster_callout_intro2_txt	<color=yellow>JORITO</color>: Yes. I have been watching your skills <color=#40b843>grow</color> with each passing day.\n\nIt is time for you to learn the <color=#40b843>Paths to Weapon Mastery</color>.\n\nCome and see me, and I will teach you.\n
dialog_weaponmaster_callout_intro_btn_0	Huh? Me?
dialog_weaponmaster_callout_intro_txt	<color=yellow>JORITO</color>: Hail, brave warrior.\n
dialog_weaponmaster_chat_altintro_btn_0	What are Weapon Masteries?
dialog_weaponmaster_chat_altintro_btn_1	Path of <color=#40b843>Sword Mastery</color>
dialog_weaponmaster_chat_altintro_btn_2	Path of <color=#40b843>Axe Mastery</color>
dialog_weaponmaster_chat_altintro_btn_3	Path of <color=#40b843>Dagger Mastery</color>
dialog_weaponmaster_chat_altintro_btn_4	Path of <color=#40b843>Claw Mastery</color>
dialog_weaponmaster_chat_altintro_btn_5	Path of <color=#40b843>Mace Mastery</color>
dialog_weaponmaster_chat_altintro_btn_6	Path of <color=#40b843>Bow Mastery</color>
dialog_weaponmaster_chat_altintro_btn_7	Path of <color=#40b843>Spear Mastery</color>
dialog_weaponmaster_chat_altintro_btn_8	Path of <color=#40b843>Staff Mastery</color>
dialog_weaponmaster_chat_altintro_btn_9	Path of <color=#40b843>Fist Mastery</color>
dialog_weaponmaster_chat_altintro_txt	<color=yellow>JORITO</color>: The winding threads of destiny are fraught with peril. Neither the quill nor the spoken word will save you.\n\nTrust only the blade of the axe, the feathers of the bow, and your own fighting spirit.\n\nYou are ready to learn the <color=#40b843>Paths to Weapon Mastery</color>.\n
dialog_weaponmaster_chat_axe_mastery_ultimate1_txt	<color=yellow>JORITO</color>: Before you can learn <color=#0cffe6>Whirlwind</color>, you must defeat <color=yellow>^tag1^ champions</color> with an <color=yellow>Axe</color> equipped in your main hand. They cannot be <color=#79a2ab>worthless</color>, either.\n\nThus far, you have bested <color=#40b843>^tag2^</color> champions with an <color=yellow>Axe</color>. You must continue practicing.\n
dialog_weaponmaster_chat_axe_mastery_ultimate_ready_btn_0	Learn Whirlwind (1000 JP)
dialog_weaponmaster_chat_axe_mastery_ultimate_ready_txt	<color=yellow>JORITO</color>: I see you have defeated <color=yellow>^tag2^ champions</color> with an <color=yellow>Axe</color>. You are ready to learn its <color=#40b843>Ultimate Technique</color>.\n\nAre you <color=yellow>sure</color> this is the <color=#40b843>Ultimate Technique</color> you want to learn? You can <color=red>never learn another.</color>\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_axemasteryintro2_btn_0	Learn Ferocity (700 JP)
dialog_weaponmaster_chat_axemasteryintro2_txt	<color=yellow>JORITO</color>: The <color=yellow>axe</color> is a vicious melee weapon, capable of tearing apart crowds of enemies. Its <color=#40b843>masteries</color> focus on <color=yellow>group attacks and debuffs</color>.\n\nThe second mastery is <color=#0cffe6>Ferocity</color>, a passive skill. Armed with this technique, you deal extra damage for each enemy surrounding you.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_axemasteryintro3_btn_0	Learn Overpower (800 JP)
dialog_weaponmaster_chat_axemasteryintro3_txt	<color=yellow>JORITO</color>: The <color=yellow>axe</color> is a vicious melee weapon, capable of tearing apart crowds of enemies. Its <color=#40b843>masteries</color> focus on <color=yellow>group attacks and debuffs</color>.\n\nThe third mastery is <color=#0cffe6>Overpower</color>, a passive skill. Armed with this technique, you will immediately attack again when defeating an enemy with your Axe.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_axemasteryintro4_btn_0	I'm ready, teach me <color=#0cffe6>Whirlwind</color>!
dialog_weaponmaster_chat_axemasteryintro4_txt	<color=yellow>JORITO</color>: I see you have become very skilled in the way of the <color=yellow>Axe</color>. Are you ready to learn its <color=#40b843>Ultimate Technique</color>? Think carefully - you may only learn <color=yellow>one</color> <color=#40b843>Ultimate Technique</color>.\n\nWith <color=#0cffe6>Whirlwind</color>, you create an ongoing flurry of blades by swinging your <color=yellow>Axe</color>. Enemies near you will take <color=red>damage</color> every turn, while you may take other actions.\n
dialog_weaponmaster_chat_axemasteryintro_btn_0	Learn Cleave (400 JP)
dialog_weaponmaster_chat_axemasteryintro_txt	<color=yellow>JORITO</color>: The <color=yellow>axe</color> is a vicious melee weapon, capable of tearing apart crowds of enemies. Its <color=#40b843>masteries</color> focus on <color=yellow>group attacks and debuffs</color>.\n\nThe first mastery is <color=#0cffe6>Cleave</color>. Use it to take a step forward while attacking nearby enemies and breaking their armor.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_bow_mastery_ultimate1_txt	<color=yellow>JORITO</color>: Before you can learn <color=#0cffe6>Arrowstorm</color>, you must defeat <color=yellow>^tag1^ champions</color> with a <color=yellow>Bow</color> equipped. They cannot be <color=#79a2ab>worthless</color>, either.\n\nThus far, you have bested <color=#40b843>^tag2^</color> champions with a <color=yellow>Bow</color>. You must continue practicing.\n
dialog_weaponmaster_chat_bow_mastery_ultimate_ready_btn_0	Learn Arrowstorm (1000 JP)
dialog_weaponmaster_chat_bow_mastery_ultimate_ready_txt	<color=yellow>JORITO</color>: I see you have defeated <color=yellow>^tag2^ champions</color> with a <color=yellow>Bow</color>. You are ready to learn its <color=#40b843>Ultimate Technique</color>.\n\nAre you <color=yellow>sure</color> this is the <color=#40b843>Ultimate Technique</color> you want to learn? You can <color=red>never learn another.</color>\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_bowmasteryintro2_btn_0	Learn Predator (700 JP)
dialog_weaponmaster_chat_bowmasteryintro2_txt	<color=yellow>JORITO</color>: The <color=yellow>bow</color> is the most noble ranged weapon, hitting targets from the greatest distance. Its <color=#40b843>masteries</color> focus on <color=yellow>precision attacks and keeping distance</color>.\n\nThe second mastery is <color=#0cffe6>Predator</color>, a passive skill. Armed with this technique, you'll deal extra damage to monsters who have no nearby allies.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_bowmasteryintro3_btn_0	Learn Skirmisher (800 JP)
dialog_weaponmaster_chat_bowmasteryintro3_txt	<color=yellow>JORITO</color>: The <color=yellow>bow</color> is the most noble ranged weapon, hitting targets from the greatest distance. Its <color=#40b843>masteries</color> focus on <color=yellow>precision attacks and keeping distance</color>.\n\nThe third mastery is <color=#0cffe6>Skirmisher</color>, a passive skill. Armed with this technique, you will occasionally shut down an enemy's ability with a well-timed arrow.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_bowmasteryintro4_btn_0	I'm ready, teach me <color=#0cffe6>Arrowstorm</color>!
dialog_weaponmaster_chat_bowmasteryintro4_txt	<color=yellow>JORITO</color>: I see you have become very skilled in the way of the <color=yellow>Bow</color>. Are you ready to learn its <color=#40b843>Ultimate Technique</color>? Think carefully - you may only learn <color=yellow>one</color> <color=#40b843>Ultimate Technique</color>.\n\nWith <color=#0cffe6>Arrowstorm</color>, you will enter a powerful attack state. In this state, each time you fire your bow, you will fire an additional volley of arrows on up to <color=yellow>three tiles</color>.\n\nThe arrows on these tiles will fall after one turn, dealing heavy damage.\n
dialog_weaponmaster_chat_bowmasteryintro_btn_0	Learn Jumping Shot (400 JP)
dialog_weaponmaster_chat_bowmasteryintro_txt	<color=yellow>JORITO</color>: The <color=yellow>bow</color> is the most noble ranged weapon, hitting targets from the greatest distance. Its <color=#40b843>masteries</color> focus on <color=yellow>precision attacks and keeping distance</color>.\n\nThe first mastery is <color=#0cffe6>Jumping Shot</color>. Use it to leap to a nearby tile, firing an arrow at a random enemy at the same time.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_claw_mastery_ultimate1_btn_0	I will.
dialog_weaponmaster_chat_claw_mastery_ultimate1_txt	<color=yellow>JORITO</color>: Before you can learn <color=#0cffe6>Devastation</color>, you must defeat <color=yellow>^tag1^ champions</color> with a <color=yellow>Claw</color> equipped in your main hand. They cannot be <color=#79a2ab>worthless</color>, either.\n\nThus far, you have bested <color=#40b843>^tag2^</color> champions with a <color=yellow>Claw</color>. You must continue practicing.\n
dialog_weaponmaster_chat_claw_mastery_ultimate_ready_btn_0	Learn Devastation (1000 JP)
dialog_weaponmaster_chat_claw_mastery_ultimate_ready_txt	<color=yellow>JORITO</color>: I see you have defeated <color=yellow>^tag2^ champions</color> with a <color=yellow>Claw</color> equipped. You are ready to learn its <color=#40b843>Ultimate Technique</color>.\n\nAre you <color=yellow>sure</color> this is the <color=#40b843>Ultimate Technique</color> you want to learn? You can <color=red>never learn another.</color>\n
dialog_weaponmaster_chat_clawmasteryintro2_btn_0	Learn Iron Grip (700 JP)
dialog_weaponmaster_chat_clawmasteryintro2_txt	<color=yellow>JORITO</color>: The <color=yellow>claw</color> is a savage weapon suited to the most <color=red>aggressive</color> warriors, sacrificing defense for the sake of pure offense. Its <color=#40b843>masteries</color> focus on <color=yellow>furious close-quarters combat</color>, ignoring notions of pain or retreat.\n\nThe second mastery is <color=#0cffe6>Iron Grip</color>, a Passive skill. Armed with this technique, you cannot be <color=yellow>disarmed</color>, nor can your damage be <color=yellow>reduced</color>.\n
dialog_weaponmaster_chat_clawmasteryintro3_btn_0	Learn Razor Step (800 JP)
dialog_weaponmaster_chat_clawmasteryintro3_txt	<color=yellow>JORITO</color>: The <color=yellow>claw</color> is a savage weapon suited to the most <color=red>aggressive</color> warriors, sacrificing defense for the sake of pure offense. Its <color=#40b843>masteries</color> focus on <color=yellow>furious close-quarters combat</color>, ignoring notions of pain or retreat.\n\nThe third mastery is <color=#0cffe6>Razor Step</color>, a Passive skill. Armed with this technique, you will occasionally <color=yellow>slash</color> monsters simply by <color=yellow>moving next to them</color>.\n
dialog_weaponmaster_chat_clawmasteryintro4_btn_0	I'm ready, teach me <color=#0cffe6>Devastation</color>!
dialog_weaponmaster_chat_clawmasteryintro4_txt	<color=yellow>JORITO</color>: I see you have become very skilled in the way of the <color=yellow>Claw</color>. Are you ready to learn its <color=#40b843>Ultimate Technique</color>? Think carefully - you may only learn <color=yellow>one</color> <color=#40b843>Ultimate Technique</color>.\n\nWith <color=#0cffe6>Devastation</color>, you will leap to an enemy and slash everything around you for <color=red>heavy damage</color>. For a short time, you will then recover <color=#40b843>50% of damage taken</color> immediately.\n
dialog_weaponmaster_chat_clawmasteryintro_btn_0	Learn Frenzy (400 JP)
dialog_weaponmaster_chat_clawmasteryintro_txt	<color=yellow>JORITO</color>: The <color=yellow>claw</color> is a savage weapon suited to the most <color=red>aggressive</color> warriors, sacrificing defense for the sake of pure offense. Its <color=#40b843>masteries</color> focus on <color=yellow>furious close-quarters combat</color>, ignoring notions of pain or retreat.\n\nThe first mastery is <color=#0cffe6>Frenzy</color>. Use it to gain a powerful boost to your melee combat, at the cost of <color=yellow>Sealing</color> other abilities briefly.\n
dialog_weaponmaster_chat_dagger_mastery_ultimate1_txt	<color=yellow>JORITO</color>: Before you can learn <color=#0cffe6>Godspeed Strike</color>, you must defeat <color=yellow>^tag1^ champions</color> with a <color=yellow>Dagger</color> equipped in your main hand. They cannot be <color=#79a2ab>worthless</color>, either.\n\nThus far, you have bested <color=#40b843>^tag2^</color> champions with a <color=yellow>Dagger</color>. You must continue practicing.\n
dialog_weaponmaster_chat_dagger_mastery_ultimate_ready_btn_0	Learn Godspeed Strike (1000 JP)
dialog_weaponmaster_chat_dagger_mastery_ultimate_ready_txt	<color=yellow>JORITO</color>: I see you have defeated <color=yellow>^tag2^ champions</color> with a <color=yellow>Dagger</color> equipped. You are ready to learn its <color=#40b843>Ultimate Technique</color>.\n\nAre you <color=yellow>sure</color> this is the <color=#40b843>Ultimate Technique</color> you want to learn? You can <color=red>never learn another.</color>\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_daggermasteryintro2_btn_0	Learn Dual-Wield Expert (700 JP)
dialog_weaponmaster_chat_daggermasteryintro2_txt	<color=yellow>JORITO</color>: The <color=yellow>dagger</color> is a deadly weapon in close quarters. Its <color=#40b843>masteries</color> focus on <color=yellow>quick attacks and fighting single targets</color>, particularly champions and bosses.\n\nThe second mastery is <color=#0cffe6>Dual Wield Expert</color>, a passive skill. Armed with this technique, your damage and accuracy penalties for dual wielding with a dagger are reduced.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_daggermasteryintro3_btn_0	Learn Critical Weakness (800 JP)
dialog_weaponmaster_chat_daggermasteryintro3_txt	<color=yellow>JORITO</color>: The <color=yellow>dagger</color> is a deadly weapon in close quarters. Its <color=#40b843>masteries</color> focus on <color=yellow>quick attacks and fighting single targets</color>, particularly champions and bosses.\n\nThe third mastery is <color=#0cffe6>Critical Weakness</color>, a passive skill. Armed with this technique, your chance to <color=yellow>critically strike with attacks</color> rises with each attack on the same monster.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_daggermasteryintro4_btn_0	I'm ready, teach me <color=#0cffe6>Godspeed Strike</color>!
dialog_weaponmaster_chat_daggermasteryintro4_txt	<color=yellow>JORITO</color>: I see you have become very skilled in the way of the <color=yellow>Dagger</color>. Are you ready to learn its <color=#40b843>Ultimate Technique</color>? Think carefully - you may only learn <color=yellow>one</color> <color=#40b843>Ultimate Technique</color>.\n\nWith <color=#0cffe6>Godspeed Strike</color>, you can attack enemies in a medium area of effect three times in a row. The attack is so fast, enemies cannot react - this <color=#40b843>does not use a turn</color>.\n
dialog_weaponmaster_chat_daggermasteryintro_btn_0	Learn Lightning Jab (400 JP)
dialog_weaponmaster_chat_daggermasteryintro_txt	<color=yellow>JORITO</color>: The <color=yellow>dagger</color> is a deadly weapon in close quarters. Its <color=#40b843>masteries</color> focus on <color=yellow>quick attacks and fighting single targets</color>, particularly champions and bosses.\n\nThe first mastery is <color=#0cffe6>Lightning Jab</color>. Use it to attack an enemy instantly, without using a turn.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_destroyemblem_btn_1	#cr#Destroy#ec# my equipped emblem, I want a new one.
dialog_weaponmaster_chat_destroyemblem_txt		#cy#JORITO:#ec# Are you sure you wish to #cr#destroy#ec# your equipped <color=#40b843>Job Emblem</color>? By doing so, you must attempt the trials again.\n
dialog_weaponmaster_chat_fist_mastery_ultimate1_txt	<color=yellow>JORITO</color>: Before you can learn <color=#0cffe6>Suplex</color>, you must defeat <color=yellow>^tag1^ champions</color> with <color=yellow>your fists</color>. They cannot be <color=#79a2ab>worthless</color>, either.\n\nThus far, you have bested <color=#40b843>^tag2^</color> champions with <color=yellow>your fists</color>. You must continue practicing.\n
dialog_weaponmaster_chat_fist_mastery_ultimate_ready_btn_0	Learn Suplex (1000 JP)
dialog_weaponmaster_chat_fist_mastery_ultimate_ready_txt	<color=yellow>JORITO</color>: I see you have defeated <color=yellow>^tag2^ champions</color> with <color=yellow>your fists</color>. You are ready to learn its <color=#40b843>Ultimate Technique</color>.\n\nAre you <color=yellow>sure</color> this is the <color=#40b843>Ultimate Technique</color> you want to learn? You can <color=red>never learn another.</color>\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_fistmasteryintro2_btn_0	Learn Assassin Fists (700 JP)
dialog_weaponmaster_chat_fistmasteryintro2_txt	<color=yellow>JORITO</color>: Lacking any other tools, a true master uses the <color=yellow>fist</color> to deliver crushing blows. The <color=yellow>Fist</color> of a <color=yellow>Budoka</color> are among the most powerful weapons. Its <color=#40b843>masteries</color> focus on <color=yellow>heavy damage and mobility</color>.\n\nThe second mastery is <color=#0cffe6>Assassin Fists</color>, as passive skill. Armed with this technique, your critical hits will be significantly more powerful, including critical hits from your other abilities.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_fistmasteryintro3_btn_0	Learn Fighting Spirit (800 JP)
dialog_weaponmaster_chat_fistmasteryintro3_txt	<color=yellow>JORITO</color>: Lacking any other tools, a true master uses the <color=yellow>fist</color> to deliver crushing blows. The <color=yellow>Fist</color> of a <color=yellow>Budoka</color> are among the most powerful weapons. Its <color=#40b843>masteries</color> focus on <color=yellow>heavy damage and mobility</color>.\n\nThe third mastery is <color=#0cffe6>Fighting Spirit</color>, as passive skill. Armed with this technique, you will bolster your offense and defense with each punch you throw.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_fistmasteryintro4_btn_0	I'm ready, teach me <color=#0cffe6>Suplex</color>!
dialog_weaponmaster_chat_fistmasteryintro4_txt	<color=yellow>JORITO</color>: I see you have become very skilled in the way of the <color=yellow>Fist</color>. Are you ready to learn its <color=#40b843>Ultimate Technique</color>? Think carefully - you may only learn <color=yellow>one</color> <color=#40b843>Ultimate Technique</color>.\n\nWith <color=#0cffe6>Suplex</color>, you will leap to a nearby enemy, grab them, and leap into the air. You will deal enormous damage by slamming them back to the ground.\n
dialog_weaponmaster_chat_fistmasteryintro_btn_0	Learn Flying Kick (400 JP)
dialog_weaponmaster_chat_fistmasteryintro_txt	<color=yellow>JORITO</color>: Lacking any other tools, a true master uses the <color=yellow>fist</color> to deliver crushing blows. The <color=yellow>Fist</color> of a <color=yellow>Budoka</color> are among the most powerful weapons. Its <color=#40b843>masteries</color> focus on <color=yellow>heavy damage and mobility</color>.\n\nThe first mastery is <color=#0cffe6>Flying Kick</color>. Use it to leap in a straight line, attacking every enemy along the way.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_inquire_txt	<color=yellow>JORITO</color>: By drawing from your battle experiences - that is, spending <color=#40b843>job points</color> - I can teach you powerful techniques unique to each weapon type.\n\nThese skills may only be used while you are wielding <color=yellow>a specific weapon type</color>, such as Swords, Axes, or Bows.\n\nSome are <color=#0cffe6>passive</color> and need not be equipped nor activated. Their power is active when you wield the right weapon type in your <color=yellow>main hand</color>.\n\nYou may learn <color=yellow>multiple masteries</color>, if you have enough <color=#40b843>JP</color> - but you can master only one <color=#40b843>Ultimate Technique</color>.\n
dialog_weaponmaster_chat_intro_txt	<color=yellow>JORITO</color>: The winding threads of destiny are fraught with peril. Neither the quill nor the spoken word will save you.\n\nTrust only the blade of the axe, the feathers of the bow, and your own fighting spirit.\n\nReturn to me when you have become <color=yellow>advanced in your job</color> and I will teach you the <color=#40b843>Paths to Weapon Mastery</color>.\n
dialog_weaponmaster_chat_jobtrial_info_btn_0	I want to face a Job Trial!
dialog_weaponmaster_chat_jobtrial_info_btn_1	About Weapon Masteries...
dialog_weaponmaster_chat_jobtrial_info_txt	<color=yellow>JORITO</color>: When you have learned every skill from a Job, your journey is not yet over. There is <color=#40b843>yet more power</color> to be unlocked.\n\nBy undertaking three <color=#40b843>Job Trials</color> and completing ever more rigorous challenges, you can earn and upgrade a <color=#40b843>Job Emblem</color> granting you powerful bonuses.\n\n<color=#40b843>Job Trials</color> will scale to your current level, so you may attempt one whenever you feel ready.\n
dialog_weaponmaster_chat_jobtrial_moreinfo_btn_0	I will face the trial!
dialog_weaponmaster_chat_jobtrial_moreinfo_txt	<color=yellow>JORITO</color>: During a <color=#40b843>Job Trial</color>, you will earn no XP, JP, gold, or items. However, <color=red>defeat</color> is still possible, so you must be fully ready!\n\n<color=#40b843>Job Trials</color> will scale to your level. As you get stronger, so too will the trials become more #cr#difficult#ec#.\n\nYou can <color=yellow>exit</color> the Trial using your <color=#0cffe6>Escape Portal</color>, but you will be unable to return if you do so. You must <color=red>pay more JP</color> to try again.\n\nOnce the Trial has ended, you will receive <color=yellow>your previous Flask and its charges</color>.\n
dialog_weaponmaster_chat_mace_mastery_ultimate1_txt	<color=yellow>JORITO</color>: Before you can learn <color=#0cffe6>Home Run</color>, you must defeat <color=yellow>^tag1^ champions</color> with a <color=yellow>Mace</color> equipped in your main hand. They cannot be <color=#79a2ab>worthless</color>, either.\n\nThus far, you have bested <color=#40b843>^tag2^</color> champions with a <color=yellow>Mace</color>. You must continue practicing.\n
dialog_weaponmaster_chat_mace_mastery_ultimate_ready_btn_0	Learn Home Run (1000 JP)
dialog_weaponmaster_chat_mace_mastery_ultimate_ready_txt	<color=yellow>JORITO</color>: I see you have defeated <color=yellow>^tag2^ champions</color> with a <color=yellow>Mace</color> equipped. You are ready to learn its <color=#40b843>Ultimate Technique</color>.\n\nAre you <color=yellow>sure</color> this is the <color=#40b843>Ultimate Technique</color> you want to learn? You can <color=red>never learn another.</color>\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_macemasteryintro2_btn_0	Learn Cruel Crusher (700 JP)
dialog_weaponmaster_chat_macemasteryintro2_txt	<color=yellow>JORITO</color>: The <color=yellow>mace</color> will help you crush your enemies and see them driven before you. Its <color=#40b843>masteries</color> focus on <color=yellow>wild swings and stunning effects</color>, making it a strong single-opponent weapon.\n\nThe second mastery is <color=#0cffe6>Cruel Crusher</color>, a passive skill. Armed with this technique, you deal considerably more damage to Stunned opponents.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_macemasteryintro3_btn_0	Learn Sunder (800 JP)
dialog_weaponmaster_chat_macemasteryintro3_txt	<color=yellow>JORITO</color>: The <color=yellow>mace</color> will help you crush your enemies and see them driven before you. Its <color=#40b843>masteries</color> focus on <color=yellow>wild swings and stunning effects</color>, making it a strong single-opponent weapon.\n\nThe third mastery is <color=#0cffe6>Sunder</color>, a passive skill. Armed with this technique, you can stun enemies more easily with more damaging attacks.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_macemasteryintro4_btn_0	I'm ready, teach me <color=#0cffe6>Home Run</color>!
dialog_weaponmaster_chat_macemasteryintro4_txt	<color=yellow>JORITO</color>: I see you have become very skilled in the way of the <color=yellow>Mace</color>. Are you ready to learn its <color=#40b843>Ultimate Technique</color>? Think carefully - you may only learn <color=yellow>one</color> <color=#40b843>Ultimate Technique</color>.\n\nWith <color=#0cffe6>Home Run</color>, you can send an enemy flying a great distance with a mighty melee attack, stunning them and dealing grevious damage. They will take <color=yellow>extra damage</color> upon hitting anything.\n
dialog_weaponmaster_chat_macemasteryintro_btn_0	Learn Berserk (400 JP)
dialog_weaponmaster_chat_macemasteryintro_txt	<color=yellow>JORITO</color>: The <color=yellow>mace</color> will help you crush your enemies and see them driven before you. Its <color=#40b843>masteries</color> focus on <color=yellow>wild swings and stunning effects</color>, making it a strong single-opponent weapon.\n\nThe first mastery is <color=#0cffe6>Berserk</color>. Use it to swing at a random nearby enemy with incredible force, possibly stunning them.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_nothingleft_btn_0	How about another weapon path?
dialog_weaponmaster_chat_nothingleft_txt	<color=yellow>JORITO</color>: I have nothing left to teach you with this weapon... for now.\n
dialog_weaponmaster_chat_spear_mastery_ultimate1_txt	<color=yellow>JORITO</color>: Before you can learn <color=#0cffe6>Valkyrie</color>, you must defeat <color=yellow>^tag1^ champions</color> with a <color=yellow>Spear</color> equipped in your main hand. They cannot be <color=#79a2ab>worthless</color>, either.\n\nThus far, you have bested <color=#40b843>^tag2^</color> champions with a <color=yellow>Spear</color>. You must continue practicing.\n
dialog_weaponmaster_chat_spear_mastery_ultimate_ready_btn_0	Learn Valkyrie (1000 JP)
dialog_weaponmaster_chat_spear_mastery_ultimate_ready_txt	<color=yellow>JORITO</color>: I see you have defeated <color=yellow>^tag2^ champions</color> with a <color=yellow>Spear</color> equipped. You are ready to learn its <color=#40b843>Ultimate Technique</color>.\n\nAre you <color=yellow>sure</color> this is the <color=#40b843>Ultimate Technique</color> you want to learn? You can <color=red>never learn another.</color>\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_spearmasteryintro2_btn_0	Learn Dragon Fang (700 JP)
dialog_weaponmaster_chat_spearmasteryintro2_txt	<color=yellow>JORITO</color>: The <color=yellow>spear</color> is a mighty and defensive weapon, able to impale enemies at range. Its <color=#40b843>masteries</color> focus on <color=yellow>mid-range attacks</color>.\n\nThe second mastery is <color=#0cffe6>Dragon Fang</color>, a passive skill. Armed with this technique, you can attack enemies at range with no damage penalty, and strike <color=yellow>multiple enemies</color> within a two-tile line.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
dialog_weaponmaster_chat_spearmasteryintro3_btn_0	Learn Scorpion Tail (800 JP)
dialog_weaponmaster_chat_spearmasteryintro3_txt	<color=yellow>JORITO</color>: The <color=yellow>spear</color> is a mighty and defensive weapon, able to impale enemies at range. Its <color=#40b843>masteries</color> focus on <color=yellow>mid-range attacks</color>.\n\nThe third mastery is <color=#0cffe6>Scorpion Tail</color>, a passive skill. Armed with this technique, you will sometimes jab enemies that move next to you.\n\n#cy#Current JP:#ec# #cg#^$getstring:curjp$^#ec#\n
