abil_skill_summonvoidcrystal_name	Conjurar Cristal del vacío
exp_log_monster_atefood	¡#cy#^tag1^#ec# roba a #cy#^tag2^#ec# y se come su #cg#^tag3^#ec#!
exp_log_powerup_absorb	¡#cy#^tag1^#ec# absorbe el potenciador, regenerando #cg#^tag2^#ec# de Salud!
exp_log_readcombatbook	¡Lees la #cy#Biografía de combate#ec# y obtienes #cc#^tag1^#ec# Pinceladas!
exp_log_resilientmonster	¡#cy#^tag1^#ec# sigue con vida por los pelos!
exp_log_runestone_gone	¡Tu #cy#^tag1^#ec# desaparece, transmitiéndote #cg#conocimientos olvidados#ec#!
exp_log_shara_floorstocampfire	¡#cy#^tag1^#ec# plantas en el camino principal hasta que puedas #cc#acampar#ec#!
exp_log_shara_noportal	#cr#Tu#ec# #cy#Portal de escape#ec##cr# no lleva a ninguna parte...#ec#
exp_log_shieldshatter	¡El #cc#Escudo de energía#ec# de ^tag1^ se rompe!
exp_map_campfire_shara_name	Campamento de Shara
exp_mapobj_forbiddance_name	Runa inhibidora
exp_mapobj_letter_name	Carta
exp_mapobj_oilslick_name	Pringue aceitoso
exp_mapobj_shadoworb_name	Orbe cuerpo a cuerpo
exp_mapobj_sparks_name	Chispas eléctricas
exp_mapobj_watervapor_name	Bruma oscurecedora
exp_minidreamcaster_name	Miniurdesueños
exp_misc_bonus	¡BONIFICACIÓN!
exp_misc_dominated	DOMINADO
exp_misc_itemupgraded	¡Tu ^tag1^ se ha #cy#mejorado#ec#!
exp_misc_notenoughgold_upgrade	¡#cr#No tienes#ec# #cy#oro#ec# suficiente para mejorar ese objeto!
exp_misc_promptlearnskill_fromitem	Aprende la habilidad #cc#^$getstring:skilltolearn$^#ec# (#cg#^$getstring:itemskilljpcost$^#ec# PO)
exp_misc_repeatbuy	Esta habilidad puede comprarse varias veces.
exp_misc_slowed	¡RALENTIZADO!
exp_mm_brigandboost_desc	^number1^ de daño de habilidad de Bandolera
exp_mm_budokaboost_desc	^number1^ de daño de habilidad de Budoka
exp_mm_budokavalid_desc	No interfiere con la lucha sin armas
exp_mm_edgethaneboost_desc	^number1^ de daño de habilidad de Juglar guerrera
exp_mm_floramancerboost_desc	^number1^ de daño de habilidad de Floramante (menos invocaciones)
exp_mm_gamblerboost_desc	^number1^ de daño de habilidad de Tahúr
exp_mm_hunterboost_desc	^number1^ de daño de habilidad de Cazadora
exp_mm_husynboost_desc	^number1^ de daño de habilidad de Cíborg
exp_mm_paladinboost_desc	^number1^ de daño de habilidad de Paladín
exp_mm_passive_armortraining_desc	Al llevar armadura pesada, las habilidades movimiento causan daño en el área (Entrenamiento con armadura)
exp_mm_passive_bloodtracking_desc	Al impactar: ^number1^ de probabilidades de Rastrear, aumentando el daño y la visibilidad (Rastro de sangre)
exp_mm_passive_fatchance_desc	^number1^ de probabilidades de ignorar el estar llena al comer (Ni en broma)
exp_mm_passive_gloriousbattler_desc	Potencia la canción y gana TC al derrotar monstruos (Luchadora gloriosa)
exp_mm_passive_hazardsweep_desc	^number1^ de probabilidades de destruir peligros al pisarlos (Barrido de peligros)
exp_mm_passive_herbforaging_desc	Probabilidad de encontrar hierbas curativas en los monstruos (Buscar alimento)
exp_mm_passive_immunology_desc	^number1^ de probabilidades de ignorar penalizaciones; tus penalizaciones duran más (Inmunología)
exp_mm_passive_qimastery_desc	Crítico: Regenerar energía (Dominio del qì)
exp_mm_passive_thornedskin_desc	^number1^ de probabilidades de reflejar el daño cuerpo a cuerpo (Piel espinosa)
exp_mm_soulkeeperboost_desc	^number1^ de daño de habilidad de Guardiana de almas (menos invocaciones)
exp_mm_spellshaperboost_desc	^number1^ de daño de Evocación sin modificar de Forjahechizos
exp_mmod_mm_glide_desc	El tiempo de espera de Planear se reduce un ^number1^, con mayor control sobre la casilla de aterrizaje, pero sin reinicio instantáneo del tiempo de espera.
exp_mmod_mm_inkstorm_desc	Tormenta de tinta inflige un ^number1^ de daño adicional por impacto a cambio del ^number2^ del alcance.
exp_mmod_mm_waterscroll_desc	El alcance del Pergamino de Agua aumenta un ^number1^, pero el daño se reduce un ^number2^.
exp_mon_axewielder_name	Sicario bandido
exp_mon_batslime_name	Archimoho
exp_mon_bladefrog_name	Ranafilada
exp_mon_boltspirit_name	Demonio relámpago
exp_mon_bouldertoad_name	Tricornia de pantano
exp_mon_budoka_name	Budoka bandido
exp_mon_butterfly_name	Monarca
exp_mon_chameleon_name	Camaleón
exp_mon_chemist2_name	Genio loco
exp_mon_chonkfrog_name	Rana tamtam
exp_mon_cubeslime_name	Mucílaga cúbica
exp_mon_guardianseeker2_name	Corsario guardián
exp_mon_komodon2_name	Varano emperador
exp_mon_mimic_name	Mimic
exp_mon_minicubeslime_name	Minimucílaga cúbica
exp_mon_phasmacannon_name	Cañón de plasma
exp_mon_pistolshrimp_name	Cangrejo cañonero
exp_mon_robotmantis_name	Robomantis
exp_mon_scientist_device_name	Dispositivo desconocido
exp_mon_scientist_summoner_name	Ingersoll
exp_mon_shara_finalboss_name	Guardián del núcleo
exp_mon_shovelgolem_name	Caballero de la pala
exp_mon_spiritstag_name	Eidolon
exp_mon_staffbandit_name	Maestro bastonero bandido
exp_mon_tentacle_name	Acechador acuático
exp_mon_toxicslime_name	Mucílaga tóxica
exp_mon_venomancer_name	Venenomante bandido
exp_mon_xp_heavygolem_name	Gólem de seguridad
exp_mon_xp_powerorbiter_name	Protector guardián
exp_monmaker_banditprefix1	Bandido
exp_monmaker_banditprefix2	Rebelde
exp_monmaker_banditprefix3	Forajido
exp_monmaker_banditprefix4	Saqueador
exp_monmaker_banditprefix5	Bandolero
exp_monmaker_banditprefix6	Mangante
exp_monmaker_banditprefix7	Pirata
exp_monmaker_banditsuffix1	Vigía
exp_monmaker_banditsuffix10	Teniente
exp_monmaker_banditsuffix11	Sargento
exp_monmaker_banditsuffix2	Explorador
exp_monmaker_banditsuffix3	Recluta
exp_monmaker_banditsuffix4	Centinela
exp_monmaker_banditsuffix5	Patrullero
exp_monmaker_banditsuffix6	Oteador
exp_monmaker_banditsuffix7	Escaramuzador
exp_monmaker_banditsuffix8	Lacayo
exp_monmaker_banditsuffix9	Novato
exp_monmaker_beastconcatprefix1	Erizado
exp_monmaker_beastconcatprefix2	Afilado
exp_monmaker_beastconcatprefix3	Filoso
exp_monmaker_beastconcatprefix4	Grande
exp_monmaker_beastconcatprefix5	Pringoso
exp_monmaker_beastconcatprefix6	Férreo
exp_monmaker_beastconcatsuffix1	espalda
exp_monmaker_beastconcatsuffix2	buey
exp_monmaker_beastconcatsuffix3	oso
exp_monmaker_beastconcatsuffix4	garra
exp_monmaker_beastconcatsuffix5	mordisco
exp_monmaker_beastconcatsuffix6	fauces
exp_monmaker_beastconcatsuffix7	escama
exp_monmaker_beastconcatsuffix8	pata
exp_monmaker_beastprefix1	Zarrapastroso
exp_monmaker_beastprefix10	Selvático
exp_monmaker_beastprefix11	Hervíboro
exp_monmaker_beastprefix2	Gruñón
exp_monmaker_beastprefix3	Noble
exp_monmaker_beastprefix4	Sarnoso
exp_monmaker_beastprefix5	Hambriento
exp_monmaker_beastprefix6	Común
exp_monmaker_beastprefix7	Salvaje
exp_monmaker_beastprefix8	Ofuscado
exp_monmaker_beastprefix9	Ágil
exp_monmaker_beastsuffix1	Bestia
exp_monmaker_beastsuffix2	Bicho
exp_monmaker_beastsuffix3	Diablo
exp_monmaker_beastsuffix4	Alimaña
exp_monmaker_beastsuffix5	Acémila
exp_monmaker_beastsuffix6	Glotón
exp_monmaker_coloredprefix1	Manchado
exp_monmaker_coloredprefix2	Moteado
exp_monmaker_coloredprefix3	Jaspeado
exp_monmaker_coloredprefix4	Veteado
exp_monmaker_coloredprefix5	Tiznado
exp_monmaker_coloredprefix6	Punteado
exp_monmaker_disruptorword1	Disruptor
exp_monmaker_disruptorword2	Interceptor
exp_monmaker_disruptorword3	Arruinador
exp_monmaker_disruptorword4	Vándalo
exp_monmaker_frogconcatprefix1	del Charco
exp_monmaker_frogconcatprefix2	del Pantano
exp_monmaker_frogconcatprefix3	de la Ciénaga
exp_monmaker_frogconcatprefix4	del Lago
exp_monmaker_frogconcatprefix5	del Barro
exp_monmaker_frogconcatprefix6	del Pringue
exp_monmaker_frogconcatprefix7	Sorbetodo
exp_monmaker_frogconcatprefix8	Croacroá
exp_monmaker_frogconcatprefix9	del Agua
exp_monmaker_frogconcatsuffix1	brincador
exp_monmaker_frogconcatsuffix2	saltarín
exp_monmaker_frogconcatsuffix3	lengua
exp_monmaker_frogconcatsuffix4	pata
exp_monmaker_frogconcatsuffix5	salpicador
exp_monmaker_frogconcatsuffix6	batracio
exp_monmaker_frogconcatsuffix7	anfibio
exp_monmaker_frogprefix1	Verdadero
exp_monmaker_frogprefix2	del Charco
exp_monmaker_frogprefix3	Pantanoso
exp_monmaker_frogprefix4	Cenagoso
exp_monmaker_frogprefix5	Común
exp_monmaker_frogprefix6	Gorrino
exp_monmaker_frogprefix7	Patiplano
exp_monmaker_frogprefix8	Bocachancla
exp_monmaker_frogprefix9	Patamojada
exp_monmaker_frogsuffix1	Sapo
exp_monmaker_frogsuffix2	Rana
exp_monmaker_frogsuffix3	Croadora
exp_monmaker_frogsuffix4	Saltarina
exp_monmaker_frogsuffix5	Renacuajo
exp_monmaker_grasstreeword1	Liana
exp_monmaker_grasstreeword2	Musgo
exp_monmaker_grasstreeword3	Árbol
exp_monmaker_grasstreeword4	Matorral
exp_monmaker_grasstreeword5	Arbusto
exp_monmaker_grasstreeword6	Planta
exp_monmaker_hybridprefix1	Robusto
exp_monmaker_hybridprefix2	Sólido
exp_monmaker_hybridprefix3	Fuerte
exp_monmaker_hybridsuffix1	Constructo
exp_monmaker_hybridsuffix2	Gólem
exp_monmaker_hybridsuffix3	Tótem
exp_monmaker_insectprefix1	Común
exp_monmaker_insectprefix2	Rayado
exp_monmaker_insectprefix3	Ponedero
exp_monmaker_insectprefix4	Pelotero
exp_monmaker_insectprefix5	Calvo
exp_monmaker_insectsuffix1	Bicho
exp_monmaker_insectsuffix2	Plaga
exp_monmaker_insectsuffix3	Insecto
exp_monmaker_insectsuffix4	Sabandija
exp_monmaker_meleeword1	Matón
exp_monmaker_meleeword2	Gladiador
exp_monmaker_meleeword3	Gorila
exp_monmaker_meleeword4	Merodeador
exp_monmaker_naturalgrowthprefix1	Orgánico
exp_monmaker_naturalgrowthprefix2	Espinoso
exp_monmaker_naturalgrowthprefix3	Terroso
exp_monmaker_naturalgrowthprefix4	Basal
exp_monmaker_naturalgrowthprefix5	Viviente
exp_monmaker_naturalgrowthprefix6	Palpitante
exp_monmaker_naturalgrowthsuffix1	Mata
exp_monmaker_naturalgrowthsuffix2	Pimpollo
exp_monmaker_naturalgrowthsuffix3	Brote
exp_monmaker_naturalgrowthsuffix4	Retoño
exp_monmaker_naturalgrowthsuffix5	Rizoma
exp_monmaker_naturalgrowthsuffix6	Pólipo
exp_monmaker_rangedword1	Francotirador
exp_monmaker_rangedword2	Cazador
exp_monmaker_rangedword3	Guerrillero
exp_monmaker_rangedword4	Depredador
exp_monmaker_rangedword5	Montaraz
exp_monmaker_robotconcatprefix1	Cromado
exp_monmaker_robotconcatprefix2	Luchador
exp_monmaker_robotconcatprefix3	Vigía
exp_monmaker_robotconcatprefix4	Guarda
exp_monmaker_robotconcatprefix5	Protector
exp_monmaker_robotconcatprefix6	Soldado
exp_monmaker_robotconcatprefix7	Batalla
exp_monmaker_robotconcatsuffix1	bot
exp_monmaker_robotconcatsuffix2	con
exp_monmaker_robotconcatsuffix3	tron
exp_monmaker_robotprefix1	Guarda
exp_monmaker_robotprefix2	Protector
exp_monmaker_robotprefix3	Centinela
exp_monmaker_robotprefix4	Conservador
exp_monmaker_robotprefix5	Custodio
exp_monmaker_robotprefix6	Celador
exp_monmaker_robotsuffix1	Bot
exp_monmaker_robotsuffix2	Robot
exp_monmaker_robotsuffix3	Androide
exp_monmaker_robotsuffix4	Dron
exp_monmaker_robotsuffix5	Mecha
exp_monmaker_slimeconcatprefix1	Meloso
exp_monmaker_slimeconcatprefix2	Cavernoso
exp_monmaker_slimeconcatprefix3	Húmedo
exp_monmaker_slimeconcatprefix4	Salpicadura
exp_monmaker_slimeconcatprefix5	Burbuja
exp_monmaker_slimeconcatprefix6	Gota
exp_monmaker_slimeconcatprefix7	Gelatina
exp_monmaker_slimeconcatprefix8	Mohoso
exp_monmaker_slimeconcatsuffix1	ploc
exp_monmaker_slimeconcatsuffix2	moho
exp_monmaker_slimeconcatsuffix3	gloch
exp_monmaker_slimeconcatsuffix4	pulp
exp_monmaker_slimeconcatsuffix5	gum
exp_monmaker_slimeprefix1	Goteante
exp_monmaker_slimeprefix10	Viscoso
exp_monmaker_slimeprefix11	Cavernoso
exp_monmaker_slimeprefix2	Rezumante
exp_monmaker_slimeprefix3	Borboteante
exp_monmaker_slimeprefix4	Permeable
exp_monmaker_slimeprefix5	Fangoso
exp_monmaker_slimeprefix6	Húmedo
exp_monmaker_slimeprefix7	Chapoteante
exp_monmaker_slimeprefix8	Gelatinoso
exp_monmaker_slimeprefix9	Coagulado
exp_monmaker_slimesuffix1	Mucílaga
exp_monmaker_slimesuffix2	Moco
exp_monmaker_slimesuffix3	Moho
exp_monmaker_slimesuffix4	Lodo
exp_monmaker_snakesuffix1	Serpiente
exp_monmaker_snakesuffix2	Víbora
exp_monmaker_snakesuffix3	Cascabel
exp_monmaker_snakesuffix4	Cobra
exp_monmaker_snakesuffix5	Pitón
exp_monmaker_snakesuffix6	Mamba
exp_monmaker_snakesuffix7	Taipán
exp_monmaker_spiritconcatprefix1	Nilb
exp_monmaker_spiritconcatprefix2	Lesh
exp_monmaker_spiritconcatprefix3	Vanar
exp_monmaker_spiritconcatprefix4	Sol
exp_monmaker_spiritconcatprefix5	Quol
exp_monmaker_spiritconcatprefix6	Torg
exp_monmaker_spiritconcatprefix7	Man
exp_monmaker_spiritconcatprefix8	Mor
exp_monmaker_spiritconcatprefix9	Dram
exp_monmaker_spiritconcatsuffix1	en
exp_monmaker_spiritconcatsuffix2	ari
exp_monmaker_spiritconcatsuffix3	idin
exp_monmaker_spiritconcatsuffix4	eth
exp_monmaker_spiritconcatsuffix5	oth
exp_monmaker_spiritconcatsuffix6	ori
exp_monmaker_spiritconcatsuffix7	avin
exp_monmaker_spiritconcatsuffix8	avi
exp_monmaker_spiritprefix1	Vengativo
exp_monmaker_spiritprefix2	Triste
exp_monmaker_spiritprefix3	Aterrador
exp_monmaker_spiritprefix4	Errante
exp_monmaker_spiritprefix5	Perdido
exp_monmaker_spiritprefix6	Errabundo
exp_monmaker_spiritprefix7	Secreto
exp_monmaker_spiritsuffix1	Espíritu
exp_monmaker_spiritsuffix10	Sílfide
exp_monmaker_spiritsuffix11	Caminante
exp_monmaker_spiritsuffix2	Elemental
exp_monmaker_spiritsuffix3	Alma
exp_monmaker_spiritsuffix4	Duende
exp_monmaker_spiritsuffix5	Esencia
exp_monmaker_spiritsuffix6	Fantasma
exp_monmaker_spiritsuffix7	Espectro
exp_monmaker_spiritsuffix8	Aparición
exp_monmaker_spiritsuffix9	Fuego fatuo
exp_monmaker_statususerword1	Chamán
exp_monmaker_statususerword2	Oráculo
exp_monmaker_statususerword3	Augur
exp_monmaker_strongfireprefix1	Infierno
exp_monmaker_strongfireprefix2	Llamarada
exp_monmaker_strongfireprefix3	Nova
exp_monmaker_stronglightningprefix1	Descarga
exp_monmaker_stronglightningprefix2	Trueno
exp_monmaker_stronglightningprefix3	Centella
exp_monmaker_strongpoisonprefix1	Ponzoña
exp_monmaker_strongpoisonprefix2	Ácido
exp_monmaker_strongpoisonprefix3	Flagelo
exp_monmaker_strongshadowprefix1	Noche
exp_monmaker_strongshadowprefix2	Terror
exp_monmaker_strongshadowprefix3	Sombra
exp_monmaker_strongshadowprefix4	Vacío
exp_monmaker_strongwaterprefix1	Aluvión
exp_monmaker_strongwaterprefix2	Inundación
exp_monmaker_strongwaterprefix3	Glaciar
exp_monmaker_strongwaterprefix4	Polar
exp_monmaker_summonerword1	Invocador
exp_monmaker_summonerword2	Conjurador
exp_monmaker_summonerword3	Llamador
exp_monmaker_supporterword1	Potenciador
exp_monmaker_supporterword2	Defensor
exp_monmaker_supporterword3	Galeno
exp_monmaker_supporterword4	Encantador
exp_monmaker_weakfireprefix1	Fuego
exp_monmaker_weakfireprefix2	Llama
exp_monmaker_weakfireprefix3	Ascua
exp_monmaker_weakfireprefix4	Calor
exp_monmaker_weaklightningprefix1	Chispa
exp_monmaker_weaklightningprefix2	Rayo
exp_monmaker_weaklightningprefix3	Relámpago
exp_monmaker_weakpoisonprefix1	Veneno
exp_monmaker_weakpoisonprefix2	Tóxico
exp_monmaker_weakpoisonprefix3	Barro
exp_monmaker_weakpoisonprefix4	Fango
exp_monmaker_weakshadowprefix1	Sombra
exp_monmaker_weakshadowprefix2	Oscuridad
exp_monmaker_weakshadowprefix3	Anochecer
exp_monmaker_weakshadowprefix4	Plomizo
exp_monmaker_weakwaterprefix1	Lluvia
exp_monmaker_weakwaterprefix2	Agua
exp_monmaker_weakwaterprefix3	Frío
exp_monmaker_weakwaterprefix4	Rasca
exp_monmaker_weakwaterprefix5	Helada
exp_monmaker_weakwaterprefix6	Hielo
exp_monmod_firegod	Dios del Fuego
exp_monmod_lightninggod	Dios del Rayo
exp_monmod_physicalgod	Dios de la Espada
exp_monmod_poisongod	Dios del Veneno
exp_monmod_shadowgod	Dios de la Sombra
exp_monmod_watergod	Dios del Agua
exp_mysterydungeon_bossname	~ Rey del Misterio ~
exp_mysterydungeon_bossvictory	¡El #clr# Rey del Misterio#ec# ha sido derrotado! Este viaje acabará cuando uses tu #cc#Portal mágico#ec#.\n\n
exp_mysterydungeon_explanation	#big##clr#Viaje del Trotamundos#ec##endbig#\n\nEn esta aventura, debes alcanzar el #cy#planta más alta#ec# y derrotar allí al #clr#Rey del Misterio#ec#. ¡A diferencia de un Sueño de objeto, #cr#no puedes#ec# volver al pueblo!\n\nSolo encontrarás #cy#escaleras ascendentes#ec# allí; no hay #cr#vuelta atrás#ec#. No obstante, seguirás encontrando #cy#plantas con fogatas de campamento#ec# de vez en cuando.\n\nTodos los #cy#monstruos#ec# aquí son nuevos. Obsérvalo cuidadosamente para conocer sus #cc#poderes y comportamiento#ec#. ¡Buena suerte!\n\n
exp_mysterydungeon_postvictory	#big##clr#¡Viaje del Trotamundos#ec# completado!#endbig#\n\n
exp_mysterydungeon_tip0	Cada vez que entres en un #clr#Viaje del Trotamundos#ec#, los monstruos serán nuevos. ¡Obsérvalos atentamente!
exp_mysterydungeon_tip1	Puedes encontrar #clr#Reliquias#ec# únicas y poderosas en un #clr#Viaje del Trotamundos#ec#.
exp_mysterydungeon_tip2	¡No podrás volver al pueblo en un #clr#Viaje del Trotamundos#ec#, así que no dudes en gastarte el dinero en los mercaderes!
exp_mysterydungeon_tip3	Las #cy#fogatas de campamento#ec# aparecen cada pocas plantas en un #clr#Viaje del Trotamundos#ec#. Úsalas sabiamente…
exp_obj_blackhole_name	Agujero negro
exp_overload_dmg_name	Sobrecarga
exp_parry_down	¡BAJA LA PARADA!
exp_popup_misc_sticky	¡LENGUA PEGADA!
exp_randomshop1_name	Normando
exp_randomshop2_name	Fernando
exp_randomshop3_name	Orlando
exp_randomshop4_name	Hernando
exp_randomshop5_name	Tando
exp_randomshop6_name	Shirando
exp_rarity_relic	Reliquia
exp_shara_died	Hay incontables historias sobre Tangledeep, todas narradas de infinidad de formas. En el cuento de hoy, la #cc#Leyenda de Shara#ec# acabó aquí, dejando su #cy#propósito#ec# sin cumplir. ¿Pero es ese el final verdadero?
exp_shara_dominate_description1	Golpea a un monstruo con energía no elemental y puede ^tag1^ permanentemente a criaturas debilitadas. Con este método puedes controlar hasta un máximo de ^tag2^ criaturas.
exp_shara_dominate_description2	Golpea a un monstruo con energía no elemental y puede ponerlo permanentemente al servicio de tu propósito superior. Con este método puedes controlar hasta un máximo de ^tag2^ criaturas.
exp_shara_dominate_displayname1	Golpe amansador
exp_shara_dominate_displayname2	Reproche reclutador
exp_shara_dominate_displayname3	Golpe imponente
exp_shara_dominate_displayname4	Dominación
exp_shara_dominate_extradesc1	Daño: ^number1^ de Poder espiritual como Físico. ^tag1^ permanentemente a monstruos que no sean campeones con menos de ^number2^ PV. Los monstruos hechizados no triviales regeneran tu propia Salud.
exp_shara_dominate_extradesc2	Daño: ^number1^ de Poder espiritual como Físico. Domina permanentemente a monstruos que no sean campeones con menos de ^number2^ PV. Las criaturas dominadas pierden lentamente Salud. Cuando una criatura no trivial dominada es derrotado, regenera un ^number3^ de tu Salud, Energía y Resistencia máximas.
exp_shara_ko	Shara se enfrentó a numerosos enemigos duros de pelar y escapó de situaciones desesperadas. <color=#0cffe6>^tag1^</color> en <color=yellow>^tag2^</color> pudo con ella esta vez, pero eso no hizo que se viniera abajo. Nada iba a impedirle cumplir con su #cy#propósito#ec#.
exp_shara_ko_result	Shara dejó atrás <color=yellow>^tag1^</color> o al escapar y gasto <color=#40b843>^tag2^ OP</color> en recuperarse.
exp_sharaending_text1	Tantas preguntas sobre esta mujer y su espíritu indomable…
exp_sharaending_text2	Pero solo una es realmente importante:
exp_sharaending_text3	¿Es amiga o enemiga?
exp_sharaending_text4	No dejaré que nadie me impida lograr misión, pero…
exp_sharaending_text5	Tal vez podamos reconstruir este mundo juntas…
exp_sharafinalboss_phase2begin_1	#cy#REFUERZOS SOLICITADOS.#ec# ARMAMENTO ACTUAL INCAPAZ DE RESISTIR ASALTO DE #cc#SHARA_AVATAR.#ec#\n\nENTRANDO EN SUSPENSIÓN REGENERATIVA DE EMERGENCIA DURANTE #cc#^tag1^ UNIDADES DE TIEMPO#ec#.\n\n
exp_sharafinalboss_phase2begin_2	¡Ja! ¿Percibo un atisbo de #cr#miedo#ec#, máquina?\n\nHe desarrollado mis poderes de cara a este momento. ¡Sin tu presencia, #cc#dominaré#ec# a tus nuevos aliados y los volveré en contra tuya!\n\n
exp_sharafinalboss_phase2end_1	CICLO DE REGENERACIÓN COMPLETADO. ESTADO OPERATIVO: #cg#COMPLETAMENTE REGENERADo#ec#.\n\n
exp_sharaforest_levelname	Bosque de los sueños
exp_sharamode_tips0	Si tu #cr#Salud#ec# está a tope, las #cc#fuentes mágicas#ec# regenerarán tu #cc#Escudo de energía#ec# y restablecerán su tiempo de espera.
exp_sharamode_tips1	El nivel de Shara aumenta #cy#gastando PO#ec#. Eso aumenta su daño por armas y Poder espiritual.
exp_sharamode_tips2	Shara gana #cr#Salud#ec# cada vez que mejora un #cy#atributo básico#ec# con PO.
exp_sharamode_tips3	Aprende nuevas habilidades abriendo #cy#Cajas de Pandora#ec# y descansando en las #cy#fogatas de campamento#ec#.
exp_sharamode_tips4	Las habilidades que puedes elegir son aleatorias cada vez, así que #cy#evalúa cuidadosamente cada elección#ec#.
exp_sharamode_tips5	Hay muchas #cg#áreas laterale#ec#s para descubrir y no necesitas #cg#rumores#ec# para encontrarlas.
exp_sharamode_tips6	Shara puede usar habilidades de la #cy#hoja de habilidades#ec# y ordenar libremente las #cy#barras de acceso rápido#ec#, incluso en zonas peligrosas.
exp_sharamode_tips7	En cada #cy#fogata de campamento#ec# que encuentres, también habrá un mercader en las inmediaciones.
exp_sharamode_tips8	¡Las #cy#Cajas de Pandora#ec# siempre contienen una pieza de equipamiento poderosa en la #cc#Historia de Shara#ec#!
exp_sharapower_learned_txt	¡#cc#Shara#ec# puede usar las habilidades con más libertad que #cy#Mirai#ec#! Puedes usar habilidades de la #cy#hoja de habilidades#ec# sin asignarlas a una barra de acceso rápido.\n\nTambién puedes #cy#poner y quitar#ec# habilidades de las barras de acceso rápido, incluso en un área peligrosa. Y lo mismo es aplicable a la hora de equipar y desequipar #cg#habilidades complementarias#ec#.\n\n
exp_skill_axeiaijutsu_name	Tormenta de hachas
exp_skill_banish_description	Destruye instantáneamente a cualquier peligro o criatura invocada que no sea un campeón.
exp_skill_banish_displayname	Expulsión
exp_skill_boostdiscipline_desc	Aumenta la Disciplina máxima en ^number1^.
exp_skill_boostdiscipline_name	Aumentar Disciplina
exp_skill_boostguile_desc	Aumenta la Astucia máxima en ^number1^.
exp_skill_boostguile_name	Aumentar Astucia
exp_skill_boosthealth_desc	Aumenta la Salud máxima en ^number1^.
exp_skill_boosthealth_name	Aumentar Salud
exp_skill_boostspirit_desc	Aumenta el Espíritu máximo en ^number1^.
exp_skill_boostspirit_name	Aumentar Espíritu
exp_skill_booststrength_desc	Aumenta la Fuerza máxima en ^number1^.
exp_skill_booststrength_name	Aumentar Fuerza
exp_skill_boostswiftness_desc	Aumenta la Rapidez máxima en ^number1^.
exp_skill_boostswiftness_name	Aumentar Rapidez
exp_skill_chakrashift_desc	Absorbe tus propios potenciadores de estado temporales y los elimina, a cambio de un ^number1^ de daño durante ^number2^ por cada potenciador eliminado.
exp_skill_chakrashift_name	Cambio de chakras
exp_skill_charisma_desc	^number1^ de probabilidades de ^$sharamode:dominateverb$^ a monstruos de tipo bandido que no sean campeones cuando te ataquen.
exp_skill_charisma_name	Carisma
exp_skill_cleanup_desc	Elimina instantáneamente una casilla peligrosa temporal tal y como bloques de hielo, fuego o charcos de ácido.
exp_skill_cleanup_name	Pulir y abrillantar
exp_skill_collectivestrength_desc	Los ataques básicos infligen ^number1^ de daño por monstruo dominado bajo tu control (máx.: ^number2^).
exp_skill_collectivestrength_name	Fuerza colectiva
exp_skill_combatbiography_desc	Relata tus aventuras en una biografía mística que gasta todas las Pinceladas e invoca el libro cercano. Al recoger el libro se devuelven todas las Pinceladas usadas más ^number1^ y potencia brevemente las habilidades de la Calígrafa.
exp_skill_combatbiography_extradesc	Solo puede haber una Biografía a la vez. La invocación dura ^number2^ turnos. Las habilidades de Calígrafa ganan un ^number3^ de daño durante ^number4^ turnos al recogerla.
exp_skill_combatbiography_name	Biografía de combate
exp_skill_combatbiography_shortdesc	Invoca un libro místico que contiene todas las Pinceladas a una casilla cercana aleatoria.
exp_skill_commandingpresence_description	(Pasiva) Gana un ^number1^ de probabilidades de ^$sharamode:dominateverb$^ monstruos con tus ataques básicos por cada uno de ellos que ya controles.
exp_skill_commandingpresence_extradesc	La probabilidad máxima de ^$sharamode:dominateverb$^ con ataques es del ^number2^.
exp_skill_commandingpresence_name	Presencia imponente
exp_skill_createrandomrock_name	Crear escombros
exp_skill_dangermagnet_desc	Los problemas te buscan allá donde vayas, lo que aumenta la frecuencia de monstruos errantes un ^number1^.
exp_skill_dangermagnet_name	Imán del peligro
exp_skill_dominate_description	^$sharamode:dominatedesc$^
exp_skill_dominate_displayname	^$sharamode:dominatename$^
exp_skill_dominate_extradesc	^$sharamode:dominateedesc$^
exp_skill_elemabsorb_name	Barrera elemental
exp_skill_eshieldpower_desc	(Pasiva) Aprovecha el poder liberado cuando se rompe un Escudo de energía para ganar ^number1^ de daño hasta que puedas volver a lanzar otro.
exp_skill_eshieldpower_name	Venganza
exp_skill_essencestorm_desc	Crea ^number1^ orbes de poderosa energía a partir de tu fuerza vital, disparando un orbe a cada turno si hay un monstruo cerca.
exp_skill_essencestorm_extradesc	Daño: ^number2^ de Poder espiritual como Físico por relámpago. Golpea enemigos situados a hasta ^number3^ casillas de distancia.
exp_skill_essencestorm_name	Tormenta esencial
exp_skill_expmon_overdrive_name	A toda máquina
exp_skill_expmon_photonbreath_name	Hálito fotónico
exp_skill_expmon_randomphoton_name	Tormenta de fotones
exp_skill_expmon_shielding_name	Escudo de energía
exp_skill_expmon_summoncannondrones_name	Invocar drones
exp_skill_flowshield_description	Crea un escudo con tu esencia vital que absorbe todo el daño. La salud del escudo es un ^number1^ de tu Salud máxima.
exp_skill_flowshield_displayname	Escudo esencial
exp_skill_flowshield_extradesc	El tiempo de espera no se reduce hasta que el escudo ha sido destruido.
