abil_skill_summonvoidcrystal_name	無の水晶召喚
exp_misc_repeatbuy	この強化は複数回行える。
exp_misc_slowed	動きが鈍った！
exp_mm_brigandboost_desc	義賊のスキルダメージ ^number1^
exp_mm_budokaboost_desc	武道家のスキルダメージ ^number1^
exp_mm_budokavalid_desc	素手による戦いに影響しない
exp_mm_edgethaneboost_desc	エッジセインのスキルダメージ ^number1^
exp_mm_floramancerboost_desc	植物使いのスキルダメージ（召喚以外）^number1^
exp_mm_gamblerboost_desc	ギャンブラーのスキルダメージ ^number1^
exp_mm_hunterboost_desc	狩人のスキルダメージ ^number1^
exp_mm_husynboost_desc	ヒュシンのスキルダメージ ^number1^
exp_mm_paladinboost_desc	聖騎士のスキルダメージ ^number1^
exp_mm_passive_armortraining_desc	ヘビーアーマーを装備中、移動スキルで範囲ダメージを与えられる（鎧の鍛錬）
exp_mm_passive_bloodtracking_desc	ヒット時に^number1^の確率で対象を追跡し、ダメージと視野が強化される（血痕追い）
exp_mm_passive_fatchance_desc	食べ物を消費時、^number1^の確率で「満腹」にならない（腹八分目）
exp_mm_passive_gloriousbattler_desc	敵を倒した時に歌が強化され、CTを獲得（誇りある戦い）
exp_mm_passive_hazardsweep_desc	^number1^の確率で、危険なマスを踏んだ時に除去する（危険一掃）
exp_mm_passive_herbforaging_desc	倒した敵が時折回復のハーブを落とす（草摘み）
exp_mm_passive_immunology_desc	^number1^の確率で状態異常を無視。敵に与える状態異常の効果が延びる（免疫学）
exp_mm_passive_qimastery_desc	クリティカルヒット時にエナジーを回復する（気の達人）
exp_mm_passive_thornedskin_desc	^number1^の確率で近接ダメージを反射する（トゲハダ）
exp_mm_soulkeeperboost_desc	ソウルキーパーのスキルダメージ（召喚以外）^number1^
exp_mm_spellshaperboost_desc	スペルシェイパーの示現スキル（未変化）ダメージ ^number1^
exp_mmod_mm_glide_desc	「グライド」のクールダウンが^number1^減少し、着地できる場所が増えるが、毎回クールダウンが発生する
exp_mmod_mm_inkstorm_desc	「墨汁嵐」の各ヒット時のダメージが^number1^増す一方、射程が^number2^減少する
exp_mmod_mm_waterscroll_desc	「水の巻物」の射程が^number1^増す一方、ダメージが^number2^減少する
exp_mon_axewielder_name	盗賊の執行官
exp_mon_batslime_name	アーチモールド
exp_mon_bladefrog_name	ブレードフロッグ
exp_mon_boltspirit_name	ボルトデーモン
exp_mon_bouldertoad_name	沼トライホーン
exp_mon_budoka_name	盗賊の武道家
exp_mon_butterfly_name	モナーク
exp_mon_chameleon_name	カメレオン
exp_mon_chemist2_name	マッドジニアス
exp_mon_chonkfrog_name	タムタムガエル
exp_mon_cubeslime_name	カクカクジェリー
exp_mon_guardianseeker2_name	ガーディアンコルセア
exp_mon_komodon2_name	皇帝コモドン
exp_mon_mimic_name	ミミック
exp_mon_minicubeslime_name	ミニカクカクジェリー
exp_mon_phasmacannon_name	ファズマ砲
exp_mon_pistolshrimp_name	キャノンザリガニ
exp_mon_robotmantis_name	ロボマンティス
exp_mon_scientist_device_name	未知の装置
exp_mon_scientist_summoner_name	インガーソル
exp_mon_shara_finalboss_name	コアガーディアン
exp_mon_shovelgolem_name	シャベルナイト
exp_mon_spiritstag_name	エイドロン
exp_mon_staffbandit_name	盗賊のスタッフマスター
exp_mon_tentacle_name	ウォーターストーカー
exp_mon_toxicslime_name	毒スライム
exp_mon_venomancer_name	盗賊の毒魔導士
exp_mon_xp_heavygolem_name	セキュリティゴーレム
exp_mon_xp_powerorbiter_name	ガーディアンプロテクター
exp_monmaker_banditprefix1	山賊
exp_monmaker_banditprefix2	盗賊
exp_monmaker_banditprefix3	無法者
exp_monmaker_banditprefix4	襲撃者
exp_monmaker_banditprefix5	義賊
exp_monmaker_banditprefix6	吟遊詩人
exp_monmaker_banditprefix7	海賊
exp_monmaker_banditsuffix1	スカウト
exp_monmaker_banditsuffix10	ルーテナント
exp_monmaker_banditsuffix11	サージェント
exp_monmaker_banditsuffix2	エクスプローラー
exp_monmaker_banditsuffix3	リクルート
exp_monmaker_banditsuffix4	ルックアウト
exp_monmaker_banditsuffix5	パトロール
exp_monmaker_banditsuffix6	スポッター
exp_monmaker_banditsuffix7	スカーミッシャー
exp_monmaker_banditsuffix8	ラキー
exp_monmaker_banditsuffix9	ルーキー
exp_monmaker_beastconcatprefix1	ブリスル
exp_monmaker_beastconcatprefix2	シャープ
exp_monmaker_beastconcatprefix3	レイザー
exp_monmaker_beastconcatprefix4	ビッグ
exp_monmaker_beastconcatprefix5	スリック
exp_monmaker_beastconcatprefix6	アイアン
exp_monmaker_beastconcatsuffix1	バック
exp_monmaker_beastconcatsuffix2	オックス
exp_monmaker_beastconcatsuffix3	ベア
exp_monmaker_beastconcatsuffix4	クロー
exp_monmaker_beastconcatsuffix5	バイト
exp_monmaker_beastconcatsuffix6	マウス
exp_monmaker_beastconcatsuffix7	スケール
exp_monmaker_beastconcatsuffix8	ポウ
exp_monmaker_beastprefix1	むさくるしい
exp_monmaker_beastprefix10	密林の
exp_monmaker_beastprefix11	草食の
exp_monmaker_beastprefix2	咆哮する
exp_monmaker_beastprefix3	気高い
exp_monmaker_beastprefix4	汚らしい
exp_monmaker_beastprefix5	腹ペコの
exp_monmaker_beastprefix6	ふつうの
exp_monmaker_beastprefix7	凶暴な
exp_monmaker_beastprefix8	ぼんやりした
exp_monmaker_beastprefix9	足の強い
exp_monmaker_beastsuffix1	ビースト
exp_monmaker_beastsuffix2	クリッター
exp_monmaker_beastsuffix3	フィーンド
exp_monmaker_beastsuffix4	ヴァーミント
exp_monmaker_beastsuffix5	ブルート
exp_monmaker_beastsuffix6	グラトン
exp_monmaker_coloredprefix1	ぶち
exp_monmaker_coloredprefix2	まだら
exp_monmaker_coloredprefix3	つぶつぶ
exp_monmaker_coloredprefix4	皮はげ
exp_monmaker_coloredprefix5	ぶつぶつ
exp_monmaker_coloredprefix6	皮むけ
exp_monmaker_disruptorword1	ディスラプター
exp_monmaker_disruptorword2	ブレーカー
exp_monmaker_disruptorword3	ヘクサー
exp_monmaker_disruptorword4	ヴァンダル
exp_monmaker_frogconcatprefix1	池
exp_monmaker_frogconcatprefix2	沼
exp_monmaker_frogconcatprefix3	泥
exp_monmaker_frogconcatprefix4	湖
exp_monmaker_frogconcatprefix5	ドロドロ
exp_monmaker_frogconcatprefix6	スベスベ
exp_monmaker_frogconcatprefix7	ズルズル
exp_monmaker_frogconcatprefix8	ゲコゲコ
exp_monmaker_frogconcatprefix9	ウォーター
exp_monmaker_frogconcatsuffix1	スキッパー
exp_monmaker_frogconcatsuffix2	ホッパー
exp_monmaker_frogconcatsuffix3	ベロンガ
exp_monmaker_frogconcatsuffix4	アシナガ
exp_monmaker_frogconcatsuffix5	スプラッシャー
exp_monmaker_frogconcatsuffix6	ウォッグ
exp_monmaker_frogconcatsuffix7	ポッグ
exp_monmaker_frogprefix1	真の
exp_monmaker_frogprefix2	池
exp_monmaker_frogprefix3	沼
exp_monmaker_frogprefix4	泥
exp_monmaker_frogprefix5	ふつうの
exp_monmaker_frogprefix6	背のくぼんだ
exp_monmaker_frogprefix7	スキアシ
exp_monmaker_frogprefix8	デカグチ
exp_monmaker_frogprefix9	ヌレアシ
exp_monmaker_frogsuffix1	トード
exp_monmaker_frogsuffix2	フロッグ
exp_monmaker_frogsuffix3	クローカー
exp_monmaker_frogsuffix4	ホッパー
exp_monmaker_frogsuffix5	ジャクシ
exp_monmaker_grasstreeword1	ヴァイン
exp_monmaker_grasstreeword2	モス
exp_monmaker_grasstreeword3	ツリー
exp_monmaker_grasstreeword4	ブラッシュ
exp_monmaker_grasstreeword5	ブッシュ
exp_monmaker_grasstreeword6	プラント
exp_monmaker_hybridprefix1	頑丈な
exp_monmaker_hybridprefix2	ごつい
exp_monmaker_hybridprefix3	屈強な
exp_monmaker_hybridsuffix1	コンストラクト
exp_monmaker_hybridsuffix2	ゴーレム
exp_monmaker_hybridsuffix3	トーテム
exp_monmaker_insectprefix1	ふつうの
exp_monmaker_insectprefix2	シマシマの
exp_monmaker_insectprefix3	巣作り中の
exp_monmaker_insectprefix4	ふっくら
exp_monmaker_insectprefix5	厚かましい
exp_monmaker_insectsuffix1	バグ
exp_monmaker_insectsuffix2	ペスト
exp_monmaker_insectsuffix3	インセクト
exp_monmaker_insectsuffix4	ヴァーミン
exp_monmaker_meleeword1	ブロウラー
exp_monmaker_meleeword2	グラディエーター
exp_monmaker_meleeword3	ブルーザー
exp_monmaker_meleeword4	マローダー
exp_monmaker_naturalgrowthprefix1	オーガニック
exp_monmaker_naturalgrowthprefix2	ソーニー
exp_monmaker_naturalgrowthprefix3	アーシー
exp_monmaker_naturalgrowthprefix4	ベイサル
exp_monmaker_naturalgrowthprefix5	リビング
exp_monmaker_naturalgrowthprefix6	パルシング
exp_monmaker_naturalgrowthsuffix1	グロウス
exp_monmaker_naturalgrowthsuffix2	スウェル
exp_monmaker_naturalgrowthsuffix3	シュート
exp_monmaker_naturalgrowthsuffix4	スプラウト
exp_monmaker_naturalgrowthsuffix5	クリープ
exp_monmaker_naturalgrowthsuffix6	ポリプ
exp_monmaker_rangedword1	スナイパー
exp_monmaker_rangedword2	ハンター
exp_monmaker_rangedword3	シャープシューター
exp_monmaker_rangedword4	プレデター
exp_monmaker_rangedword5	レンジャー
exp_monmaker_robotconcatprefix1	クロム
exp_monmaker_robotconcatprefix2	ファイト
exp_monmaker_robotconcatprefix3	スカウト
exp_monmaker_robotconcatprefix4	セントリー
exp_monmaker_robotconcatprefix5	ウォード
exp_monmaker_robotconcatprefix6	ソルジャー
exp_monmaker_robotconcatprefix7	バトル
exp_monmaker_robotconcatsuffix1	ボット
exp_monmaker_robotconcatsuffix2	コン
exp_monmaker_robotconcatsuffix3	トロン
exp_monmaker_robotprefix1	セントリー
exp_monmaker_robotprefix2	プロテクター
exp_monmaker_robotprefix3	センチネル
exp_monmaker_robotprefix4	キュレーター
exp_monmaker_robotprefix5	カストディアン
exp_monmaker_robotprefix6	ウォーデン
exp_monmaker_robotsuffix1	ボット
exp_monmaker_robotsuffix2	ロボット
exp_monmaker_robotsuffix3	ドロイド
exp_monmaker_robotsuffix4	ドローン
exp_monmaker_robotsuffix5	メック
exp_monmaker_slimeconcatprefix1	ハニー
exp_monmaker_slimeconcatprefix2	ケイブ
exp_monmaker_slimeconcatprefix3	ジメジメ
exp_monmaker_slimeconcatprefix4	ビチョビチョ
exp_monmaker_slimeconcatprefix5	ブクブク
exp_monmaker_slimeconcatprefix6	ボットン
exp_monmaker_slimeconcatprefix7	プルプル
exp_monmaker_slimeconcatprefix8	かびかび
exp_monmaker_slimeconcatsuffix1	ドロップ
exp_monmaker_slimeconcatsuffix2	モールド
exp_monmaker_slimeconcatsuffix3	ドンドロ
exp_monmaker_slimeconcatsuffix4	ドローロ
exp_monmaker_slimeconcatsuffix5	ネバック
exp_monmaker_slimeprefix1	ボッタン
exp_monmaker_slimeprefix10	ネバネバ
exp_monmaker_slimeprefix11	ケイブ
exp_monmaker_slimeprefix2	ジワジワ
exp_monmaker_slimeprefix3	ポットン
exp_monmaker_slimeprefix4	だだモレ
exp_monmaker_slimeprefix5	ズンドコ
exp_monmaker_slimeprefix6	ジメジメ
exp_monmaker_slimeprefix7	チャプチャプ
exp_monmaker_slimeprefix8	プルルン
exp_monmaker_slimeprefix9	ブルルン
exp_monmaker_slimesuffix1	ジェリー
exp_monmaker_slimesuffix2	スライム
exp_monmaker_slimesuffix3	モールド
exp_monmaker_slimesuffix4	ウーズ
exp_monmaker_snakesuffix1	スネイク
exp_monmaker_snakesuffix2	ヴァイパー
exp_monmaker_snakesuffix3	ラトラー
exp_monmaker_snakesuffix4	コブラ
exp_monmaker_snakesuffix5	パイソン
exp_monmaker_snakesuffix6	マンバ
exp_monmaker_snakesuffix7	タイパン
exp_monmaker_spiritconcatprefix1	ニルブ
exp_monmaker_spiritconcatprefix2	レシュ
exp_monmaker_spiritconcatprefix3	ヴァナー
exp_monmaker_spiritconcatprefix4	ソル
exp_monmaker_spiritconcatprefix5	クォル
exp_monmaker_spiritconcatprefix6	トーグ
exp_monmaker_spiritconcatprefix7	マン
exp_monmaker_spiritconcatprefix8	モー
exp_monmaker_spiritconcatprefix9	ドラム
exp_monmaker_spiritconcatsuffix1	エン
exp_monmaker_spiritconcatsuffix2	アリ
exp_monmaker_spiritconcatsuffix3	ディン
exp_monmaker_spiritconcatsuffix4	ベス
exp_monmaker_spiritconcatsuffix5	オス
exp_monmaker_spiritconcatsuffix6	オリ
exp_monmaker_spiritconcatsuffix7	アヴィン
exp_monmaker_spiritconcatsuffix8	アヴィ
exp_monmaker_spiritprefix1	復讐の
exp_monmaker_spiritprefix2	孤独な
exp_monmaker_spiritprefix3	不気味な
exp_monmaker_spiritprefix4	さまよう
exp_monmaker_spiritprefix5	迷える
exp_monmaker_spiritprefix6	放浪の
exp_monmaker_spiritprefix7	神秘の
exp_monmaker_spiritsuffix1	亡霊
exp_monmaker_spiritsuffix10	シルフ
exp_monmaker_spiritsuffix11	ストライダー
exp_monmaker_spiritsuffix2	精霊
exp_monmaker_spiritsuffix3	魂
exp_monmaker_spiritsuffix4	妖精
exp_monmaker_spiritsuffix5	エッセンス
exp_monmaker_spiritsuffix6	幽霊
exp_monmaker_spiritsuffix7	悪鬼
exp_monmaker_spiritsuffix8	邪霊
exp_monmaker_spiritsuffix9	鬼火
exp_monmaker_statususerword1	シャーマン
exp_monmaker_statususerword2	オラクル
exp_monmaker_statususerword3	アウガー
exp_monmaker_strongfireprefix1	インフェルノ
exp_monmaker_strongfireprefix2	ブレイズ
exp_monmaker_strongfireprefix3	ノヴァ
exp_monmaker_stronglightningprefix1	ショック
exp_monmaker_stronglightningprefix2	サンダー
exp_monmaker_stronglightningprefix3	ブリッツ
exp_monmaker_strongpoisonprefix1	ヴェノム
exp_monmaker_strongpoisonprefix2	アシッド
exp_monmaker_strongpoisonprefix3	ベイン
exp_monmaker_strongshadowprefix1	ナイト
exp_monmaker_strongshadowprefix2	テラー
exp_monmaker_strongshadowprefix3	シャドウ
exp_monmaker_strongshadowprefix4	ヴォイド
exp_monmaker_strongwaterprefix1	デリュージ
exp_monmaker_strongwaterprefix2	フラッド
exp_monmaker_strongwaterprefix3	グレイシャー
exp_monmaker_strongwaterprefix4	ポーラー
exp_monmaker_summonerword1	サマナー
exp_monmaker_summonerword2	コンジャラー
exp_monmaker_summonerword3	コーラー
exp_monmaker_supporterword1	ブースター
exp_monmaker_supporterword2	サポーター
exp_monmaker_supporterword3	フィジシャン
exp_monmaker_supporterword4	エンチャンター
exp_monmaker_weakfireprefix1	ファイア
exp_monmaker_weakfireprefix2	フレイム
exp_monmaker_weakfireprefix3	アンバー
exp_monmaker_weakfireprefix4	ヒート
exp_monmaker_weaklightningprefix1	スパーク
exp_monmaker_weaklightningprefix2	ライトニング
exp_monmaker_weaklightningprefix3	ボルト
exp_monmaker_weakpoisonprefix1	ポイズン
exp_monmaker_weakpoisonprefix2	ブライト
exp_monmaker_weakpoisonprefix3	マック
exp_monmaker_weakpoisonprefix4	スラッジ
exp_monmaker_weakshadowprefix1	シェイド
exp_monmaker_weakshadowprefix2	ダーク
exp_monmaker_weakshadowprefix3	ダスク
exp_monmaker_weakshadowprefix4	グルーム
exp_monmaker_weakwaterprefix1	レイン
exp_monmaker_weakwaterprefix2	ウォーター
exp_monmaker_weakwaterprefix3	コールド
exp_monmaker_weakwaterprefix4	チル
exp_monmaker_weakwaterprefix5	フロスト
exp_monmaker_weakwaterprefix6	アイス
exp_monmod_firegod	炎神
exp_monmod_lightninggod	雷神
exp_monmod_physicalgod	剣神
exp_monmod_poisongod	毒神
exp_monmod_shadowgod	影神
exp_monmod_watergod	水神
exp_mysterydungeon_bossname	~ 神秘の王 ~
exp_mysterydungeon_bossvictory	#clr#神秘の王#ec#を倒しました！この旅は、#cc#魔法のポータル#ec#を使うと終了します。\n\n
exp_mysterydungeon_explanation	#big##clr#放浪者の旅#ec##endbig#\n\nこの冒険では#cy#最上階#ec#へ到達して、#clr#神秘の王#ec#を倒さなければなりません。モノの夢とは違い、村へ戻ることは#cr#できません#ec#！\n\nダンジョン内では#cy#上へ向かう階段#ec#しか見つからず、#cr#引き返す#ec#ことはできませんが、#cy#たき火のある階#ec#はたまに見つかります。\n\nダンジョン内では、まったく新しい#cy#魔物#ec#たちが待ち構えています。じっくり観察して、#cc#能力や行動パターン#ec#を学びましょう。幸運を祈ります！\n\n
exp_mysterydungeon_postvictory	#big##clr#放浪者の旅#ec#をクリア！#endbig#\n\n
exp_mysterydungeon_tip0	#clr#放浪者の旅#ec#では毎回新しい敵が出現するの。注意深く観察して！
exp_mysterydungeon_tip1	#clr#放浪者の旅#ec#では、強力で珍しい#clr#レリック#ec#が見つかるわ。
exp_mysterydungeon_tip2	#clr#放浪者の旅#ec#では村へ戻れないから、商人に会ったら、出し惜しみせずにお金を使って！
exp_mysterydungeon_tip3	#clr#放浪者の旅#ec#では数フロアごとに#cy#たき火#ec#が見つかる。効果的に活用して。
exp_obj_blackhole_name	ブラックホール
exp_overload_dmg_name	オーバーロード
exp_parry_down	受け流し低下！
exp_popup_misc_sticky	舌がくっつく！
exp_randomshop1_name	ノルマンド
exp_randomshop2_name	フェルナンド
exp_randomshop3_name	オルランド
exp_randomshop4_name	ヘルナンド
exp_randomshop5_name	タンド
exp_randomshop6_name	シランド
exp_rarity_relic	レリック
exp_shara_died	タングルディープでは数えきれない物語が、数えきれない形で語られる。今日に限れば、#cc#シャラの伝説#ec#はここで幕を閉じ、彼女の#cy#使命#ec#が果たされることはなかった。しかし、これは真の終わりなのだろうか？
exp_shara_dominate_description1	非元素系のエネルギーで敵1体を攻撃し、弱っている魔物を永久的に^tag1^する。最大^tag2^体の魔物を支配下に置ける。
exp_shara_dominate_description2	非元素系のエネルギーで敵1体を攻撃し、永久的に^tag1^して、大いなる使命に従わせる。最大^tag2^体まで支配下に置ける。
exp_shara_dominate_displayname1	懐柔の拳
exp_shara_dominate_displayname2	勧誘の叱責
exp_shara_dominate_displayname3	服従の一撃
exp_shara_dominate_displayname4	支配
exp_shara_dominate_extradesc1	精神力の^number1^の物理ダメージを与え、HPが^number2^以下の非チャンピオン系の敵を永久的に^tag1^する。ランク「超よゆう」以上の魅了された敵は、あなたのHPを回復する。
exp_shara_dominate_extradesc2	精神力の^number1^の物理ダメージを与え、HPが^number2^以下の非チャンピオン系の敵を永久的に支配する。支配下の魔物はゆっくりとHPを失う。ランク「超よゆう」以上の支配下の魔物が倒されると、あなたの最大HP、エナジー、スタミナの^number3^が回復する。
exp_shara_ko	多くの強敵と相まみえ、修羅場をくぐり抜けてきたシャラだったが、今回は<color=yellow>^tag2^</color>にて、<color=#0cffe6>^tag1^</color>に不覚を取った。それでもシャラの心は折れない。己が#cy#使命#ec#を果たす、その時まで。
exp_shara_ko_result	シャラは逃げる際に<color=yellow>^tag1^</color>Gを落とし、回復のために<color=#40b843>^tag2^ JP</color>を消費した。
exp_sharaending_text1	熱意に満ちた、謎多き冒険者さん...
exp_sharaending_text2	けど私が知りたいのは...
exp_sharaending_text3	あなたは敵なの？味方なの？
exp_sharaending_text4	誰にも使命の邪魔はさせない、けど...
exp_sharaending_text5	あなたとなら世界を救えるかもしれない...
exp_sharafinalboss_phase2begin_1	#cy#援軍ヲ要請シマス。#ec#現在の装備デハ、#cc#シャラ_アバター#ec#の攻撃に耐えられマセン。\n\n#cc#^tag1^タイムユニットの間、緊急修復モードに入りマス。\n\n
exp_sharafinalboss_phase2begin_2	アハッ！そんなに#cr#怖い#ec#の、ロボットさん？\n\n私はこの時のために力を磨いてきた。あなたがいないスキに、新しいお仲間たちを#cc#乗っ取って#ec#、襲わせてあげるわ！\n\n
exp_sharafinalboss_phase2end_1	修復サイクル完了。稼働状況: #cg#フル回復済み#ec#。\n\n
exp_sharaforest_levelname	夢幻の森
exp_sharamode_tips0	#cr#体力#ec#が満タンの時に#cc#魔法の泉#ec#を通過すると、#cc#エナジーシールド#ec#が補充され、クールダウンが解消されるわ。
exp_sharamode_tips1	シャラのレベルは#cy#JPを使って#ec#上げられ、武器のダメージや精神力が上昇していくの。
exp_sharamode_tips2	シャラの#cr#最大HP#ec#は、JPを使って#cy#メイン能力#ec#を強化するたびに増えていくわ。
exp_sharamode_tips3	#cy#パンドラの箱#ec#を開けるか#cy#たき火#ec#で休んで、新しいスキルを学んでいって。
exp_sharamode_tips4	選べるスキルは毎回ランダムに決定されるから、#cy#しっかり検討してから選択することね。#ec#。
exp_sharamode_tips5	隠されている#cg#サイドエリア#ec#の多くは、#cg#うわさ話#ec#を聞かなくても見つけられるわ。
exp_sharamode_tips6	シャラはたとえ危険な場所でも、#cy#スキルリスト#ec#からスキルを使用し、#cy#ホットバー#ec#を並べ替えられるの。
exp_sharamode_tips7	#cy#たき火#ec#の近くには必ず商人がいるわ。
exp_sharamode_tips8	#cc#シャラの物語#ec#では、#cy#パンドラの箱#ec#から必ず強力なギアが手に入るの。
exp_sharapower_learned_txt	#cc#シャラ#ec#は#cy#ミライ#ec#よりもスキルの扱いに長けています。スキルはホットバーへ割り当てなくても、#cy#スキルリスト#ec#から直接発動することができます。\n\nまた、たとえ危険なエリアでも、スキルをホットバーに#cy#セットしたり、外したり#ec#できます。#cg#サポートスキル#ec#についても同様です。\n\n
exp_skill_axeiaijutsu_name	斧の舞い
exp_skill_banish_description	非チャンピオン系の召喚獣や危険な罠を瞬時に破壊できる。
exp_skill_banish_displayname	霧散
exp_skill_boostdiscipline_desc	規律の最大値が^number1^上昇する。
exp_skill_boostdiscipline_name	規律強化
exp_skill_boostguile_desc	才知の最大値が^number1^上昇する。
exp_skill_boostguile_name	才知強化
exp_skill_boosthealth_desc	ライフの最大値が^number1^上昇する。
exp_skill_boosthealth_name	体力強化
exp_skill_boostspirit_desc	精神の最大値が^number1^上昇する。
exp_skill_boostspirit_name	精神強化
exp_skill_booststrength_desc	筋力の最大値が^number1^上昇する。
exp_skill_booststrength_name	筋力強化
exp_skill_boostswiftness_desc	俊敏の最大値が^number1^上昇する。
exp_skill_boostswiftness_name	俊敏強化
exp_skill_chakrashift_desc	自身の能力強化効果を吸収し、消滅させるが、^number2^ターンの間、除去した効果1個につき、与ダメージが^number1^上昇する。
exp_skill_chakrashift_name	チャクラシフト
exp_skill_charisma_desc	非チャンピオン系の盗賊タイプの敵が攻撃してきた時、^number1^の確率で^$sharamode:dominateverb$^する。
exp_skill_charisma_name	カリスマ
exp_skill_cleanup_desc	氷塊、炎、酸の池など、一時的な危険を及ぼすマスを瞬時に取り除く。
exp_skill_cleanup_name	磨きの極意
exp_skill_collectivestrength_desc	支配下の魔物1体につき、基本攻撃の与ダメージが^number1^上昇する（最大: ^number2^）
exp_skill_collectivestrength_name	力の結集
exp_skill_combatbiography_desc	すべての「筆法」を消費して、冒険について記した魔法の書を近くに召喚する。本を拾った瞬間、消費ぶんに^number1^を加えた「筆法」を回収し、かつ短時間、書道家のスキルが強化される。
exp_skill_combatbiography_extradesc	戦記は一度に一冊しか出現せず、^number2^ターン存続する。拾うと同時に^number4^ターンの間、書道家スキルの与ダメージが^number3^上昇する。
exp_skill_combatbiography_name	神秘の戦記
exp_skill_combatbiography_shortdesc	あらゆる「筆法」を網羅した魔法の書を、付近のマスへランダムに召喚する。
exp_skill_commandingpresence_description	（パッシブ）支配下の魔物1体につき、基本攻撃時に魔物を^$sharamode:dominateverb$^する確率を^number1^得る。
exp_skill_commandingpresence_extradesc	攻撃時に最大^number2^の確率で^$sharamode:dominateverb$^する。
exp_skill_commandingpresence_name	将の貫禄
exp_skill_createrandomrock_name	がれき生成
exp_skill_dangermagnet_desc	トラブルを招きやすい体質になり、敵との遭遇率が^number1^上昇する。
exp_skill_dangermagnet_name	危険な磁力
exp_skill_dominate_description	^$sharamode:dominatedesc$^
exp_skill_dominate_displayname	^$sharamode:dominatename$^
exp_skill_dominate_extradesc	^$sharamode:dominateedesc$^
exp_skill_elemabsorb_name	元素バリア
exp_skill_eshieldpower_desc	（パッシブ）エナジーシールドが砕け散った時に放出される力を利用し、新たにシールドを張り直すまで、与ダメージが^number1^上昇する。
exp_skill_eshieldpower_name	逆襲
exp_skill_essencestorm_desc	自身の生命力から強力なエネルギーの球体を^number1^個生成し、近くに敵がいる場合は毎ターンこの球体を放つ。
exp_skill_essencestorm_extradesc	一撃につき、精神力の^number2^の物理ダメージを与える。最大^number3^マス先の敵にもヒット。
exp_skill_essencestorm_name	エッセンスストーム
exp_skill_expmon_overdrive_name	オーバードライブ
exp_skill_expmon_photonbreath_name	フォトンの息
exp_skill_expmon_randomphoton_name	フォトンストーム
exp_skill_expmon_shielding_name	エナジーシールド
exp_skill_expmon_summoncannondrones_name	ドローン召喚
exp_skill_flowshield_description	命の粋からシールドを生成し、あらゆるダメージを吸収。シールドは最大HPの^number1^の耐久性を持つ。
exp_skill_flowshield_displayname	エッセンスシールド
exp_skill_flowshield_extradesc	クールダウンはシールドが破壊された時点で始まる。
exp_skill_forbiddance_desc	すべての「筆法」を消費して、目の前のマス上に強力な魔法のルーンを書く。ルーンに触れた敵は、「封印」と「足止め」を受ける。
exp_skill_forbiddance_extradesc	ルーンは「筆法」の数に応じて生成され、^number1^ターン存続する。「封印」と「足止め」の効果は^number2^ターン持続する。
exp_skill_forbiddance_name	禁忌
exp_skill_glide_desc	^number1^マス先までの短い距離を、優雅にジャンプする。
exp_skill_glide_extradesc	スキルは2回使うたび、クールダウンに入る。
exp_skill_glide_name	グライド
exp_skill_improveddominate_description	（パッシブ）HPが^number1^以下の敵でも、^$sharamode:dominatename$^を使って魅了できる。
exp_skill_improveddominate_name	威風堂々
exp_skill_inkcollector_desc	ランク「へっちゃら」以上の敵を倒すか、その攻撃をかわすか、クリティカルヒットが決まるたび、「筆法」がたまっていく。
exp_skill_inkcollector_name	インク集め
exp_skill_inkstorm_desc	あらゆる「筆法」を解き放ち、周囲の敵をランダムに激しく攻撃する。
exp_skill_inkstorm_extradesc	攻撃力の^number1^の物理ダメージを与える。「筆法」の数に応じて攻撃回数が増加。同一の対象を再攻撃時は^number2^のダメージを与える。「筆法」は発生しない。
exp_skill_inkstorm_name	墨汁嵐
exp_skill_lightningflash_desc	狙ったマスへ瞬時に駆け、到着と同時に周囲のすべてのマスに電撃を放つ。
exp_skill_lightningflash_extradesc	電気を帯びたマスに触れた敵を、^number1^ターンの間マヒさせる。
exp_skill_lightningflash_name	電光駆け
exp_skill_lightningscroll_desc	一直線に雷撃を放ってダメージを与え、しばらく残り続ける放電を発生させる。
exp_skill_lightningscroll_extradesc	攻撃力の^number1^、精神力の^number2^の雷ダメージを与える。「放電」に触れるたび、クリティカル率が^number3^上昇し、次の攻撃時に消費する。
exp_skill_lightningscroll_name	雷の巻物
exp_skill_menagerie_desc	自身が操るペットや召喚獣1体につき、ペットや召喚獣の与ダメージが^number1^上昇する。
exp_skill_menagerie_name	魔物使い
exp_skill_monstertoss_desc	近くの魔物1体を抱え上げ、別の敵へ投げつける。
exp_skill_monstertoss_extradesc	両方の敵に、投げた敵の現HPの^number1^のダメージを与える。
exp_skill_monstertoss_name	魔物トス
exp_skill_museofmelee_desc	^number3^ターンの間、基本的な近接攻撃が^number1^の確率で、^number2^の水、雷、または影脆弱性を付与。二刀流時は、それぞれの攻撃時に効果が発動する。
exp_skill_museofmelee_name	戦いの女神
exp_skill_necessarysacrifice_desc	魅了中の敵が倒された時、自身のスタミナとエナジーが最大値の^number1^回復する。
exp_skill_necessarysacrifice_name	補充
exp_skill_phasechange_desc	あらゆる魔物と位置を入れ替わり、混乱させる。
exp_skill_phasechange_extradesc	混乱は^number1^ターン持続する。
exp_skill_phasechange_name	コンバート
