abil_skill_summonvoidcrystal_name	Leerenkristall beschwören
exp_leg_personaldescriptorname16	(unbezahlbar)
exp_leg_personaldescriptorname17	(wundervoll)
exp_leg_personaldescriptorname2	(geschätzt)
exp_leg_personaldescriptorname3	(sagenhaft)
exp_leg_personaldescriptorname4	(vergessen)
exp_leg_personaldescriptorname5	(verloren)
exp_leg_personaldescriptorname6	(berühmt)
exp_leg_personaldescriptorname7	(hochverehrt)
exp_leg_personaldescriptorname8	(verehrt)
exp_leg_personaldescriptorname9	(verlässlich)
exp_leg_quivername1	Köcher
exp_leg_quivername2	Pfeile
exp_leg_quivername3	Schussladung
exp_leg_quivername4	Piekser
exp_leg_quivername5	Wurfbehältnis
exp_leg_quivername6	Rucksack
exp_leg_rangedpropername1	Xiuhcoatl
exp_leg_rangedpropername10	Buriza
exp_leg_rangedpropername11	Vulcan
exp_leg_rangedpropername12	Eurytos
exp_leg_rangedpropername13	Arcturus
exp_leg_rangedpropername14	Ventum
exp_leg_rangedpropername15	Andromeda
exp_leg_rangedpropername16	Rikonodo
exp_leg_rangedpropername17	Renner
exp_leg_rangedpropername18	Meridian
exp_leg_rangedpropername2	Tathlum
exp_leg_rangedpropername3	Sagitta
exp_leg_rangedpropername4	Astra
exp_leg_rangedpropername5	Apollo
exp_leg_rangedpropername6	Artemis
exp_leg_rangedpropername7	Perseus
exp_leg_rangedpropername8	Yoichi
exp_leg_rangedpropername9	Sagittarius
exp_leg_rangedweaponname1	Windschuss
exp_leg_rangedweaponname2	Scharfgeschoss
exp_leg_rangedweaponname3	Friedensstifter
exp_leg_rangedweaponname4	Luftangriff
exp_leg_rangedweaponname5	Bogen
exp_leg_ringname1	Ring
exp_leg_ringname2	Fingerschmuck
exp_leg_ringname3	Fingerband
exp_leg_ringname4	Kreis
exp_leg_ringname5	Fingerreif
exp_leg_ringpropername1	Sviagris
exp_leg_ringpropername2	Nibelungen
exp_leg_ringpropername3	Draupnir
exp_leg_ringpropername4	Harmonia
exp_leg_ringpropername5	Maduin
exp_leg_ringpropername6	Angelica
exp_leg_shieldpropername1	Svalinn
exp_leg_shieldpropername10	Ziedrich
exp_leg_shieldpropername11	Lustrum
exp_leg_shieldpropername12	Astroche
exp_leg_shieldpropername13	Prytwen
exp_leg_shieldpropername2	Duban
exp_leg_shieldpropername3	Pridwen
exp_leg_shieldpropername4	Evalach
exp_leg_shieldpropername5	Khetaka
exp_leg_shieldpropername6	Jaivardan
exp_leg_shieldpropername7	Zodiac
exp_leg_shieldpropername8	Megalesia
exp_leg_shieldpropername9	Hesperides
exp_leg_spearname1	Speer
exp_leg_spearname2	Lanze
exp_leg_spearname3	Spieß
exp_leg_spearname4	Hellebarde
exp_leg_spearname5	Pike
exp_leg_spearname6	Partisane
exp_leg_spearname7	Glefe
exp_leg_spearpropername1	Gungnir
exp_leg_spearpropername2	Longinus
exp_leg_spearpropername3	Gae Bolg
exp_leg_spearpropername4	Otegine
exp_leg_spearpropername5	Tonbokiri
exp_leg_spearpropername6	Erlang Shen
exp_leg_spearpropername7	Vel
exp_leg_staffname1	Stab
exp_leg_staffname2	Rute
exp_leg_staffname3	Stange
exp_leg_staffname4	Zepter
exp_leg_staffname5	Stock
exp_leg_staffname6	Stiel
exp_leg_staffname7	Pfahl
exp_leg_staffname8	Pflock
exp_leg_staffname9	Zweig
exp_leg_staffpropername1	Kaladanda
exp_leg_staffpropername2	Caduceus
exp_leg_staffpropername3	Gambanteinn
exp_leg_staffpropername4	Thyrsus
exp_leg_staffpropername5	Asclepius
exp_leg_staffpropername6	Justitia
exp_leg_staffpropername7	Nemesis
exp_leg_staffpropername8	Nirvana
exp_leg_swordname1	Wundbringer
exp_leg_swordname2	Klinge
exp_leg_swordname3	Schneide
exp_leg_swordname4	Messer
exp_leg_swordname5	Schwert
exp_leg_swordname6	Rasierer
exp_leg_swordpropername1	Masamune
exp_leg_swordpropername10	Tyrfing
exp_leg_swordpropername11	Ragnarok
exp_leg_swordpropername2	Muramasa
exp_leg_swordpropername3	Excalibur
exp_leg_swordpropername4	Caladbolg
exp_leg_swordpropername5	Fragarach
exp_leg_swordpropername6	Balmung
exp_leg_swordpropername7	Galatine
exp_leg_swordpropername8	Dainslaif
exp_leg_swordpropername9	Levateinn
exp_leg_whipname1	Peitsche
exp_leg_whipname2	Gerte
exp_leg_whipname3	Geißel
exp_leg_whipname4	Schlange
exp_leg_whipname5	Rute
exp_leg_whippropername1	Chentu
exp_leg_whippropername2	Drachenhaar
exp_leg_whippropername3	Brynhildr
exp_leg_whippropername4	Rosendorn
exp_leg_whippropername5	Sleipnir
exp_log_eatweapon	#cy#^tag1^#ec# frisst deine Waffe, ^tag2^!
exp_log_error_noportal_mysterydungeon	Du kannst dein #cc#Portal#ec# hier nicht verwenden!
exp_log_healfountain	Du stellst durch den #cc#Brunnen#ec# #cg#Gesundheit, Ausdauer und Energie#ec# wiederher!
exp_log_mastery_knowitall	Für mich gibt es hier #cy#nichts mehr zu lernen#ec# …
exp_log_monster_atefood	#cy#^tag1^#ec# stibitzt und isst etwas von #cy#^tag2^#ec#: #cg#^tag3^#ec#!
exp_log_powerup_absorb	#cy#^tag1^#ec# absorbiert das Power-up und stellt #cg#^tag2^#ec# Gesundheit wiederher!
exp_log_readcombatbook	Du hast die #cy#Kampf-Biografie#ec# gelesen und erhältst #cc#^tag1^#ec# Pinselstriche!
exp_log_resilientmonster	#cy#^tag1^#ec# hängt an einem seidenen Faden!
exp_log_runestone_gone	Die #cy#^tag1^#ec# verschwindet und erfüllt dich mit #cg#vergessenem Wissen#ec#!
exp_log_shara_floorstocampfire	Noch #cy#^tag1^#ec# Ebenen auf dem Hauptpfad, bis du #cc#dich am Lagerfeuer ausruhst#ec#!
exp_log_shara_noportal	#cr#Es gibt keinen Ort, an den dein#ec# #cy#Fluchtportal#ec##cr# dich hinbringen könnte …#ec#
exp_log_shieldshatter	Der #cc#Energieschild#ec# von ^tag1^ zerfällt!
exp_map_campfire_shara_name	Sharas Lager
exp_mapobj_forbiddance_name	Einhaltsrune
exp_mapobj_letter_name	Brief
exp_mapobj_oilslick_name	Ölteppich
exp_mapobj_shadoworb_name	Nahkampforb
exp_mapobj_sparks_name	Elektrofunken
exp_mapobj_watervapor_name	Verschleiernder Nebel
exp_minidreamcaster_name	Mini-Traumgießer
exp_misc_bonus	BONUS!
exp_misc_dominated	DOMINIERT
exp_misc_itemupgraded	Dein Gegenstand, ^tag1^, wurde #cy#aufgewertet#ec#!
exp_misc_notenoughgold_upgrade	Du #cr#hast nicht genügend#ec# #cy#Gold#ec#, um diesen Gegenstand aufzuwerten!
exp_misc_promptlearnskill_fromitem	#cc#^$getstring:skilltolearn$^#ec#-Fähigkeit lernen (#cg#^$getstring:itemskilljpcost$^#ec# JP)
exp_misc_repeatbuy	Diese Fähigkeit kann mehrere Male gekauft werden.
exp_misc_slowed	VERLANGSAMT!
exp_mm_brigandboost_desc	^number1^ Schaden durch Brigantin-Fähigkeit
exp_mm_budokaboost_desc	^number1^ Schaden durch Budoka-Fähigkeit
exp_mm_budokavalid_desc	Beeinträchtigt unbewaffneten Kampf nicht.
exp_mm_edgethaneboost_desc	^number1^ durch Edge-Thane-Fähigkeit
exp_mm_floramancerboost_desc	^number1^ Schaden durch Floramantin-Fähigkeit
exp_mm_gamblerboost_desc	^number1^ Schaden durch Spielerin-Fähigkeit
exp_mm_hunterboost_desc	^number1^ durch Jägerin-Fähigkeit
exp_mm_husynboost_desc	^number1^ durch HomSyn-Fähigkeit
exp_mm_paladinboost_desc	^number1^ Schaden durch Paladin-Fähigkeit
exp_mm_passive_armortraining_desc	Bewegungsfähigkeiten in Schwerer Rüstung verursachen Bereichschaden (Panzerdrill).
exp_mm_passive_bloodtracking_desc	Bei Treffer: ^number1^ Chance auf Erkennen, was Schaden und Sicht erhöht (Blutige Erkennung).
exp_mm_passive_fatchance_desc	^number1^ Chance, den Satt-Zustand beim Essen zu ignorieren (Vielfraß).
exp_mm_passive_gloriousbattler_desc	Verstärkt die Kraft von Liedern und schenkt dir beim Sieg gegen Monster CT (Glorreicher Kämpfer).
exp_mm_passive_hazardsweep_desc	^number1^ Chance, Gefahren beim Gehen auszulöschen (Gefahrenfeger).
exp_mm_passive_herbforaging_desc	Chance, Heilkräuter von Monstern zu erhalten (Futtersuche).
exp_mm_passive_immunology_desc	^number1^ Chance, Debuffs zu ignorieren, und deine Debuffs halten länger an (Immunologie).
exp_mm_passive_qimastery_desc	Bei kritischem Treffer: Energiewiederherstellung (Meister des Qi).
exp_mm_passive_thornedskin_desc	^number1^ Chance, Nahkampfschaden zu reflektieren (Dornenhaut).
exp_mm_soulkeeperboost_desc	^number1^ Schaden durch Seelenwächterin-Fähigkeit
exp_mm_spellshaperboost_desc	^number1^ Schaden durch Magieformerin-Fähigkeit bei unverformter Beschwörung
exp_mmod_mm_glide_desc	Gleitflug bietet dir eine größere Kontrolle über das Landefeld; die Abklingzeit wird um ^number1^ reduziert, doch die erstmalige Abklingzeit entfällt hier nicht.
exp_mmod_mm_inkstorm_desc	Tintensturm fügt pro Treffer ^number1^ zusätzlichen Schaden zu, zum Preis von ^number2^ Feld(ern).
exp_mmod_mm_waterscroll_desc	Die Reichweite von Schriftrolle der Wasserkraft wird um ^number1^ erhöht, doch der Schaden wird um ^number2^ reduziert.
exp_mon_axewielder_name	Vollstreckerbandit
exp_mon_batslime_name	Erzschimmel
exp_mon_bladefrog_name	Klingenfrosch
exp_mon_boltspirit_name	Starkdämon
exp_mon_bouldertoad_name	Trihorn
exp_mon_budoka_name	Budokabandit
exp_mon_butterfly_name	Monarch
exp_mon_chameleon_name	Chamäleon
exp_mon_chemist2_name	Verrücktes Genie
exp_mon_chonkfrog_name	Tumtumfrosch
exp_mon_cubeslime_name	Würfelschleim
exp_mon_guardianseeker2_name	Schutzkorsar
exp_mon_komodon2_name	Kaiser-Komodon
exp_mon_mimic_name	Mimic
exp_mon_minicubeslime_name	Mini-Würfelschleim
exp_mon_phasmacannon_name	Phasmakanone
exp_mon_pistolshrimp_name	Schusskrebs
exp_mon_robotmantis_name	Robomantis
exp_mon_scientist_device_name	Unbekanntes Gerät
exp_mon_scientist_summoner_name	Ingersoll
exp_mon_shara_finalboss_name	Kernwächter
exp_mon_shovelgolem_name	Schippritter
exp_mon_spiritstag_name	Eidolon
exp_mon_staffbandit_name	Stabprofi-Bandit
exp_mon_tentacle_name	Wasserstreuner
exp_mon_toxicslime_name	Giftschleim
exp_mon_venomancer_name	Venenumantenbandit
exp_mon_xp_heavygolem_name	Sicherheitsgolem
exp_mon_xp_powerorbiter_name	Wachschutz
exp_monmaker_banditprefix1	Banditischer
exp_monmaker_banditprefix2	Räuberischer
exp_monmaker_banditprefix3	Übler
exp_monmaker_banditprefix4	Diebischer
exp_monmaker_banditprefix5	Hinterhältiger
exp_monmaker_banditprefix6	Durchtriebener
exp_monmaker_banditprefix7	Berüchtigter
exp_monmaker_banditsuffix1	Späher
exp_monmaker_banditsuffix10	Leutnant
exp_monmaker_banditsuffix11	Unteroffizier
exp_monmaker_banditsuffix2	Erkunder
exp_monmaker_banditsuffix3	Rekrut
exp_monmaker_banditsuffix4	Wachmann
exp_monmaker_banditsuffix5	Kundschafter
exp_monmaker_banditsuffix6	Beobachter
exp_monmaker_banditsuffix7	Plänkler
exp_monmaker_banditsuffix8	Lakai
exp_monmaker_banditsuffix9	Feldwebel
exp_monmaker_beastconcatprefix1	Borsten
exp_monmaker_beastconcatprefix2	Scharf
exp_monmaker_beastconcatprefix3	Rasier
exp_monmaker_beastconcatprefix4	Riesen
exp_monmaker_beastconcatprefix5	Spitz
exp_monmaker_beastconcatprefix6	Eisen
exp_monmaker_beastconcatsuffix1	knochen
exp_monmaker_beastconcatsuffix2	ochse
exp_monmaker_beastconcatsuffix3	bär
exp_monmaker_beastconcatsuffix4	klaue
exp_monmaker_beastconcatsuffix5	biss
exp_monmaker_beastconcatsuffix6	maul
exp_monmaker_beastconcatsuffix7	schuppen
exp_monmaker_beastconcatsuffix8	tatze
exp_monmaker_beastprefix1	Schmuddeliges
exp_monmaker_beastprefix10	Abenteuerlustiges
exp_monmaker_beastprefix11	Durstiges
exp_monmaker_beastprefix2	Knurrendes
exp_monmaker_beastprefix3	Feines
exp_monmaker_beastprefix4	Verwahrlostes
exp_monmaker_beastprefix5	Hungriges
exp_monmaker_beastprefix6	Gewöhnliches
exp_monmaker_beastprefix7	Wildes
exp_monmaker_beastprefix8	Betrübtes
exp_monmaker_beastprefix9	Selbstsicheres
exp_monmaker_beastsuffix1	Biest
exp_monmaker_beastsuffix2	Tier
exp_monmaker_beastsuffix3	Viech
exp_monmaker_beastsuffix4	Monsterchen
exp_monmaker_beastsuffix5	Tierchen
exp_monmaker_beastsuffix6	Biestlein
exp_monmaker_coloredprefix1	Flecken-
exp_monmaker_coloredprefix2	Sprenkel-
exp_monmaker_coloredprefix3	Tupfen-
exp_monmaker_coloredprefix4	Streifen-
exp_monmaker_coloredprefix5	Schecken-
exp_monmaker_coloredprefix6	Punkte-
exp_monmaker_disruptorword1	Störenfried-
exp_monmaker_disruptorword2	Unterbrecher-
exp_monmaker_disruptorword3	Fluchbeleger-
exp_monmaker_disruptorword4	Vandalen-
exp_monmaker_frogconcatprefix1	Teich
exp_monmaker_frogconcatprefix2	Tümpel
exp_monmaker_frogconcatprefix3	Moor
exp_monmaker_frogconcatprefix4	See
exp_monmaker_frogconcatprefix5	Mist
exp_monmaker_frogconcatprefix6	Dreck
exp_monmaker_frogconcatprefix7	Schlürf
exp_monmaker_frogconcatprefix8	Quak
exp_monmaker_frogconcatprefix9	Wasser
exp_monmaker_frogconcatsuffix1	hüpfer
exp_monmaker_frogconcatsuffix2	springer
exp_monmaker_frogconcatsuffix3	zunge
exp_monmaker_frogconcatsuffix4	bein
exp_monmaker_frogconcatsuffix5	spritzer
exp_monmaker_frogconcatsuffix6	auge
exp_monmaker_frogconcatsuffix7	patscher
exp_monmaker_frogprefix1	Echter
exp_monmaker_frogprefix2	Matschiger
exp_monmaker_frogprefix3	Tümpel
exp_monmaker_frogprefix4	Sumpfiger
exp_monmaker_frogprefix5	Gewöhnlicher
exp_monmaker_frogprefix6	Glatter
exp_monmaker_frogprefix7	Hungriger
exp_monmaker_frogprefix8	Großmäuliger
exp_monmaker_frogprefix9	Nassfüßiger
exp_monmaker_frogsuffix1	Lurch
exp_monmaker_frogsuffix2	Frosch
exp_monmaker_frogsuffix3	Lork
exp_monmaker_frogsuffix4	Hüpf
exp_monmaker_frogsuffix5	Zungenakrobat
exp_monmaker_grasstreeword1	Vine
exp_monmaker_grasstreeword2	Moss
exp_monmaker_grasstreeword3	Tree
exp_monmaker_grasstreeword4	Brush
exp_monmaker_grasstreeword5	Bush
exp_monmaker_grasstreeword6	Plant
exp_monmaker_hybridprefix1	Stabiles
exp_monmaker_hybridprefix2	Robustes
exp_monmaker_hybridprefix3	Solides
exp_monmaker_hybridsuffix1	Konstrukt
exp_monmaker_hybridsuffix2	Konstrukt
exp_monmaker_hybridsuffix3	Totem
exp_monmaker_insectprefix1	Gewöhnliches
exp_monmaker_insectprefix2	Stabkerniges
exp_monmaker_insectprefix3	Nistendes
exp_monmaker_insectprefix4	Kriechendes
exp_monmaker_insectprefix5	Kahlgesichtiges
exp_monmaker_insectsuffix1	Krabbeltier
exp_monmaker_insectsuffix2	Geziefer
exp_monmaker_insectsuffix3	Insekt
exp_monmaker_insectsuffix4	Kleintier
exp_monmaker_meleeword1	Schläger-
exp_monmaker_meleeword2	Gladiator-
exp_monmaker_meleeword3	Beuler-
exp_monmaker_meleeword4	Haudrauf-
exp_monmaker_naturalgrowthprefix1	Biologischer
exp_monmaker_naturalgrowthprefix2	Dorniger
exp_monmaker_naturalgrowthprefix3	Erdiger
exp_monmaker_naturalgrowthprefix4	Grundständiger
exp_monmaker_naturalgrowthprefix5	Lebender
exp_monmaker_naturalgrowthprefix6	Wachsender
exp_monmaker_naturalgrowthsuffix1	Spross
exp_monmaker_naturalgrowthsuffix2	Keimling
exp_monmaker_naturalgrowthsuffix3	Sprössling
exp_monmaker_naturalgrowthsuffix4	Trieb
exp_monmaker_naturalgrowthsuffix5	Ableger
exp_monmaker_naturalgrowthsuffix6	Schössling
exp_monmaker_rangedword1	Sniper-
exp_monmaker_rangedword2	Jäger-
exp_monmaker_rangedword3	Scharfschütz-
exp_monmaker_rangedword4	Fernangreifer-
exp_monmaker_rangedword5	Ranger-
exp_monmaker_robotconcatprefix1	Chrom
exp_monmaker_robotconcatprefix2	Kampf
exp_monmaker_robotconcatprefix3	Späh
exp_monmaker_robotconcatprefix4	Wacht
exp_monmaker_robotconcatprefix5	Aufseh
exp_monmaker_robotconcatprefix6	Kriegs
exp_monmaker_robotconcatprefix7	Schlacht
exp_monmaker_robotconcatsuffix1	bot
exp_monmaker_robotconcatsuffix2	con
exp_monmaker_robotconcatsuffix3	tron
exp_monmaker_robotprefix1	Wachender
exp_monmaker_robotprefix2	Schützender
exp_monmaker_robotprefix3	Beschützender
exp_monmaker_robotprefix4	Verwaltender
exp_monmaker_robotprefix5	Hütender
exp_monmaker_robotprefix6	Aufsehender
exp_monmaker_robotsuffix1	Bot
exp_monmaker_robotsuffix2	Roboter
exp_monmaker_robotsuffix3	Androide
exp_monmaker_robotsuffix4	Luftbot
exp_monmaker_robotsuffix5	Mech
exp_monmaker_slimeconcatprefix1	Honig
exp_monmaker_slimeconcatprefix2	Matsch
exp_monmaker_slimeconcatprefix3	Feucht
exp_monmaker_slimeconcatprefix4	Gelatin
exp_monmaker_slimeconcatprefix5	Matsch
exp_monmaker_slimeconcatprefix6	Schimmel
exp_monmaker_slimeconcatprefix7	Schleim
exp_monmaker_slimeconcatprefix8	Moder
exp_monmaker_slimeconcatsuffix1	blobb
exp_monmaker_slimeconcatsuffix2	grabb
exp_monmaker_slimeconcatsuffix3	glebb
exp_monmaker_slimeconcatsuffix4	plapp
exp_monmaker_slimeconcatsuffix5	plomm
exp_monmaker_slimeprefix1	Tropfender
exp_monmaker_slimeprefix10	Zäher
exp_monmaker_slimeprefix11	Eingesunkener
exp_monmaker_slimeprefix2	Triefender
exp_monmaker_slimeprefix3	Tröpfelnder
exp_monmaker_slimeprefix4	Auslaufender
exp_monmaker_slimeprefix5	Schludriger
exp_monmaker_slimeprefix6	Feuchter
exp_monmaker_slimeprefix7	Platschender
exp_monmaker_slimeprefix8	Gelatöser
exp_monmaker_slimeprefix9	Geronnener
exp_monmaker_slimesuffix1	Schleim
exp_monmaker_slimesuffix2	Rotz
exp_monmaker_slimesuffix3	Matsch
exp_monmaker_slimesuffix4	Schlick
exp_monmaker_snakesuffix1	Schlange
exp_monmaker_snakesuffix2	Natter
exp_monmaker_snakesuffix3	Klapperschlange
exp_monmaker_snakesuffix4	Kobra
exp_monmaker_snakesuffix5	Python
exp_monmaker_snakesuffix6	Mamba
exp_monmaker_snakesuffix7	Otter
exp_monmaker_spiritconcatprefix1	Nilb
exp_monmaker_spiritconcatprefix2	Lesch
exp_monmaker_spiritconcatprefix3	Vanar
exp_monmaker_spiritconcatprefix4	Sol
exp_monmaker_spiritconcatprefix5	Quol
exp_monmaker_spiritconcatprefix6	Torg
exp_monmaker_spiritconcatprefix7	Man
exp_monmaker_spiritconcatprefix8	Mor
exp_monmaker_spiritconcatprefix9	Dram
exp_monmaker_spiritconcatsuffix1	en
exp_monmaker_spiritconcatsuffix2	ari
exp_monmaker_spiritconcatsuffix3	idin
exp_monmaker_spiritconcatsuffix4	eth
exp_monmaker_spiritconcatsuffix5	ot
exp_monmaker_spiritconcatsuffix6	ori
exp_monmaker_spiritconcatsuffix7	avin
exp_monmaker_spiritconcatsuffix8	avi
exp_monmaker_spiritprefix1	Rachedurstiger
exp_monmaker_spiritprefix2	Trister
exp_monmaker_spiritprefix3	Gruseliger
exp_monmaker_spiritprefix4	Umherwandernder
exp_monmaker_spiritprefix5	Verlorener
exp_monmaker_spiritprefix6	Umherstreifender
exp_monmaker_spiritprefix7	Geheimnisvoller
exp_monmaker_spiritsuffix1	Luftgeist
exp_monmaker_spiritsuffix10	Sylphe
exp_monmaker_spiritsuffix11	Dämon
exp_monmaker_spiritsuffix2	Elementar
exp_monmaker_spiritsuffix3	Alb
exp_monmaker_spiritsuffix4	Mahr
exp_monmaker_spiritsuffix5	Revenant
exp_monmaker_spiritsuffix6	Geist
exp_monmaker_spiritsuffix7	Spirit
exp_monmaker_spiritsuffix8	Spuk
exp_monmaker_spiritsuffix9	Wiedergänger
exp_monmaker_statususerword1	Schamanen-
exp_monmaker_statususerword2	Orakel-
exp_monmaker_statususerword3	Augur-
exp_monmaker_strongfireprefix1	Inferno-
exp_monmaker_strongfireprefix2	Brand-
exp_monmaker_strongfireprefix3	Nova-
exp_monmaker_stronglightningprefix1	Schock-
exp_monmaker_stronglightningprefix2	Donner-
exp_monmaker_stronglightningprefix3	Blitz-
exp_monmaker_strongpoisonprefix1	Envenom-
exp_monmaker_strongpoisonprefix2	Säure-
exp_monmaker_strongpoisonprefix3	Pest-
exp_monmaker_strongshadowprefix1	Nacht-
exp_monmaker_strongshadowprefix2	Terror-
exp_monmaker_strongshadowprefix3	Schatten-
exp_monmaker_strongshadowprefix4	Leeren-
exp_monmaker_strongwaterprefix1	Flut-
exp_monmaker_strongwaterprefix2	Großwasser-
exp_monmaker_strongwaterprefix3	Gletscher-
exp_monmaker_strongwaterprefix4	Polar-
exp_monmaker_summonerword1	Berufer-
exp_monmaker_summonerword2	Beschwörer-
exp_monmaker_summonerword3	Rufer-
exp_monmaker_supporterword1	Schubschenker-
exp_monmaker_supporterword2	Helfer-
exp_monmaker_supporterword3	Medicus-
exp_monmaker_supporterword4	Magier-
exp_monmaker_weakfireprefix1	Feuer-
exp_monmaker_weakfireprefix2	Flammen-
exp_monmaker_weakfireprefix3	Glut-
exp_monmaker_weakfireprefix4	Hitze-
exp_monmaker_weaklightningprefix1	Funken-
exp_monmaker_weaklightningprefix2	Zünd-
exp_monmaker_weaklightningprefix3	Kleinschlag-
exp_monmaker_weakpoisonprefix1	Gift-
exp_monmaker_weakpoisonprefix2	Leichtgift-
exp_monmaker_weakpoisonprefix3	Mist-
exp_monmaker_weakpoisonprefix4	Schlamm-
exp_monmaker_weakshadowprefix1	Dämmer-
exp_monmaker_weakshadowprefix2	Dunkel-
exp_monmaker_weakshadowprefix3	Düster-
exp_monmaker_weakshadowprefix4	Finster-
exp_monmaker_weakwaterprefix1	Regen-
exp_monmaker_weakwaterprefix2	Wasser-
exp_monmaker_weakwaterprefix3	Kälte-
exp_monmaker_weakwaterprefix4	Kühl-
exp_monmaker_weakwaterprefix5	Frost-
exp_monmaker_weakwaterprefix6	Eis-
exp_monmod_firegod	Feuergott
exp_monmod_lightninggod	Blitzgott
exp_monmod_physicalgod	Schwertgott
exp_monmod_poisongod	Giftgott
exp_monmod_shadowgod	Schattengott
exp_monmod_watergod	Wassergott
exp_mysterydungeon_bossname	~ Geheimkönig ~
exp_mysterydungeon_bossvictory	Der #clr#Geheimkönig#ec# wurde besiegt! Deine Reise endet, sobald du dein #cc#Magisches Portal#ec# verwendest.\n\n
exp_mysterydungeon_explanation	#big##clr#Reise des Wanderers#ec##endbig#\n\nIn diesem Abenteuer musst du die #cy#höchste Ebene#ec# erreichen und dort den #clr#Geheimkönig#ec# besiegen. Im Gegensatz zu einem Gegenstandstraum #cr#kannst du nicht#ec# zur Stadt zurückkehren!\n\nDie Treppen gehen #cy#nur nach oben#ec#, und es gibt #cr#keinen Weg zurück#ec#. Allerdings findet man ab und zu #cy#Ebenen mit einem Lagerfeuer#ec#.\n\nAlle #cy#Monster#ec# hier sind ganz neu. Studiere sie genau, damit du #cc#ihre Stärken und ihr Verhalten#ec# lernst. Viel Glück!\n\n
exp_mysterydungeon_postvictory	#big##clr#Reise des Wanderers#ec# abgeschlossen!#endbig#\n\n
exp_mysterydungeon_tip0	Die Monster in einer #clr#Reise des Wanderers#ec# sind mit jedem Mal neu. Schaue sie dir genau an!
exp_mysterydungeon_tip1	In einer #clr#Reise des Wanderers#ec# könntest du starke, einzigartige #clr#Relikte#ec# finden.
exp_mysterydungeon_tip2	In einer #clr#Reise des Wanderers#ec# kannst du nicht zur Stadt zurückkehren, also gib dein Gold ruhig bei Händlern aus!
exp_mysterydungeon_tip3	In einer #clr#Reise des Wanderers#ec# erscheinen alle paar Ebenen #cy#Lagerfeuer#ec#. Verwende sie mit Achtsamkeit …\n
exp_obj_blackhole_name	Schwarzes Loch
exp_overload_dmg_name	Überlastung
exp_parry_down	AUSWEICHEN GESENKT!
exp_popup_misc_sticky	ZUNGE FESTGEKLEBT!
exp_randomshop1_name	Normando
exp_randomshop2_name	Fernando
exp_randomshop3_name	Orlando
exp_randomshop4_name	Hernando
exp_randomshop5_name	Tando
exp_randomshop6_name	Shirando
exp_rarity_relic	Relikt
exp_shara_died	Tangledeep hat unzählige Geschichten, die alle unterschiedlich erzählt werden. In der heutigen Erzählung nahm die #cc#Legende von Shara#ec# hier ihr Ende, ohne dass sie ihre #cy#Bestimmung#ec# erfüllen konnte. Doch ist dies das wahre Ende?
exp_shara_dominate_description1	Du greifst ein Monster mit nicht-elementarer Energie an und könntest geschwächte Kreaturen dabei dauerhaft ^tag1^. Du kannst bis zu ^tag2^ Kreaturen auf diese Art kontrollieren.
exp_shara_dominate_description2	Du greifst ein Monster mit nicht-elementarer Energie an und könntest sie für deinen Zweck ^tag1^. Du kannst bis zu ^tag2^ Kreaturen auf diese Art kontrollieren.
exp_shara_dominate_displayname1	Zähmschlag
exp_shara_dominate_displayname2	Rekrutierung
exp_shara_dominate_displayname3	Kommandierung
exp_shara_dominate_displayname4	Domination
exp_shara_dominate_extradesc1	Schaden: ^number1^ der Geisteskraft als physisch. Du kannst Nicht-Champion-Monster unter ^number2^ Gesundheit dauerhaft ^tag1^. Nicht-banale verzauberte Monster stellen deine Gesundheit wiederher.
exp_shara_dominate_extradesc2	Schaden: ^number1^ der Geisteskraft als physisch. Du dominierst Nicht-Champion-Monster unter ^number2^ dauerhaft. Dominierte Kreaturen verlieren langsam an Gesundheit. Wenn nicht-banale dominierte Monster besiegt wurden, stellen sie ^number3^ deiner max. Gesundheit, Energie und Ausdauer wiederher.
exp_shara_ko	Shara hat sich vielen schweren Gegnern gestellt und ist den gefährlichsten Situationen entkommen. <color=#0cffe6>^tag1^</color> in <color=yellow>^tag2^</color> war dieses Mal stärker als sie, doch davon ließ sie sich nicht abhalten. Nichts und niemand konnte sie davon abhalten, ihre #cy#Bestimmung#ec# zu erfüllen.
exp_shara_ko_result	Shara hinterließ bei ihrer Flucht <color=yellow>^tag1^</color> G und gab <color=#40b843>^tag2^ JP</color> für ihre Erholung aus.
exp_sharaending_text1	Es gibt Fragen über Fragen über diese Frau und ihren ungestümen Geist.
exp_sharaending_text2	Doch nur eine zählt wirklich:
exp_sharaending_text3	Ist sie für oder gegen uns?
exp_sharaending_text4	Niemand kann mich von meiner Berufung abhalten, aber …
exp_sharaending_text5	… vielleicht können wir diese Welt zusammen wiederaufbauen …
exp_sharafinalboss_phase2begin_1	#cy#VERSTÄRKUNG ANGEFORDERT.#ec# AKTUELLE VERTEIDIGUNG IST NICHT IN DER LAGE, ANGRIFFE DURCH #cc#SHARA_AVATAR#ec# STANDZUHALTEN.\n\nBEGINNE REGENERATIVEN NOT-STILLSTAND FÜR #cc#^tag1^ ZEITEINHEITEN#ec#.\n\n
exp_sharafinalboss_phase2begin_2	Ha! Erkenne ich da etwa einen Hauch von #cr#Angst#ec#, Maschine?\n\nDas ist genau der Moment, für den ich meine Kräfte geschliffen habe. Ohne dich kann ich deine neuen Verbündeten #cc#dominieren#ec# und sie gegen dich aufbringen!\n\n
